word	rn	semcat	subcat	semkey
A!	2	Error	x/	x.x
A86	2	Error	x/	x.x
ABANDON	46	Vsep	4c.7/1.2	6.10.2
ABANDONED	2	Vsep	4c.7/1.2	6.10.2
ABASHED	2	Vadj	5c/1	7.1.1
ABATE	2	Vundo	4c.5/	6.9
ABBREVIATED	4	Vadj	5c/2.1	7.1.8.3
ABCESS	7	Nbp	1a/8.7.1	1.8.6.2
ABDOM	1	Error	/	x.x
ABDOMEN	150	Nbp	1a/4.7	1.4.7
ABDOMINAL	6	Nbp	1a/4.7	1.4.7
ABHOR	8	Vpsi	5d/1.1.2	8.3.1.1.2
ABIDING	4	Vadj	5c/2.1	5.8.1.1
ABILITY	12	Nabst	5a/	8.1
ABLATIVE	108	G	8/4.1.1	10.4.1.1
ABLE	152	Vadj	5c/3.1	1.1.2.4
ABODE	10	Ndwel	9c/6	5.11.9.6
ABODING	4	Error	x/	x.x
ABOLISH	2	Vundo	4c.5/	6.9
ABOMINABLE	6	Vadj	5c/8.2	9.6.2.1
ABORTION	23	Nbp	1a/9.3.4.1	1.9.6.1
ABOUN	4	Error	x/	x.x
ABOUND	10	Vadj	5c/2.1	8.2
ABOUT	156	G	8/1	10.1
ABOVE	154	Spat	6j/1	9.2.1
ABRADED	2	Vadj	5c/4.2	
ABRUPTLY	4	Vadj	5c/10	7.1.10
ABSCESS	52	Nbp	1a/8.7.1	1.8.6.2
ABSCOND	8	Vsep	4c.7/1.2	6.10.2
ABSENT	8	Nabst	5a/	8.1
ABSORB	6	Vcos	6c/	9.5
ABSORBED	2	Vcos	6c/	9.5
ABSTAIN	14	Vsep	4c.7/1.2	6.10.2
ABUNDANCE	6	Vadj	5c/2.1	8.1
ABUNDANT	22	Vadj	5c/2.1	7.1.2.1
ABUSE	30	Vharm	4b.1/	6.4
ACACIA	10	Nveg	2b.1/1.1	3.1.1
ACCENT	12	Vutt	5f/4.3	8.5.4.3
ACCEPT	22	Vpsi	5d/1.2.1	8.3.1.2.1
ACCEPTABL	2	Vpsi	5d/1.2.1	
ACCEPTABLE	10	Vpsi	5d/1.2.1	8.3.1.2.1
ACCIDENTALLY	14	Vadj	5c/10	7.1.10
ACCIDENTS	2	Vadj	5c/10	
ACCOMPANIED	6	Vmot	4b.4/10	6.7.10
ACCOMPANIES	4	Vmot	4b.4/10	6.7.10
ACCOMPANIMENT	2	Vmot	4b.4/10	6.7.10
ACCOMPANY	54	Vmot	4b.4/10	6.7.10
ACCOMPLISH	2	x	x/	x.x
ACCORD	18	Vpsi	5d/	8.3
ACCORDANCE	2	Vpsi	5d/	8.3
ACCORDING	2	Vpsi	5d/	8.3
ACCOUNT	2	x	x/	x.x
ACCUMULATE	8	Vacq	4f.3/	6.21
ACCURATE	8	Vadj	5c/10	9.6.1.1
