tag	grpid	form	gloss	variant	old_tag	source
3	8	pum	BODY / STOMACH / BELLY			
8	8	tak-shaa	BODY		4181	PKC #181
12	8	ruak ⪤ ruaŋ	CORPSE / DEAD BODY		4927	PKC #927
12	5	rom	GHOST (ANCESTRAL)		6576	JS-HCST: 176
17	5	si-maŋ	DEAD BODY		6597	JS-HCST: 114
17	63	a-maŋ	BODY / CORPSE		7745	PCN #198
18	5	ɯ	BODY		6650	JS-HCST: 146
19	8	raw	DRY / WITHER		4933	PKC #933
25	66	ŋun	CORPSE		6882	DRM#472
27	8	thii-I, thiʔ-II	DIE / DEAD / EXTINCT		4384	PKC #384
27	5	si	DIE		6594	JS-HCST: 105
27	66	tʰi	DIE		6762	DRM#349
27	12	səy	DIE		7195	WTF-PNN:476
27	42	səy¹	DIE		546	cf. HPTB p.27
27	50	sejᴬ	DEAD, DIE		7281	TL#76
27	63	səj	DIE		7653	PCN #106
31	8	mit	GO OUT (light) / EXTINGUISH		4768	PKC #768
31	66	met	SQUEEZE / EXTINGUISH		6947	DRM#542
31	5	mit	EXTINGUISH / EXTINGUISHED		6458	JS-HCST: 205
31	63	hmət	EXTINGUISH / BLOW		7736	PCN #189
32	63	sak	BREATH		7789	PCN #242
33	50	mɛɁᴰ	EYE, FACE		7312	TL#107
34	8	sʰaa	ANIMAL / FLESH / MEAT		4686	PKC #686
34	66	sa	FLESH / MEAT / ANIMAL		6747	DRM#334
34	63	a-ʃaʔ	ANIMAL / MEAT, FLESH		7562	PCN #015
35	50	njáq	MEAT / FLESH			
35	50	hɲaᴮ	FLESH / MEAT			
35	5	jak	FLESH (human)			
36	66	tsa	EAT	a	6741	DRM#327
36	66	tsaat	RICE (COOKED)	b	6945	DRM#540
36	63	tsaʔ	EAT		7566	PCN #019
36	8	θaʔ	FEED		4616	PKC #616
36	63	a-tsa-k	RICE (paddy)		6551	i.e., unhusked; tentative transcription; not in DWB-PCN
42	63	thu	OIL / GREASE / FAT		7618	PCN #071
56	42	ndzikᴴ	ITCH		1464	JAM-MLBM 38
58	42	dzay²	ANIMAL (DOMESTIC) / LIVESTOCK		58	
59	42	ʔ-dzi²	DEW			
60	8	thaaw	FAT / GREASE		4385	PKC #385
60	66	tʰaw	FAT		6802	DRM#389
69	42	m-dziːtᴸ ⪤ m-tsiːtᴴ	SPLIT			
70	8	piaŋ-I, pian-II	BORN (be)		4129	PKC #129
71	8	hriŋ-I, hrin-II	GREEN / ALIVE / FRESH		5085	PKC #1085
71	66	hriŋ	ALIVE		6895	DRM#487
71	12	criŋ	ALIVE	a	7192	WTF-PNN:449
71	12	C-raŋ	ALIVE	b	7194	WTF-PNN:449
71	29	hiŋ-	LIVE			
71	42	tsiŋ²	LIVE			
74	12	la-dzaːn	ARROW			
74	42	ʔ-dzan¹	ARROW			
75	63	phu	BLOW		7616	PCN #069
84	42	na²	BE / LIVE / STAY / REST / PERCH / SIT ON		279	HPTB p.477
85	8	nii	DAY / SUN		4809	PKC #809
85	50	nejᴬ	DAY		7280	TL#75
85	5	ñi	SUN		6209	JS-HCST: 116
85	42	ʔnəy¹/³	SUN / DAY			
85	63	nəj	SUN / DAY		7650	PCN #103
86	42	ʔ-tsup ⪤ ʔ-tsip	CRUMPLE / SQUEEZE / FIST		3381	TSR #66
