rn	type	text
19599	T	<par>Written Burmese <latinform>-y</latinform> is a learned folk etymology (cf. Sanskrit).</par>
19613	I	<par>incl. p?</par>
19698	I	<par>Not use p</par>
19811	I	<par>Question mark in WSC indicates uncertainty over reconstructed form.</par>
19866	I	<par>Check source.</par>
20022	I	<par>verb?</par>
20048	I	<par>forms from GSTC 1006e-f correspond to PKB-STC p. 182, n.</par>
20205	T	<par>HPTB, p. 173 gives a wrong GSR number &quot;74a&quot;.</par>
20220	T	"<par>STC assigns the Chinese dental-initialled form to this etymon, assuming prefix-preemption (<reconstruction>*d-bu</reconstruction> &gt; <reconstruction>*d-wu</reconstruction> &gt; <reconstruction>*du</reconstruction>), but another possible prototype is <xref ref=""1223"">#1223</xref>, here.</par>"
20220	I	<par>Is source GSR or ACST? Was labeled ACST. Should ACST be re-labeled GSR?</par>
20221	T	<par>GSR.</par>
20269	I	<par>Should the OC form be <latinform>gʻwɑ̂n</latinform> (<latinform>w</latinform> and <latinform>a</latinform> swapped)? cf. HPTB p.423</par>
20287	I	<par>(and rel. to O Chin SPLEEN #29742, p. 24)?)</par>
20416	T	<par>GSR 661f-g.</par>
20476	I	<par>See FULL/STRAIGHT/FLAT PAPER</par>
20536	T	<par>STC 282.</par>
144778	I	<par>cf. Bantawa. GSR 1204h.</par>
