rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
19512	174	*Tibeto-Burman	kɑ	kɑ	word / speech	word / speech			8.5.10.2	1q	0			229
19513	388	Burmese (Written)	tsi	tsi	ride (horse)	ride (horse)			6.2	1u	0			2237
19514	174	*Tibeto-Burman	ŋɑ	ŋɑ	I	I			4.1	2a-g	0			2530
19515	1561	Tibetan (Written)	g-yon-pa	g-yon-pa	left (hand)	left (hand)			1.5.3.2	5a-d	0			
19516	174	*Tibeto-Burman	tsa	tsa	salt	salt			3.2.4	5m	0			2729
19518	388	Burmese (Written)	kha◦rú	kha◦rú	snail	snail			2.2.5	14b	0			m,6107
19519	1561	Tibetan (Written)	sa	sa	earth	earth			3.2.11	16a-c	0			587
19520	119	*Karen	khlo	khlo	snail	snail			2.2.5	18c	0			6107
19521	388	Burmese (Written)	ɑ̌◦bhwɑ̀~ɑ̌◦phwɑ̌	ɑ̌bhwɑ̀~ɑ̌phwɑ̌	grandmother	grandmother			4.7.1	25q	0			p,198,p,198
19522	1210	Anong (Rawang)	śəwi	śəwi	bear	bear			2.2.3	26b	0			
19523	174	*Tibeto-Burman	m-|gwi(y)	m-gwi(y)	elephant	elephant			2.2.1	27a-e	0			2257
19524	174	*Tibeto-Burman	pɑ	pɑ	father	father			4.7.1	39	0			x
19525	174	*Tibeto-Burman	pɑ̊	pɑ̊	palm (hand)	palm (hand)			1.5.5	39a	0			821
19526	174	*Tibeto-Burman	ba	ba	carry	carry			6.2.2.2.1	39b	0			570
19527	174	*Tibeto-Burman	g-|pɑ	g-|pɑ	bamboo	bamboo			3.1.1	39c	0			2549
19528	174	*Tibeto-Burman	pwak	pwak	sow / pig	sow / pig			2.1.12	39d	0			1006
19529	164	*Sino-Tibetan	(g-)pwɑ|	(g-)pwɑ	kind of bamboo	kind of bamboo			8.3.3.2.1	39s	0			2549
19530	164	*Sino-Tibetan	mɑ	mɑ	mother / old woman	mother / old woman			4.7.1	40	0			
19531	174	*Tibeto-Burman	mɑ	mɑ	mother	mother			4.7.1	40	0			1619
19532	174	*Tibeto-Burman	-mɑ	-mɑ	fem. suffix	fem. suffix			10.0	40	0			1619
19533	174	*Tibeto-Burman	s-|rɑŋ~m-|rɑŋ	s-|rɑŋ~m-|rɑŋ	horse	horse			2.1.7	40a-e	0			1431,1431
19534	1561	Tibetan (Written)	dmod-pa	dmod-pa	curse	curse			8.5.1	40h	0			461,s
19535	174	*Tibeto-Burman	kwɑn~gwɑn	kwɑn~gwɑn	costing net	costing net			5.9	41d	0			2367,2367
19536	174	*Tibeto-Burman	gwɑ	gwɑ	fox	fox			2.1.11	41i	0			2255
19537	174	*Tibeto-Burman	śrɑ	śrɑ	potato / yam	potato / yam			3.1.5	45	0			2592
19538	567	Garo	thɑ	thɑ	bulb / tuber / potato	bulb / tuber / potato			3.1.2	45	0			
19539	174	*Tibeto-Burman	tsyow	tsyow	boil / cook	boil / cook			6.6	45m	0			2749
19540	174	*Tibeto-Burman	kɑ	kɑ	bitter	bitter			7.1.4.4	49u	0		D1	229
19541	174	*Tibeto-Burman	kɑ	kɑ	door / opening	door / opening			5.11.9.3	53a-b	0			273
19542	174	*Tibeto-Burman	m-|kɑ	m-|kɑ	door / opening	door / opening			5.11.9.3	53a-b	0			273
19543	136	*Lolo-Burmese	(k-)|lɑ	(k-)|lɑ	tiger	tiger			2.1.3	57b-e	0			5560
19544	174	*Tibeto-Burman	l-|ŋa~b-ŋa	l-|ŋa~b-ŋa	five	five			9.9	58a-d	0			1306
19545	174	*Tibeto-Burman	ŋa	ŋa	I	I			4.1	58f-i	0			2530
19546	174	*Tibeto-Burman	(m-)|twɑ~(s-)twɑ	(m-)twɑ~(s-)twɑ	spit / spittle	spit / spittle			1.8.3	62d	0			603
19547	174	*Tibeto-Burman	lɑ	lɑ	salt	salt			3.2.4	71a-b	0			2385
19548	174	*Tibeto-Burman	ŋyɑ	ŋyɑ	fish	fish			2.2.5	79a-c	0			1455
19549	164	*Sino-Tibetan	ŋyɑ	ŋyɑ	fish	fish			2.2.5	79a-c	0			1455
19550	1561	Tibetan (Written)	dźɑ	dźɑ	tea	tea			3.1.1	82	0			
19551	174	*Tibeto-Burman	tsow	tsow	trees (thorny) / thorns	trees (thorny) / thorns			3.1.2	88a-c	0			2741
19552	174	*Tibeto-Burman	krəy	krəy	foot	foot			1.5.2	90a	0			335
19553	174	*Tibeto-Burman	krwəy	krwəy	son-in-law	son-in-law			4.7.4	90i	0			2348
19554	666	Jingpho	rɑ~śərɑ	rɑ~śərɑ	place	place			9.10.5	91a-c	0			5435,5435
19555	164	*Sino-Tibetan	yəw+śɑ	yəw+śɑ	animal (prefix) + rat	animal (prefix) + rat			2.3	92d	0			2796,m
19556	974	Lushai [Mizo]	sɑ-zu	sɑ-zu	rat	rat			2.1.1	92d	0			m,2796
19557	174	*Tibeto-Burman	(m-)na|	(m-)na|	woman / lady / girl	woman / lady / girl			1.9.3	94a-e	0			1623
19558	1561	Tibetan (Written)	mnɑ-nɑ	mnɑ-nɑ	daughter-in-law	daughter-in-law			4.7.4	94a-e	0			1623,s
19559	1129	Murmi	nɑ-nɑ	nɑ-nɑ	woman / lady / girl	woman / lady / girl			1.9.3	94a-e	0		u	1623,1623
19560	639	Hayu	nu-nu	nu-nu	woman / lady / girl	woman / lady / girl			1.9.3	94a-e	0		u	1621,1621
19561	666	Jingpho	nɑ	nɑ	woman / lady / girl	woman / lady / girl			1.9.3	94a-e	0			1623
19562	427	Chang	ɑ-no	ɑ-no	older sister	older sister				94a-e	0		u	p,1623
19563	416	Byangsi	nɑ	nɑ	mother	mother			4.7.1	94a-e	0		u	1623
19564	174	*Tibeto-Burman	nɑŋ	nɑŋ	thou	thou			10.2.3.1	94j-k	0			2489
19565	740	Karen	nɑ	nɑ	thou	thou			10.2.3.1	94j-k	0			
19566	162	*Nung	nɑ-	nɑ-	thou	thou			10.2.3.1	94j-k	0		u	
19567	1561	Tibetan (Written)	mɑ-smɑd	mɑ-smɑd	mother and children	mother and children			4.7.1	94v-x	0			
19568	1623	Vietnamese	nɑ	nɑ	crossbow	crossbow			5.15	94z	0		u	455
19569	1210	Anong (Rawang)	thə◦nɑ	thənɑ	crossbow	crossbow			5.15	94z	0			p,455
19570	1108	Moso	tɑ̌◦nɑ	tɑ̌nɑ	crossbow	crossbow			5.15	94z	0			m,455
19571	1108	Moso	sui hnɑ	sui hnɑ	bow	bow			5.15	94z	0			
19572	174	*Tibeto-Burman	s-|wɑ	s-wɑ	proceed / go to	proceed / go to	v.	v.	6.7.2	97a-g	0			2774
19573	989	Magar	hwɑ	hwɑ	walk / move	walk / move			6.7.4	97a-g	0			
19574	440	Chepang	hwɑ	hwɑ	walk / move	walk / move			6.7.4	97a-g	0			2774,m
19575	1165	Newar	wɑ	wɑ	in motion	in motion	be v.	be v.	10.1.1	97a-g	0			
19576	388	Burmese (Written)	swɑ̀	swɑ̀	go	go			6.7.2	97a-g	0			2774
19577	813	*Kuki	-wɑ	-wɑ	proceed / go to	proceed / go to	v.	v.	6.7.2	97a-g	0		u	
19578	174	*Tibeto-Burman	r-|wɑ	r-|wɑ	rain	rain			3.2.1	100a-c	0			2080
19579	174	*Tibeto-Burman	(p)wɑ	(p)wɑ	man / person / husband	man / person / husband			1.9.6.1	101a-b	0		z	1634
19580	119	*Karen	wɑ	wɑ	husband	husband			4.7.4	101a-b	0		z	
19581	164	*Sino-Tibetan	pwɑ	pwɑ	breadth of four fingers	breadth of four fingers			9.2.7	101f	0			
19582	164	*Sino-Tibetan	b-wɑ	b-wɑ	breadth of four fingers	breadth of four fingers			9.2.7	101f	0			
19583	174	*Tibeto-Burman	pwɑ	pwɑ	palm (of hand)	palm (of hand)			1.5.5	101f	0			776
19584	388	Burmese (Written)	phɑ̌wɑ	phɑ̌wɑ	breadth of four fingers	breadth of four fingers			9.2.7	101f	0			
19585	174	*Tibeto-Burman	pwɑ	pwɑ	father	father			4.7.1	102a-e	0			x
19586	119	*Karen	bɑ~phɑ	bɑ~phɑ	father	father			4.7.1	102a-e	0			x
19587	164	*Sino-Tibetan	bwɑ~pwɑ	bwɑ~pwɑ	father	father			4.7.1	102a-e	0			x
19588	174	*Tibeto-Burman	r-|pwɑ	r-pwɑ	axe	axe			5.11.5.3	102h-i	0			2772
19589	174	*Tibeto-Burman	kwəy	kwəy	dog	dog			2.1.11	108d	0			1764
19590	109	*Bodo-Garo	k(h)u	k(h)u	mouth	mouth			1.3.1	110a-c	0			
19591	567	Garo	ku ~ khu	ku ~ khu	mouth	mouth			1.3.1	110a-c	0			468,468
19592	529	Dimasa	khu	khu	mouth	mouth			1.3.1	110a-c	0			468
19593	174	*Tibeto-Burman	r-|kuw	r-kuw	steal	steal			6.2.2.1	111a-b	0			2365
19594	529	Dimasa	khɑu	khɑu	rob	rob			6.2.2.1	111a-b	0			
19595	119	*Karen	hyü	hyü	rob	rob			6.2.2.1	111a-b	0			2365
19596	174	*Tibeto-Burman	(d-)|bu	(d-)bu	head	head			1.2.1	118e	0			385
19597	174	*Tibeto-Burman	(s-)kəw|	(s-)kəw|	body	body			1.1.1	122g	0			2
19598	1561	Tibetan (Written)	sku	sku	body / person	body / person			1.1.1	122g	0			2
19599	388	Burmese (Written)	kui(y)	kui(y)|	body / person	body / person			1.1.1	122g	0			2
19600	388	Burmese (Written)	ɑ́u	ɑú	vomit	vomit			1.8.3.2	122i	0			1749
19601	174	*Tibeto-Burman	(r-)|tśrəy	(r-)tśrəy	count	count			6.2.2.2	123r	0		D0	2738
19602	132	*Kuki-Naga	ŋɑːw	ŋɑːw	ape / monkey	ape / monkey			2.1.9	124a-b	0		u	2529
19603	1588	Tiddim	ŋɑːu	ŋɑːu	ape	ape			2.1.9	124a-b	0			2529
19604	974	Lushai [Mizo]	ŋɑu	ŋɑu	gray monkey	gray monkey			9.4	124a-b	0			2529
19605	174	*Tibeto-Burman	r-|kəw	r-kəw	steal	steal			6.2.2.1	125u	0			2365
19606	119	*Karen	hyü	hyü	steal	steal			6.2.2.1	125u	0			2365
19607	469	Chinese (Old)	tśi̯u	tśi̯u	red	red			9.4	128a-c	0			
19608	174	*Tibeto-Burman	tyɑ	tyɑ	red	red			9.4	128a-c	0			
19609	164	*Sino-Tibetan	tyɑ	tyɑ	red	red			9.4	128a-c	0			
19610	174	*Tibeto-Burman	sru(w)	sru(w)	aunt	aunt			4.7.1	133e	0			2665
19611	1561	Tibetan (Written)	sru	sru	older sister	older sister				133e	0			
19612	174	*Tibeto-Burman	nəw	nəw	breast / milk	breast / milk			1.4.4.3	135a	0			253
19613	164	*Sino-Tibetan	b-|kɑ-|n	b-|kɑ-|n	liver	liver			1.7.3	139l	0			229
19614	174	*Tibeto-Burman	kɑ	kɑ	bitter	bitter			7.1.4.4	139l	0	jbl5	HIDE	DUPE IN SOURCE
19615	174	*Tibeto-Burman	kɑnː	kɑnː	dry	dry	v,adj	v,adj	6.6	140c	0			120
19616	666	Jingpho	kɑn	kɑn	dried up (as a stream)	dried up (as a stream)	be v.	be v.	6.6	140c	0			
19617	388	Burmese (Written)	khɑ̀n	khɑ̀n	dry	dry	v,adj	v,adj	6.6	140c	0			120
19618	1678	Atsi [Zaiwa]	kʔɑn	kʔɑn	dry	dry	v,adj	v,adj	6.6	140c	0		u	120
19619	136	*Lolo-Burmese	kɑn	kɑn	dry up	dry up			6.6	140c	0		u	120
19621	666	Jingpho	ndɑn	ndɑn	crossbow	crossbow			5.15	147n	0			451
19622	174	*Tibeto-Burman	(g-)|rɑl	(g-)rɑl	fight / quarrel / war	fight / quarrel / war			6.5	147r	0			2596
19623	174	*Tibeto-Burman	zril	zril	worm	worm			2.2.6	148p	0			2808
19624	388	Burmese (Written)	ti	ti	earthworm	earthworm			2.2.6	148p	0			2808
19625	1510	Thado	til	til	earthworm	earthworm			2.2.6	148p	0		D1	2808
19626	1561	Tibetan (Written)	thal-ba	thal-ba	dust / ashes	dust / ashes			3.2.11	151a	0			374,m
19627	164	*Sino-Tibetan	tɑːn	tɑːn	dry up (as a river) / foreshore	dry up (as a river) / foreshore			3.2.3	152m	0			118
19628	174	*Tibeto-Burman	tɑn	tɑn	dry up (as a river) / foreshore	dry up (as a river) / foreshore			3.2.3	152m	0			118
19629	1561	Tibetan (Written)	thɑn-pɑ	thɑn-pɑ	dry weather / heat / drought	dry weather / heat / drought			6.6	152m	0			118
19630	388	Burmese (Written)	thɑ́n-thɑ́n	thɑ́n-thɑ́n	nearly dry	nearly dry			9.9	152m	0			118,118
19631	174	*Tibeto-Burman	dzɑ	dzɑ	eat	eat			1.5.3.2	154c	0			36
19632	1561	Tibetan (Written)	ser-bɑ	ser-bɑ	hail	hail			3.2.1	156d	0			671,s
19633	174	*Tibeto-Burman	gwɑ-|n~kwɑ-|n	gwɑ-n~kwɑ-n	wear / dress	wear / dress			6.2.2.1	160a	0			2256,2256
19634	119	*Karen	kwɑn	kwɑn	put on (clothes)	put on (clothes)			6.17	160a	0			2256
19635	388	Burmese (Written)	krɑk-swɑn	krɑk-swɑn	onion	onion			3.1.5	175b	0			1606,5494
19636	388	Burmese (Written)	ŋɑ̀n	ŋɑ̀n	goose (wild)	goose (wild)			2.1.10	186a	0			2527
19637	1561	Tibetan (Written)	ŋɑŋ	ŋɑŋ	goose (wild)	goose (wild)			2.1.10	186a	0			2527
19638	174	*Tibeto-Burman	bwɑ̂r~pwɑ̂r	bwɑ̂r~pwɑ̂r	burn / fire	burn / fire			3.2.12.1	195i	0			
19639	174	*Tibeto-Burman	bwɑ̂r	bwɑ̂r	throw / scatter / sow	throw / scatter / sow			6.12	195p	0			2184
19640	1561	Tibetan (Written)	bor-bɑ	bor-bɑ	throw / cast / fling / leave / forsake	throw / cast / fling / leave / forsake			6.12	195p	0			2184,s
19642	974	Lushai [Mizo]	vɑːr	vɑːr	white	white			9.4	195r	0			5683
19643	119	*Karen	ʔ(b)wɑ	ʔ(b)wɑ	white	white			9.4	195r	0			165
19644	174	*Tibeto-Burman	sɑr	sɑr	new / fresh	new / fresh			9.6.1.1	209a-c	0			2651
19645	174	*Tibeto-Burman	ren	ren	equal / place in a row / line / row	equal / place in a row / line / row			6.2.2.1	214a	0			2603
19646	740	Karen	ńɑ	ńɑ	red	red			9.4	216b	0			6151
19647	974	Lushai [Mizo]	hmel	hmel	face	face			1.2.5	223a	0			1188
19648	136	*Lolo-Burmese	dzwan	dzwan	hawk / kite	hawk / kite			2.2.4.1	230a	0			2219
19649	174	*Tibeto-Burman	(m-)|kyen	(m-)|kyen	know	know			8.3.1.12.1	241	0			1229
19650	164	*Sino-Tibetan	(m-)keːn~(m-)geːn	(m-)keːn~(m-)geːn	appear	appear			9.5	241	0			
19651	469	Chinese (Old)	bʻiɑn	bʻiɑn	arrange in a series	arrange in a series			6.17	246e	0			
19652	461	Chinese (Middle)	bʻien	bʻien	arrange in a series	arrange in a series			6.17	246e	0			
19653	174	*Tibeto-Burman	byɑ̂r~pyɑ̂r	byɑ̂r~pyɑ̂r	affix / plait / sew	affix / plait / sew			10.4	246e	0			2188,2188
19654	1588	Tiddim	phan	phan	weave / plait	weave / plait			5.1	246e	0			2018
19655	174	*Tibeto-Burman	byer	byer	fly	fly			2.2.6	246k	0			2189
19656	174	*Tibeto-Burman	(b)woy	(b)woy	monkey	monkey			2.1.9	256c	0			2782
19657	174	*Tibeto-Burman	o.l.	o.l.	complete	complete	v.	v.	9.5	257m	0			e?
19658	174	*Tibeto-Burman	(b-)|g-ryɑt|	(b-)|g-ryɑt|	eight	eight			9.9	281a-d	0			2259
19659	1561	Tibetan (Written)	gyɑd (-pɑ)	gyɑd (-pɑ)	champion / athlete	champion / athlete			4.2.9	284b	0			701,s
19660	174	*Tibeto-Burman	tśât	tśât	break / cut	break / cut			9.5	287a-b	0			1007
19661	174	*Tibeto-Burman	(m-)|lyɑk~(s-)lyak	(m-)|lyɑk~(s-)lyak	lick / tongue	lick / tongue			1.3.3.1	288a	0		D2	629
19662	1561	Tibetan (Written)	med-pɑ	med-pɑ	not be / not exist	not be / not exist			1.5.3.2	294b	0			31,m
19663	174	*Tibeto-Burman	mit	mit	extinguish	extinguish			3.2.12.1	294b	0		D0	31
19664	529	Dimasa	mit	mit	destroy	destroy			6.9	294b	0		u	
19665	164	*Sino-Tibetan	met~mit	met~mit	drown / extinguish / destroy	drown / extinguish / destroy			6.6	294b	0			
19666	469	Chinese (Old)	tʻɑ̂i	tʻɑ̂i	great / big	great / big			9.6.1	316a	0			
19667	469	Chinese (Old)	dʻɑ̂i	dʻɑ̂i	great / big	great / big			9.6.1	317a-c	0			2697
19668	174	*Tibeto-Burman	tɑy	tɑy	great / big	great / big			9.6.1	317a-c	0			2697
19669	469	Chinese (Old)	tʻɑ̂i	tʻɑ̂i	thumb	thumb			1.5.6.1	317d-e	0			
19670	1561	Tibetan (Written)	mthe-bo	mthe-bo	thumb	thumb			1.5.6.1	317d-e	0			
19671	1198	Anong	thɛ	thɛ	thumb	thumb			1.5.6.1	317d-e	0			
19672	1059	Mikir [Karbi]	the	the	big / large / great	big / large / great			9.7.2	317d-e	0			2697
19673	174	*Tibeto-Burman	tɑy	tɑy	thumb	thumb			1.5.6.1	317d-e	0			
19674	174	*Tibeto-Burman	g-|sɑ̂t	g-|sɑ̂t	kill	kill			6.4	319d	0			1018
19675	1198	Anong	hwarr	hwarr	burn / kindle	burn / kindle			3.2.12.1	353a-c	0			
19676	666	Jingpho	wɑn	wɑn	fire	fire			3.2.12.2	353a-c	0			2152
19677	1101	Tangsa (Moshang)	vɑrr	vɑrr	fire	fire			3.2.12.2	353a-c	0			2152
19678	567	Garo	wɑʔl	wɑʔl	fire	fire			3.2.12.2	353a-c	0			2152
19679	174	*Tibeto-Burman	bɑr~pɑr	bɑr~pɑr	burn	burn			3.2.12.1	353a-c	0			
19680	469	Chinese (Old)	ńźie̯	ńźie̯	near	near			9.2.3	359c	0			2496
19681	174	*Tibeto-Burman	ney	ney	near	near			9.2.3	359c	0			2496
19682	1561	Tibetan (Written)	mkhɑ	mkhɑ	heaven / the heavens	heaven / the heavens			5.8.4	361	0			697
19683	174	*Tibeto-Burman	niŋ	niŋ	harvest / year	harvest / year			3.1.10	364a-c	0			2501
19684	186	*Tibeto-Karen	s-niːŋB	s-niːŋB	harvest / year	harvest / year			3.1.10	364a-c	0			e?
19685	119	*Karen	hneŋ	hneŋ	harvest / year	harvest / year			3.1.10	364a-c	0			2501
19686	164	*Sino-Tibetan	s-niːŋ	s-niːŋ	harvest / year	harvest / year			3.1.10	364a-c	0			
