rn	type	text
516227	O	<par>literally &quot;star droppings&quot;</par>
516239	O	<par>(balls of hail)</par>
516247	O	<par>cannot appear alone, and appears to be an atonal?</par>
516253	O	<par>(foot of the mountain)</par>
516256	O	<par>vowel harmony</par>
516268	O	<par>as at the edge of a field; one can walk on it</par>
516270	O	<par>as in: the sky and the earth</par>
516277	O	<par>dry land (&quot;powder&quot;, not in clumps)</par>
516291	O	<par>meaning: red copper</par>
516314	O	<par>bones of the eye</par>
516317	O	<par>&quot;nose hole&quot;</par>
516323	O	<par>The presence of a rhyme <latinform>/v/</latinform> in Laze remains a mystery.</par>
516325	O	<par>sense: the mouth as seen from the outside</par>
516335	O	<par>the first syllable means &quot;the roots of the teeth,&quot; <hanform>牙根</hanform></par>
516342	O	<par><latinform>bie˩</latinform>: means a part of the face, present in women as well as in humans. The <latinform>/na/</latinform> is the &quot;black&quot;. All means &quot;beard&quot;</par>
516353	O	<par>suggests an empty space around the heart, &quot;the cavity of the heart.&quot;</par>
516366	O	<par>(meaning: prominent hip bones)</par>
516369	O	<par>&quot;meat&quot;+&quot;black&quot;.</par>
516370	O	<par>muscle of the upper arm</par>
516371	O	<par>means the leg, as well as the foot</par>
516377	O	<par><latinform>/wɤ˩/</latinform> = &quot;pig&quot;, the bone is &quot;pig-nose,&quot; because of a perceived similarity</par>
516378	O	<par>(<latinform>læ˧mie˥</latinform>: chicken) meaning: the bone protruding out of the foot (<emph>astragalus</emph>?) up above the heel.</par>
516385	O	<par>also &quot;hand&quot;</par>
516391	O	<par>&quot;way of the hand&quot; (hand+way)</par>
516412	O	<par>bones of the back</par>
516416	O	<par>phonetically, <latinform>vɤ.li</latinform></par>
516419	O	<par>phonetically, <latinform>vɔ.nɑ</latinform></par>
516421	O	<par><latinform>qʰæ˥hæ̃˥</latinform> &quot;defecate&quot;</par>
516441	O	<par>(officially classified as Mongolian)</par>
516443	O	<par>loan</par>
516446	O	<par>for both sexes</par>
516452	O	<par>woman not yet married, girl; &quot;woman&quot;+&quot;young&quot;</par>
516459	O	<par>can potentially be used as a term of address</par>
516461	O	<par>(also used as a term of address)</par>
516463	O	<par>does not include nephews and nieces</par>
516467	O	<par>(younger sister or older)</par>
516468	O	<par>At the synchronic level, the Laze word has no initial, just one rhyme that forms a syllable by itself. But at the diachronic level, it seems to be the result of the same development that yields an initial <latinform>/v/</latinform> in <latinform>/vie/</latinform> &quot;do&quot;: occlusive lenition. It could be analyzed as: <latinform>/vv̩/</latinform>.</par>
516471	O	<par>same term for his son and for the son of the sisters</par>
516472	O	<par>same term for his daughters and daughters of sisters</par>
516485	O	<par><latinform>ɑ˧y˥+gu˧mie˧</latinform>: all the sisters</par>
516498	O	<par><latinform>lu˧vie˧</latinform> &quot;work&quot;+<latinform>hĩ˧</latinform> &quot;man&quot;</par>
516499	O	<par>(Tibetan)</par>
516503	O	<par>(highest of the 3 ranks in feudal society)</par>
516508	O	<par>&quot;woman&quot;+&quot;monk&quot;</par>
516510	O	<par>&quot;food&quot;+&quot;ask&quot;</par>
516533	O	<par>&quot;meat&quot;+&quot;white&quot; (with tone change)</par>
516539	O	<par>pork chops</par>
516545	O	<par>Tibetan borrowing</par>
516561	O	<par>probably old word, which in other languages ​​has specialized in the sense of &quot;wheat&quot;</par>
516603	O	<par>&quot;vegetable&quot;+&quot;land&quot;</par>
516620	O	<par>(room within the house where grain is stored)</par>
516629	O	<par>could come from Tibetan (loan), the first syllable is the word for &quot;wood&quot; in the construct state.</par>
516665	O	<par>&quot;strength&quot;+&quot;price&quot; (&quot;the price of labor&quot;)</par>
516709	O	<par>&quot;water&quot;+&quot;hand-operated groundstone&quot;</par>
516716	O	<par>&quot;the center of the gun&quot;</par>
516727	O	<par>homophone with &quot;trap&quot;</par>
516743	O	<par>big heart</par>
516744	O	<par>same word for &quot;salary&quot;</par>
516759	O	<par>local word?</par>
516760	O	<par>also: sense of &quot;before&quot;</par>
516774	O	<par>must have had an initial cluster <latinform>rn-</latinform> or <latinform>rŋ-</latinform></par>
516796	O	<par>means &quot;the sky cleared&quot; = dawn when the sky turns white</par>
516804	O	<par>(from about 6pm)</par>
516821	O	<par>year of thunder</par>
516850	O	<par>seasons consist of &quot;heaven&quot; and the name of the season</par>
516858	O	<par>PST <latinform>*ruk</latinform></par>
516882	O	<par>probably a borrowing from a Chinese dialect, since disappeared</par>
516883	O	<par>probably a borrowing from a Chinese dialect, since disappeared</par>
516884	O	<par>for: a bottle, a bowl, a barrel</par>
516885	O	<par>for: a bottle, a bowl, a barrel</par>
516894	O	<par>also used for other small animals, e.g. mouse</par>
516927	O	<par><latinform>ɑ˧mu˧</latinform> &quot;now&quot;</par>
516970	O	<par>for countable things (cattle, men, chairs ...) but also for rain</par>
516971	O	<par>negative connotation when applied to the countable</par>
516978	O	<par>same vowel correspondence as &quot;pig&quot;; can be reconstructed: <latinform>*S-hak</latinform> &gt; <latinform>S-ho</latinform> &gt; <latinform>S-hʷo</latinform> &gt; Laze <latinform>/wo/</latinform> then <latinform>/wɤ/</latinform>, Na <latinform>/hu/</latinform>, Naxi <latinform>/ho/</latinform>. There is no word like <latinform>*hak</latinform> in related languages​​; We are therefore led to assume a loan to a neighboring language.</par>
516986	O	<par>the second syllable is probably &quot;alcohol&quot;</par>
517059	O	<par>problematic: a mixture of correspondences</par>
517060	O	<par>walking around here and there, and not working seriously</par>
517065	O	<par>negation of &apos;to possess&apos;</par>
517071	O	<par>negation of &quot;happy&quot;</par>
517072	O	<par>e.g. the belly is swollen</par>
517092	O	<par>from &quot;language&quot;+&quot;bcp&quot;</par>
517099	O	<par>homophone with &quot;miserable, poor&quot;</par>
517109	O	<par>to dig into hard soil / deal with hard ground</par>
517110	O	<par>e.g. chicken looking for worms in loose earth</par>
517130	O	<par>the Laze word does not seem cognate with Na and Naxi</par>
517132	O	<par>to store, collect</par>
517143	O	<par>meaning: &quot;to graze (grass)&quot;, &quot;to chew (grass)&quot;</par>
517170	O	<par>e.g. to blow the fire; same word for &quot;blowing a trumpet&quot;</par>
517201	O	<par>e.g. to look back</par>
517250	O	<par>is both &quot;draw&quot; and &quot;write&quot;; this is a borrowing</par>
517251	O	<par>is the verb &quot;hit&quot;</par>
517252	O	<par>carry a child</par>
517264	O	<par>same verb for &quot;to carry a child&quot;</par>
