rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
512509	1998	Na (Yongning)	æ˩˧	æ˩˧	soul (monosyllable)	soul (monosyllable)			1.10		0			
512510	1998	Na (Yongning)	æ˩˧	æ˩˧	chicken	chicken			2.1.10		0			1600
512511	1998	Na (Yongning)	æ˥	æ˥	brass	brass			3.2.4		0			
512512	1998	Na (Yongning)	ɑ˩˧	ɑ˩˧	goose	goose			2.1.10		0			
512513	1998	Na (Yongning)	æ˧bæ˧	æ˧bæ˧	goitre	goitre					0			
512514	1998	Na (Yongning)	æ˩bv˧˩	æ˩bv˧˩	poultry yard	poultry yard			2.1.10		0			1600,m
512515	1998	Na (Yongning)	ɑ˧dɑ˥$	ɑ˧dɑ˥$	father	father			4.7.1		0			
512516	1998	Na (Yongning)	æ˩gv˩	æ˩gv˩	plow	plow			6.11		0			
512517	1998	Na (Yongning)	ɑ˧hɑ˩bɑ˩lɑ˩	ɑ˧hɑ˩bɑ˩lɑ˩	traditional song	traditional song			5.8		0			
512518	1998	Na (Yongning)	æ˩hṽ˧˩	æ˩hṽ˧˩	copper	copper			3.2.4		0			
512519	1998	Na (Yongning)	ɑ˧hwɤ˧	ɑ˧hwɤ˧	yesterday evening	yesterday evening			9.1.3		0			
512520	1998	Na (Yongning)	ɑ˧hwɤ˧-zo˧hṽ˧˥	ɑ˧hwɤ˧-zo˧hṽ˧˥	newborn baby	newborn baby			4.2.11		0			
512521	1998	Na (Yongning)	æ˩kʰv˧˥	æ˩kʰv˧˥	year of the cock	year of the cock			9.1.2		0			1600,2252
512522	1998	Na (Yongning)	ɑ˧lɑ˧ʁwɤ˧	ɑ˧lɑ˧ʁwɤ˧	hamlet of Yongning, close to the monastery	hamlet of Yongning, close to the monastery			10.1.1		0			
512523	1998	Na (Yongning)	æ˩ɬi˥	æ˩ɬi˥	soul	soul			1.10		0			
512524	1998	Na (Yongning)	æ˩li˧pʰæ˥	æ˩li˧pʰæ˥	mirror	mirror			5.11.8.3		0			
512525	1998	Na (Yongning)	æ˩mi˧	æ˩mi˧	hen	hen			2.1.10		0			1600,m
512526	1998	Na (Yongning)	æ˩mi˧ʁwɤ˧	æ˩mi˧ʁwɤ˧	Amiwa (Yongning village)	Amiwa (Yongning village)			5.8		0			m,m,2773
512527	1998	Na (Yongning)	æ˧mv˩	æ˧mv˩	elder (brother or sister)	elder (brother or sister)			4.7.1		0			
512528	1998	Na (Yongning)	æ˧mv˧gi˥zɯ˩	æ˧mv˧gi˥zɯ˩	brothers	brothers			4.7.2		0			
512529	1998	Na (Yongning)	æ˧mv˧gu˧mi˥	æ˧mv˧gu˧mi˥	sisters	sisters			4.7.2		0			
512530	1998	Na (Yongning)	æ˧mv˥tɕi˩	æ˧mv˥tɕi˩	small	small			9.7.2		0			
512531	1998	Na (Yongning)	æ˧ɲi#˥	æ˧ɲi#˥	clarinet	clarinet					0			
512532	1998	Na (Yongning)	æ˩pʰæ˥	æ˩pʰæ˥	precipice, overhanging cliff	precipice, overhanging cliff			3.2.5		0			
512533	1998	Na (Yongning)	ɑ˩pʰu˩	ɑ˩pʰu˩	outside	outside			9.2.7		0			
512534	1998	Na (Yongning)	ɑ˩pʰu˩hĩ˩˧	ɑ˩pʰu˩hĩ˩˧	someone else, other people	someone else, other people			4.1		0			
512535	1998	Na (Yongning)	ɑ˩pʰv˧˥	ɑ˩pʰv˧˥	belch, burp	belch, burp			1.8.3.4		0			3443,m
512536	1998	Na (Yongning)	ɑ˩pʰv˧˥	ɑ˩pʰv˧˥	belch	belch	v.	v.	1.8.3.4		0			3443,m
512537	1998	Na (Yongning)	æ̃˧qæ˩	æ̃˧qæ˩	blue-green	blue-green			9.4		0			
512538	1998	Na (Yongning)	æ˩qʰv˧˩	æ˩qʰv˧˩	cave, cavern (difficult to enter, or too small for a person to enter)	cave, cavern (difficult to enter, or too small for a person to enter)			3.2.7		0			m,820
512539	1998	Na (Yongning)	ɑ˩ʁu˧	ɑ˩ʁu˧	home, central room in the house	home, central room in the house			5.11.9.6		0			
512540	1998	Na (Yongning)	ɑ˩ʁu˧hĩ˧	ɑ˩ʁu˧hĩ˧	people of the family, relatives	people of the family, relatives			4.5		0			
