rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
618316	2206	Yimchungrü	achih		shame; shyness / shy					86	0			
618317	2206	Yimchungrü	afu◦lung		center					36	0			m,7777
618318	2206	Yimchungrü	afüyeak		green					97	0			
618319	2206	Yimchungrü	ahori (ahori-arabe)		play; sport					39	0			
618320	2206	Yimchungrü	a◦hüh		steal					46	0			p,2365
618321	2206	Yimchungrü	a◦ji		seed					75	0			p,3559
618322	2206	Yimchungrü	akhim shuhbe		key					45	0			
618323	2206	Yimchungrü	a◦khü		cough		v.			38	0			p,1795
618324	2206	Yimchungrü	a◦khün		hole					49	0			p,665
618325	2206	Yimchungrü	akhüpbe		low					64	0			
618326	2206	Yimchungrü	a◦khüp◦topung		shade					48	0			p,7690,m
618327	2206	Yimchungrü	alihte tso		run away					77	0			
618328	2206	Yimchungrü	alümkhitrü		remember		v.			84	0			
618329	2206	Yimchungrü	amiting		darkness					23	0			
618330	2206	Yimchungrü	amiting		night					85	0			
618331	2206	Yimchungrü	amo		cloud					74	0			
618332	2206	Yimchungrü	a◦mo		price					35	0			p,4759
618333	2206	Yimchungrü	a◦mo		tail					69	0			p,5545
618334	2206	Yimchungrü	a◦mo		value					82	0			p,4759
618335	2206	Yimchungrü	a◦mo◦chak		costly					80	0			p,4759,186
618336	2206	Yimchungrü	amükhirü		lean					60	0			
618337	2206	Yimchungrü	amülang		heavy					78	0			
618338	2206	Yimchungrü	a◦mü◦mün◦khi		unripe					31	0			p,2436,2449,m
618339	2206	Yimchungrü	amünküp		edge					34	0			
618340	2206	Yimchungrü	amü◦peak		flat					44	0			m,821a
618341	2206	Yimchungrü	a◦mürak		black					90	0			p,2483
618342	2206	Yimchungrü	a◦mürang		strong					79	0			p,1842
618343	2206	Yimchungrü	amürüm		red					87	0			
618344	2206	Yimchungrü	amüsüh		clean					93	0			
618345	2206	Yimchungrü	a◦mu◦tsü		bad					76	0			p,2436,m
618346	2206	Yimchungrü	a◦mü◦tsü		bad					38	0			p,2436,m
618347	2206	Yimchungrü	amüye		white					92	0			
618348	2206	Yimchungrü	a◦mü◦züm◦be		poison					89	0			p,p,7691,s
618349	2206	Yimchungrü	a◦nam		feather					65	0			p,366
618350	2206	Yimchungrü	aneak		dirty					40	0			
618351	2206	Yimchungrü	a◦ni		sun					95	0			p,85
618352	2206	Yimchungrü	a◦peak		sheet					45	0			p,821a
618353	2206	Yimchungrü	a◦pi		he					88	0			2138,m
618354	2206	Yimchungrü	a◦puh		father					68	0			p,2546
618355	2206	Yimchungrü	a◦püm◦khi		swell		v.			95	0			p,163,s
