rn	type	text
126924	I	<par>M1 = EYE?</par>
126937	I	<par>Cf. WT <latinform>dpral-ba</latinform>.</par>
126988	I	<par>NB semantics</par>
127067	I	<par>First syll = 4 <reconstruction>*g-zuk</reconstruction> BODY?</par>
127067	T	<par>Cf. WT <latinform>gzugs-po</latinform>.</par>
127090	I	<par>See above 128307 Bunan. See also the <latinform>lwa</latinform> forms? M2: m or s?</par>
127095	I	<par>as 13062 above</par>
127096	I	<par><latinform>pə</latinform>: cf. ba above.<emph>ADD DIVISION TO DBASE</emph></par>
127097	I	<par>1390/227, s?, + wa = baq/pa</par>
127097	I	<par>M1 = 1390? 227?</par>
127104	I	<par>Div.</par>
127120	I	<par>The second syllable is the Spiti word for “buttocks” .</par>
127122	I	<par>Note similarity to Sak word for “navel” <latinform>ti-a</latinform>.</par>
