rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
10394	1040	Meithei	hək◦caŋ	hək◦caŋ	body	body			1.1.1	1.1	0			8,6
10395	1040	Meithei	yet	yet	side (right)	side (right)			1.4.5	1.2	0			
10396	1040	Meithei	oy	oy	side (left)	side (left)			1.4.5	1.3	0			2154
10397	1040	Meithei	woy	woy	side (left)	side (left)			1.4.5	1.3	0			2154
10398	1040	Meithei	tuŋ	tuŋ	back	back			1.4.8	1.4	0			3322
10399	1040	Meithei	maŋ	maŋ	front	front			1.4.4	1.5	0			1210
10400	1040	Meithei	həkcaŋ məwu	həkcaŋ məwu	torso / trunk	torso  /  trunk			1.5.3.2	1.6	0	jbl3		m,m
10401	1040	Meithei	kayat	kayat	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
10402	1040	Meithei	khut əmasuŋ khoŋ	khut əmasuŋ khoŋ	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1		0	jbl3		712,m,5621
10403	1040	Meithei	təm◦pak	təm◦pak	lap	lap			1.4.4.2	1.8	0			m,1255
10404	1040	Meithei	Tha◦bak	Tha◦bak	bosom	bosom			1.4.4.2	1.9	0			m,1255
10405	1040	Meithei	tha◦bak	tha◦bak	bosom	bosom			1.4.4.2	1.9	0			m,1255
10406	1040	Meithei	kamya	kamya	groin / loins	groin  /  loins			1.4.9	1.10	0	jbl3		
10407	1040	Meithei	sa◦doŋ	sa◦doŋ	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34,38
10408	1040	Meithei	hiŋ◦bə	hiŋ◦bə	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		71,m
10409	1040	Meithei	si◦bə	si◦bə	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27,s
10410	1040	Meithei	əsibə hək◦caŋ	əsibə hək◦caŋ	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		m,8,6
10411	1040	Meithei	ə◦si◦bə sa	ə◦si◦bə sa	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		p,27,s,34
10412	1040	Meithei	tum◦bə	tum◦bə	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		128,s
10413	1040	Meithei	həw◦gət◦pə	həw◦gət◦pə	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		142,m,s
10414	1040	Meithei	məŋ məŋ◦bə	məŋ məŋ◦bə	dream	dream	v.	v.	1.1.4.2	1.18	0			126,126,s
10415	1040	Meithei	kok	kok	head	head			1.2.1	2	0		D1	1224
10416	1040	Meithei	kok	kok	head	head			1.2.1	2.1	0	jbl5	HIDE	DUPE IN SOURCE
10417	1040	Meithei	ləway	ləway	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		1198
10418	1040	Meithei	lem◦phu	lemphu	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		m,1275
10419	1040	Meithei	lə·way	lə·way	fontanel	fontanel			1.2.1.3	2.3	0			1198
10420	1040	Meithei	kok-ki səru	kok-ki səru	skull	skull			1.2.1.1	2.4	0			1224,m,234
10421	1040	Meithei	lu◦kəŋ	lu◦kəŋ	skull	skull			1.2.1.1	2.4	0			1221,m
