rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
141927	346	Bisu	jaŋ	jaŋ	he / she / it 3rd pers. pron.	he / she / it 3rd pers. pron.			4.1		0			
141928	346	Bisu	ʔaŋ◦tɛ̀	ʔaŋ◦tɛ̀	alive	alive			1.1.2.1		0			p,72
141929	346	Bisu	lɔŋtsʰà	lɔŋtsʰà	ant	ant			2.2.6		0			
141930	346	Bisu	khɤ̀nkhɤ	khɤ̀nkhɤ	arrive	arrive			6.7.1		0			
141931	346	Bisu	khà◦là	khàlà	ashes	ashes			3.2.12.2		0			2361,5606
141932	346	Bisu	hná	hná	listen	listen			1.2.7.4		0			811
141933	346	Bisu	tàŋ◦kʰàŋ	tàŋ◦kʰàŋ	back / spine	back / spine			1.4.8		0			225,219
141934	346	Bisu	nàsɯ̀ŋ	nàsɯ̀ŋ	bank of earth between fields	bank of earth between fields			9.10.2		0			
141935	346	Bisu	hóŋ	hóŋ	bark (of dogs)	bark (of dogs)			2.1.11.1		0			6092
141936	346	Bisu	ʔu◦wám	ʔu◦wám	bear	bear			2.2.3		0			m,2777
141937	346	Bisu	ʔaŋ◦hmaŋ	ʔaŋhmaŋ	beautiful	beautiful			7.1.3		0			
141938	346	Bisu	pjà	pjà	bee	bee			2.2.6		0			2187
141939	346	Bisu	khátɛ́	khátɛ́	before, long ago	before, long ago			9.1.5		0			
141940	346	Bisu	pɛ◦kʰà◦(làŋ)	pɛ◦kʰà◦(làŋ)	bile	bile			1.7.3.1		0			m,229,191
141941	346	Bisu	ha◦ja	ha◦ja	bird	bird			2.2.4		0			1603,m
141942	346	Bisu	ʔaŋ◦khà	ʔaŋ◦khà	bitter	bitter			7.1.4.4		0			p,229
141943	346	Bisu	ʔaŋ◦pláŋ	ʔaŋpláŋ	black	black			9.4		0			
141944	346	Bisu	ʃámʃídíɤlɤ	ʃámʃídíɤlɤ	blacksmith	blacksmith			4.2.1.4		0			
141945	346	Bisu	ʃì	ʃì	blood	blood			1.6.2		0			230
141946	346	Bisu	hmi	hmi	blow	blow			1.3.1.4		0			503
141947	346	Bisu	lɔ́ŋ	lɔ́ŋ	boat	boat			5.1		0			2416
141948	346	Bisu	phù	phù	boil	boil	v.i.	v.i.	6.6		0			
141949	346	Bisu	hàŋhmin	hàŋhmin	boiled rice	boiled rice			6.6		0			
