rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
271877	946	Lisu (Northern)	a³³	a³³	ah (expressing realisation)	ah (expressing realisation)	I	I			0			
271878	946	Lisu (Northern)	a³³pa³³	a³³pa³³	grandfather, grandfather-in-law	grandfather, grandfather-in-law	N	N	4.7.1		0			
271879	946	Lisu (Northern)	a³³bi³³	a³³bi³³	boy	boy	N	N	1.9.6.1		0			
271880	946	Lisu (Northern)	a³³bi³³za²¹	a³³bi³³za²¹	little boy	little boy			9.7.2		0			
271881	946	Lisu (Northern)	a³³pe³³	a³³pe³³	nappies (collective)	nappies (collective)	N	N			0			
271882	946	Lisu (Northern)	a³³pø³³dʑe³³	a³³pø³³dʑe³³	nappy (specific)	nappy (specific)	N	N			0			
271883	946	Lisu (Northern)	a³³dæʔ²¹	a³³dæʔ²¹	elder brother; elder sister (general address form used for elder brothers and sisters)	elder brother; elder sister (general address form used for elder brothers and sisters)	N	N	4.7.1		0			
271884	946	Lisu (Northern)	a³³ɣɔ⁴⁴	a³³ɣɔ⁴⁴	father's younger brother; father's younger sister's husband	father's younger brother; father's younger sister's husband	N	N	1.5.3.2		0			
271885	946	Lisu (Northern)	a³³ɤ⁴⁴	a³³ɤ⁴⁴	how far	how far	A	A	10.1		0			p,622
271886	946	Lisu (Northern)	a³³ɤ⁴⁴	a³³ɤ⁴⁴	(expressing pity and dissuasion)	(expressing pity and dissuasion)	I	I			0			
271887	946	Lisu (Northern)	a³³kwa³³	a³³kwa³³	where	where	A	A	10.5.3		0			
271888	946	Lisu (Northern)	a³³kwa³³ tɕhi³³tɕhi³³	a³³kwa³³ tɕhi³³tɕhi³³	everywhere; general; widespread; all over the place	everywhere; general; widespread; all over the place			9.10.5		0			
271889	946	Lisu (Northern)	a³³kwa³³ tɕhi³³tɕhi³³ dzɔ	a³³kwa³³ tɕhi³³tɕhi³³ dzɔ	general truth	general truth			10.4.1.1		0			
271890	946	Lisu (Northern)	a³³kwa³³ tɕhi³³tɕhi³³ je³	a³³kwa³³ tɕhi³³tɕhi³³ je³	popularise	popularise					0			
271891	946	Lisu (Northern)	æ⁵⁵	æ⁵⁵	(expressing pity)	(expressing pity)	I	I			0			
271892	946	Lisu (Northern)	æ̃³³	æ̃³³	preserve (usually with salt); pickle	preserve (usually with salt); pickle	V	V	6.18		0			
271893	946	Lisu (Northern)	æ̃⁵⁵le³³	æ̃⁵⁵le³³	drench; soak	drench; soak			6.6		0			
271894	946	Lisu (Northern)	æ̃³⁵	æ̃³⁵	(expressing surprise)	(expressing surprise)	I	I			0			
271895	946	Lisu (Northern)	æ̃³⁵	æ̃³⁵	duck	duck	N	N	2.1.10		0			
271896	946	Lisu (Northern)	æ³⁵kɔ²¹ tʃu³³ji³⁵	æ³⁵kɔ²¹ tʃu³³ji³⁵	patriotism	patriotism	N	N			0			bChinese
271897	946	Lisu (Northern)	æ²¹thɔ²¹tɕe²¹	æ²¹thɔ²¹tɕe²¹	Children's Day	Children's Day	N	N	1.5.3.2		0			bChinese
271898	946	Lisu (Northern)	æ²¹thɔ²¹thwa²¹	æ²¹thɔ²¹thwa²¹	Children's Corps	Children's Corps	N	N	4.7.3		0			bChinese
271899	946	Lisu (Northern)	a³³dʑɔ²¹	a³³dʑɔ²¹	hear; it is said; possibly	hear; it is said; possibly	Pf	Pf	1.2.7.4		0			
271900	946	Lisu (Northern)	a³³kha³³ da²¹ma³³	a³³kha³³ da²¹ma³³	crocodile	crocodile	N	N	2.1.6		0			
271901	946	Lisu (Northern)	a³³khɤ³³tɕhi³³	a³³khɤ³³tɕhi³³	how	how	A	A	10.1		0			
271902	946	Lisu (Northern)	a⁵⁵	a⁵⁵	(expressing surprise)	(expressing surprise)	I	I			0			bChinese
271903	946	Lisu (Northern)	a³³læ³³	a³³læ³³	(expressing that something should be avoided)	(expressing that something should be avoided)	I	I			0			
271904	946	Lisu (Northern)	a⁵⁵pɤ³³	a⁵⁵pɤ³³	concave wooden board for carrying things on back	concave wooden board for carrying things on back	N	N	9.7.2		0			
271905	946	Lisu (Northern)	a⁵⁵pɤ³³	a⁵⁵pɤ³³	apron	apron	N	N	5.11.8.2.2		0			
271906	946	Lisu (Northern)	a⁵⁵pɤ⁵⁵	a⁵⁵pɤ⁵⁵	see-saw	see-saw	N	N	5.8		0			
271907	946	Lisu (Northern)	a⁵⁵pɔ⁵⁵ ka²¹hĩ³³	a⁵⁵pɔ⁵⁵ ka²¹hĩ³³	sentry post	sentry post	N	N	4.2.6		0			
271908	946	Lisu (Northern)	a⁵⁵tʃhɿ³³	a⁵⁵tʃhɿ³³	sixth sister	sixth sister	N	N	9.9		0			
271909	946	Lisu (Northern)	a⁵⁵tʃhɿʔ²¹	a⁵⁵tʃhɿʔ²¹	goat	goat	N	N	2.1.8		0			p|p,1226
271910	946	Lisu (Northern)	a⁵⁵tʃhɿʔ²¹bø³³	a⁵⁵tʃhɿʔ²¹bø³³	sheep pen	sheep pen			2.1.8		0			p|p,1226,m
