rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
172848	1618	Ugong	ʔadúŋ ʔadúɔʔ	ʔadúŋ ʔadúɔʔ	whole body	whole body			7.1.6.2		0			
172849	1618	Ugong	ho̩ŋ dúŋ / ʔǒ̩dûŋ	ho̩ŋ dúŋ / ʔǒ̩dûŋ	body	body			1.1.1	1.1	0			
172850	1618	Ugong	thúŋ	thúŋ	dead body	dead body			1.1.6.1		0			
172851	1618	Ugong	nǎŋ khɔ̀ʔ	nǎŋ khɔ̀ʔ	side of body	side of body			1.4.5	1.2/1.3	0			
172852	1618	Ugong	ʔa	ʔa	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		
172853	1618	Ugong	khu phɔ́	khu phɔ́	head	head			1.2.1	2.1	0			
172854	1618	Ugong	khu mɔ́ŋ	khu mɔ́ŋ	fontanel (soft spots in baby s	fontanel (soft spots in baby s			1.2.1.3	2.3	0			
172855	1618	Ugong	khuphɔ́wú/ᴜ	khuphɔ́wú/ᴜ	skull	skull			1.2.1.1	2.4	0			
172856	1618	Ugong	khu nǒ̵̩k	khu nǒ̵̩k	brain (= 9.1 )	brain (=  9.1  )			1.2.4	2.5	0	jbl3		m,243
172857	1618	Ugong	khu sǎŋ (mé̩ŋ)	khu sǎŋ (mé̩ŋ)	hair of head (= 8.1.1)	hair of head (=  8.1.1)			1.2.3	2.7	0	jbl3		372,m,363
172858	1618	Ugong	khu phɔ́ khlɪ́	khu phɔ́ khlɪ́	dandruff	dandruff			1.2.1.5		0			
172859	1618	Ugong	phlɔŋ	phlɔŋ	face	face			1.2.5	3.1	0			1186
172860	1618	Ugong	nɔ khɔ̌ŋ	nɔ khɔ̌ŋ	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		356,2025
172861	1618	Ugong	ɲɔʔ◦kɔŋ	ɲɔʔ◦kɔŋ	eye	eye			1.2.6	3.4	0			681,m
172862	1618	Ugong	ɲɔʔ kó̵̩ˌʔ (kɔŋ)	ɲɔʔ kó̵̩ˌʔ (kɔŋ)	eyelid	eyelid			1.2.6.4	3.4.1	0			
172863	1618	Ugong	ɲɔʔ khlóŋ	ɲɔʔ khlóŋ	eyeball	eyeball			1.2.6.1	3.4.2	0			
172864	1618	Ugong	ɲɔʔkɔŋ sɤ̩́k/nɔʔ	ɲɔʔkɔŋ sɤ̩́k/nɔʔ	iris	iris			1.2.6.2	3.4.2.1	0			
172865	1618	Ugong	ɲɔʔkɔŋ sɤ̩́k/nɔʔ	ɲɔʔkɔŋ sɤ̩́k/nɔʔ	pupil	pupil			1.2.6.2	3.4.2.2	0			
172866	1618	Ugong	ɲɔʔ◦(kɔŋ)phlɔ/phɔ̌	ɲɔʔ◦(kɔŋ)phlɔ/phɔ̌	white of eye	white of eye			1.2.6.3	3.4.2.3	0			681,m,m,1235
172867	1618	Ugong	ɲɔʔ khé̩ŋ (mọ̵́ŋ)	ɲɔʔ khé̩ŋ (mọ̵́ŋ)	eyebrow	eyebrow			1.2.6.6	3.4.3	0			
172868	1618	Ugong	ɲɔʔ◦sə̩́kméŋ	ɲɔʔ◦sə̩́kméŋ	eyelash	eyelash			1.2.6.5	3.4.4	0			681,m
172869	1618	Ugong	ɲɔʔ phɪ́k	ɲɔʔ phɪ́k	tear	tear (n.)	n		1.8.8.1	3.4.6	0	dwb33		
172870	1618	Ugong	ɲɔʔ khlɪ́	ɲɔʔ khlɪ́	eye sand	eye sand			1.2.6.8	3.4.7	0			681,m
172871	1618	Ugong	ɲɔʔ kɔŋ bǒ̩ŋ na	ɲɔʔ kɔŋ bǒ̩ŋ na	conjuctivitis	conjuctivitis			1.2.6.14		0			
172872	1618	Ugong	nà◦thɛ̂ŋ / nè◦thɛ̂ŋ	nàthɛ̂ŋ / nèthɛ̂ŋ	nose	nose			1.2.8	3.5	0			803,m,803,m
172873	1618	Ugong	nàthɛ̂ŋkɔŋ	nàthɛ̂ŋkɔŋ	nostril	nostril			1.2.8.1	3.5.2	0			
172874	1618	Ugong	nà◦thɛ̂ŋ / yɔŋ	nàthɛ̂ŋ / yɔŋ	tip of nose	tip of nose			9.2.1		0			803,m,m
172875	1618	Ugong	nàthɛ̂ŋ khu khyɪ̂	nàthɛ̂ŋ khu khyɪ̂	septum	septum			1.6.5		0			
172876	1618	Ugong	nà◦thɛ̂ŋ◦mọ̵́ŋ	nàthɛ̂ŋ◦mọ̵́ŋ	nose hair	nose hair			1.2.8	3.5.4	0			803,m,363
172877	1618	Ugong	nǎʔ	nǎʔ	liquid mucus	liquid mucus			3.2.3	3.5.6	0			805
172878	1618	Ugong	na khlɪ̂	na khlɪ̂	solid mucus	solid mucus			1.1.5	3.5.7	0			
172879	1618	Ugong	dú̵ʔʔọ̵́ / nǎʔʔộ̵	dú̵ʔʔọ̵́ / nǎʔʔộ̵	nose bleed	nose bleed			1.2.8		0			
172880	1618	Ugong	nàdɔ̌ʔ / nàca	nàdɔ̌ʔ / nàca	ear	ear			1.2.7	3.6	0			
172881	1618	Ugong	nà◦kɔŋ	nàkɔŋ	nose	nose?? CHECK			1.2.8		0			803,809
