rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
15901	1661	Yi (Lishan)	pʰɤ̱³¹	pʰɤ̱³¹	swell, swollen	swell,swollen			1.1.5.2		0			163
15902	1661	Yi (Lishan)	sɛ̱³¹	sɛ̱³¹	air, breath	air, breath			1.1.2.2		0			32
15903	1661	Yi (Lishan)	pʰi̱³¹	pʰi̱³¹	spit, phlegm	spit, phlegm			1.8.3		0			
15904	1661	Yi (Lishan)	bɔ³³	bɔ³³	deaf	deaf			1.2.7.5		0			1409
15905	1661	Yi (Lishan)	fv̩³¹	fv̩³¹	lay (egg)	lay (egg)			6.17		0			
15906	1661	Yi (Lishan)	jĩ	jĩ	swallow	swallow			1.3.5.6		0			
15907	1661	Yi (Lishan)	tæ̱³³	tæ̱³³	blind	blind			1.2.6.14.2		0		D1	m
15908	1661	Yi (Lishan)	kʰɔ³³	kʰɔ³³	bitter	bitter			7.1.4.4		0			229
15909	1661	Yi (Lishan)	tʰi̱³¹	tʰi̱³¹	braid (hair)	braid (hair)	v.	v.	1.2.3.2		0			x
15910	1661	Yi (Lishan)	tsɤ³¹	tsɤ³¹	cough	cough			1.8.3.3		0			
15911	1661	Yi (Lishan)	tʂʰɿ³¹	tʂʰɿ³¹	horn	horn			1.2.2		0			819
15912	1661	Yi (Lishan)	tʂʰɤ̱³¹	tʂʰɤ̱³¹	gnaw (bite)	gnaw (bite)			1.3.4.4		0			
15913	1661	Yi (Lishan)	læ̱³¹	læ̱³¹	lick	lick			1.3.3.1		0			629
15914	1661	Yi (Lishan)	nv̩³¹	nv̩³¹	ill	ill	be v.	be v.	1.1.5.1		0			160
15915	1661	Yi (Lishan)	nɛ̱³³ sɛ̱³³	nɛ̱³³ sɛ̱³³	eye	eye			1.2.6		0			681,1019
15916	1661	Yi (Lishan)	dʐv̱ˌ³³	dʐv̱ˌ³³	afraid	afraid	be v.	be v.	7.1.1		0		D1	
