rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
14168	698	Jinuo (Baya/Banai)	a³³ mʌ⁴⁴	a³³ mʌ⁴⁴	body	body			1.1.1	97	0			p,17
14169	698	Jinuo (Baya/Banai)	ʃɔ⁴⁴ kʰji³¹ la⁵⁵ pu⁴⁴	ʃɔ⁴⁴ kʰji³¹ la⁵⁵ pu⁴⁴	limbs	limbs			1.5.3.1	98	0			
14170	698	Jinuo (Baya/Banai)	vu⁴⁴ kʰjɛ⁴⁴	vu⁴⁴ kʰjɛ⁴⁴	head	head			1.2.1	99	0			385,383
14171	698	Jinuo (Baya/Banai)	tsʰɛ⁴⁴ kʰɯ⁴⁴	tsʰɛ⁴⁴ kʰɯ⁴⁴	hair (head)	hair (head)			1.2.3	100	0			366,372
14172	698	Jinuo (Baya/Banai)	tsʰɛ⁴⁴ pʰlœ⁵⁵	tsʰɛ⁴⁴ pʰlœ⁵⁵	braid (hair)	braid (hair)	n	n	1.2.3.2	101	0			366,2018
14173	698	Jinuo (Baya/Banai)	nɤ⁴⁴ tʰɤ⁴⁴	nɤ⁴⁴ tʰɤ⁴⁴	forehead	forehead			1.2.5.1	102	0			356,358
14174	698	Jinuo (Baya/Banai)	mja³¹ mɯ⁴⁴	mja³¹ mɯ⁴⁴	eyebrow	eyebrow			1.2.6.6	103	0			681,363
14175	698	Jinuo (Baya/Banai)	mja³¹ sɯ⁴⁴	mja³¹ sɯ⁴⁴	eye	eye			1.2.6	104	0			681,3559
14176	698	Jinuo (Baya/Banai)	mja³¹ tsɿ³³	mja³¹ tsɿ³³	eye	eye			1.2.6	104.1	0			681,3559
14177	698	Jinuo (Baya/Banai)	nɤ³¹ to⁴⁴	nɤ³¹ to⁴⁴	nose	nose			1.2.8	106	0			803,808
14178	698	Jinuo (Baya/Banai)	na⁴⁴ kʰo⁵⁵	na⁴⁴ kʰo⁵⁵	ear	ear			1.2.7	107	0			811,820
14179	698	Jinuo (Baya/Banai)	mja³¹ pʰlʌ⁴⁴	mja³¹ pʰlʌ⁴⁴	face	face			1.2.5	108	0			681,1186
14180	698	Jinuo (Baya/Banai)	pɔ⁴⁴ kjɛ³¹	pɔ⁴⁴ kjɛ³¹	cheek	cheek			1.2.5.2	109	0			268,262
