rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
14676	747	Karen (Sgaw/Yue)	kʰo³¹	kʰo³¹	head	head			1.2.1	99	0			386
14677	747	Karen (Sgaw/Yue)	kʰo³¹ θu⁵⁵	kʰo³¹ θu⁵⁵	hair (head)	hair (head)			1.2.3	100	0			386,5634
14678	747	Karen (Sgaw/Yue)	θi³¹ kʰo³¹ θu⁵⁵	θi³¹ kʰo³¹ θu⁵⁵	braid (hair)	braid (hair)	n	n	1.2.3.2	101	0			7237,386,5634
14679	747	Karen (Sgaw/Yue)	mɛ̱ʔ³¹ kʰo³¹ θu⁵⁵	mɛ̱ʔ³¹ kʰo³¹ θu⁵⁵	eyebrow	eyebrow			1.2.6.6	103	0			682,386,5634
14680	747	Karen (Sgaw/Yue)	mɛ̱³¹ kʰli⁵⁵	mɛ̱³¹ kʰli⁵⁵	eye	eye			1.2.6	104	0			682,m
14681	747	Karen (Sgaw/Yue)	na⁵⁵ se³³	na⁵⁵ se³³	nose	nose			1.2.8	106	0			803,m
14682	747	Karen (Sgaw/Yue)	na³¹	na³¹	ear	ear			1.2.7	107	0			811
14683	747	Karen (Sgaw/Yue)	mɛ̱ʔ³¹ θa³¹	mɛ̱ʔ³¹ θa³¹	face	face			1.2.5	108	0			682,2034
14684	747	Karen (Sgaw/Yue)	bɔ̱ʔ⁵⁵ pa³³	bɔ̱ʔ⁵⁵ pa³³	cheek	cheek			1.2.5.2	109	0			268,s
14685	747	Karen (Sgaw/Yue)	ko³¹ pu³³	ko³¹ pu³³	mouth	mouth			1.3.1	110	0			468,476
14686	747	Karen (Sgaw/Yue)	nɔ̱ʔ⁵⁵ pʰoʔ⁵⁵	nɔ̱ʔ⁵⁵ pʰoʔ⁵⁵	lip	lip			1.3.2	111	0			471,m
14687	747	Karen (Sgaw/Yue)	nɔ̱ʔ⁵⁵ sʰu³¹	nɔ̱ʔ⁵⁵ sʰu³¹	beard	beard			1.2.5.5	112	0			471,5634
14688	747	Karen (Sgaw/Yue)	kʰa³¹ sʰu³¹	kʰa³¹ sʰu³¹	whiskers	whiskers			1.2.5.5	113	0			273,m
14689	747	Karen (Sgaw/Yue)	kʰa³¹	kʰa³¹	lower jaw, chin	lower jaw, chin				114	0			273
14690	747	Karen (Sgaw/Yue)	ko³¹ bo̱⁵⁵	ko³¹ bo̱⁵⁵	neck	neck			1.4.2	115	0			486,484
14691	747	Karen (Sgaw/Yue)	pʰi⁵⁵ na⁵⁵ kʰo³¹	pʰi⁵⁵ na⁵⁵ kʰo³¹	shoulder	shoulder			1.4.3	117	0			563,m,3350
14692	747	Karen (Sgaw/Yue)	plo³¹	plo³¹	back (body)	back (body)			1.4.8	118	0			209
14693	747	Karen (Sgaw/Yue)	θi³¹ la̱ʔ³¹	θi³¹ la̱ʔ³¹	armpit	armpit			1.5.1.2.3	119.1	0			
14694	747	Karen (Sgaw/Yue)	ti³¹ la̱ʔ³¹	ti³¹ la̱ʔ³¹	armpit	armpit			1.5.1.2.3	119.2	0			
14695	747	Karen (Sgaw/Yue)	θa̱ʔ⁵⁵ na⁵⁵ pua³¹	θa̱ʔ⁵⁵ na⁵⁵ pua³¹	chest	chest			1.4.4.3	120	0			32,556,288
14696	747	Karen (Sgaw/Yue)	hɛ⁵⁵ pʰɛ⁵⁵	hɛ⁵⁵ pʰɛ⁵⁵	belly	belly			1.4.7	122	0			m,m
14697	747	Karen (Sgaw/Yue)	de̱⁵⁵	de̱⁵⁵	navel	navel			1.9.4	123	0			519
14698	747	Karen (Sgaw/Yue)	jɔ³¹ de̱⁵⁵	jɔ³¹ de̱⁵⁵	waist	waist			1.4.6	124	0			339,3340
14699	747	Karen (Sgaw/Yue)	ki³¹ du̱³¹	ki³¹ du̱³¹	thigh	thigh			1.5.7.1	126.1	0			
14700	747	Karen (Sgaw/Yue)	tɕi³¹ du̱³¹	tɕi³¹ du̱³¹	thigh	thigh			1.5.7.1	126.2	0			
14701	747	Karen (Sgaw/Yue)	mɔ⁵⁵ kɛ⁵⁵ θa³¹	mɔ⁵⁵ kɛ⁵⁵ θa³¹	knee	knee			1.5.8.4	127	0			
14702	747	Karen (Sgaw/Yue)	kʰɔ³¹ du̱³¹ θa³¹	kʰɔ³¹ du̱³¹ θa³¹	calf (leg)	calf (leg)			1.5.7	128	0			336,m,m
14703	747	Karen (Sgaw/Yue)	kʰɔ³¹	kʰɔ³¹	foot	foot			1.5.2	129	0			336
14704	747	Karen (Sgaw/Yue)	kʰɔ³¹ mɛ̱ʔ³¹ kʰli⁵⁵	kʰɔ³¹ mɛ̱ʔ³¹ kʰli⁵⁵	ankle (jiaohuai)	ankle (jiaohuai)			1.5.8.2	130	0			
14705	747	Karen (Sgaw/Yue)	su⁵⁵	su⁵⁵	arm	arm			1.5.1.2	131	0			731
14706	747	Karen (Sgaw/Yue)	su⁵⁵ mɛ̱ʔ³¹ kʰli⁵⁵	su⁵⁵ mɛ̱ʔ³¹ kʰli⁵⁵	elbow	elbow			1.5.8.3	132	0			
14707	747	Karen (Sgaw/Yue)	su⁵⁵	su⁵⁵	hand	hand			1.5.1.1	133	0			731
14708	747	Karen (Sgaw/Yue)	su⁵⁵ de̱⁵⁵ kɔ̱ʔ⁵⁵	su⁵⁵ de̱⁵⁵ kɔ̱ʔ⁵⁵	wrist	wrist			1.5.8.1	134	0			
14709	747	Karen (Sgaw/Yue)	su⁵⁵ mu³¹	su⁵⁵ mu³¹	finger	finger			1.5.6	135	0			
14710	747	Karen (Sgaw/Yue)	su⁵⁵ mu³¹ do³¹	su⁵⁵ mu³¹ do³¹	thumb	thumb			1.5.6.1	136	0			
14711	747	Karen (Sgaw/Yue)	su⁵⁵ ju̱ʔ³¹	su⁵⁵ ju̱ʔ³¹	index finger	index finger			1.0	137	0			
14712	747	Karen (Sgaw/Yue)	su⁵⁵ kʰɛ³¹ θa̱ʔ³¹	su⁵⁵ kʰɛ³¹ θa̱ʔ³¹	middle finger	middle finger			1.9.4	138	0			
14713	747	Karen (Sgaw/Yue)	su⁵⁵ mu³¹ kʰlɛ³¹	su⁵⁵ mu³¹ kʰlɛ³¹	middle finger	middle finger			1.9.4	138.2	0			
14714	747	Karen (Sgaw/Yue)	su⁵⁵ de̱⁵⁵	su⁵⁵ de̱⁵⁵	ring finger	ring finger			1.5.6.2	139	0			
14715	747	Karen (Sgaw/Yue)	su⁵⁵ sʰa³¹	su⁵⁵ sʰa³¹	little finger	little finger			9.7.2	140	0			
14716	747	Karen (Sgaw/Yue)	su⁵⁵ me³¹	su⁵⁵ me³¹	fingernail	fingernail			1.5.10.1	141	0			
14717	747	Karen (Sgaw/Yue)	su⁵⁵ kʰo³¹	su⁵⁵ kʰo³¹	fist	fist			1.5.1.1.1	142	0			731,m
14718	747	Karen (Sgaw/Yue)	de̱⁵⁵ bo̱⁵⁵	de̱⁵⁵ bo̱⁵⁵	umbilical cord	umbilical cord				148	0			519,m
14719	747	Karen (Sgaw/Yue)	pʰi̱ʔ⁵⁵	pʰi̱ʔ⁵⁵	skin	skin			1.6.5	150	0			590
14720	747	Karen (Sgaw/Yue)	tõ̱⁵⁵	tõ̱⁵⁵	wrinkles	wrinkles			9.6.2	151	0			
14721	747	Karen (Sgaw/Yue)	sʰu³¹	sʰu³¹	body hair	body hair			1.6.1	152	0			5634
14722	747	Karen (Sgaw/Yue)	mɛ³¹	mɛ³¹	hemorrhoids	hemorrhoids			1.4.10.2	153	0			
14723	747	Karen (Sgaw/Yue)	ta³¹ ȵa³¹	ta³¹ ȵa³¹	flesh	flesh			1.1.1.1	159	0			p,35
14724	747	Karen (Sgaw/Yue)	ta³¹ θui³¹	ta³¹ θui³¹	blood	blood			1.6.2	160	0			p,230
14725	747	Karen (Sgaw/Yue)	ta³¹ nu³¹ tʰi⁵⁵	ta³¹ nu³¹ tʰi⁵⁵	milk	milk				161	0			m,253,298
14726	747	Karen (Sgaw/Yue)	ɣi³¹	ɣi³¹	muscle	muscle			1.6.6.2	162	0			533
14727	747	Karen (Sgaw/Yue)	kʰo³¹ nu̱ʔ⁵⁵	kʰo³¹ nu̱ʔ⁵⁵	brain (marrow)	brain (marrow)			1.2.4	164	0			386,243
14728	747	Karen (Sgaw/Yue)	xi⁵⁵	xi⁵⁵	bone	bone			1.6.3	165	0			233
14729	747	Karen (Sgaw/Yue)	xi⁵⁵ ki³¹	xi⁵⁵ ki³¹	marrow	marrow			1.6.3.5	166.1	0			234,459
14730	747	Karen (Sgaw/Yue)	xi⁵⁵ θo⁵⁵	xi⁵⁵ θo⁵⁵	marrow	marrow			1.6.3.5	166.2	0			234,42
14731	747	Karen (Sgaw/Yue)	ɣu̱ʔ⁵⁵ xi⁵⁵	ɣu̱ʔ⁵⁵ xi⁵⁵	rib	rib			1.4.4.3	168	0			288,233
14732	747	Karen (Sgaw/Yue)	mɛ⁵⁵	mɛ⁵⁵	tooth	tooth			1.3.4	170	0			1187
14733	747	Karen (Sgaw/Yue)	ple³³	ple³³	tongue	tongue			1.3.3	172	0			621
14734	747	Karen (Sgaw/Yue)	ple³³ pʰo⁵⁵	ple³³ pʰo⁵⁵	uvula	uvula			1.3.5.1	173	0			
14735	747	Karen (Sgaw/Yue)	kɔ³¹ ju³¹	kɔ³¹ ju³¹	throat	throat			1.3.5	175	0			3361,627
14736	747	Karen (Sgaw/Yue)	pă³¹ θo³¹	pă³¹ θo³¹	lungs	lungs			1.7.2	178	0			
14737	747	Karen (Sgaw/Yue)	θa̱ʔ⁵⁵ pʰlɛ³¹	θa̱ʔ⁵⁵ pʰlɛ³¹	heart	heart			1.7.1	179	0			32,1381
14738	747	Karen (Sgaw/Yue)	θu³¹	θu³¹	liver	liver			1.7.3	180	0			1390
14739	747	Karen (Sgaw/Yue)	pă³¹ le³¹	pă³¹ le³¹	kidneys	kidneys			1.7.5	181	0			
14740	747	Karen (Sgaw/Yue)	θă³¹ di̱⁵⁵	θă³¹ di̱⁵⁵	gall bladder	gall bladder			1.7.3	183	0			
14741	747	Karen (Sgaw/Yue)	pu̱iʔ³¹	pu̱iʔ³¹	intestines	intestines			1.7.7	184	0			575
14742	747	Karen (Sgaw/Yue)	kă³¹ |pʰu⁵⁵	kă³¹ pʰu⁵⁵	stomach	stomach			1.7.6	185	0		D0	2103
14743	747	Karen (Sgaw/Yue)	e³¹	e³¹	feces	feces			1.8.5	187	0			576
14744	747	Karen (Sgaw/Yue)	sʰi³¹	sʰi³¹	urine	urine			1.8.4	188	0			650
14745	747	Karen (Sgaw/Yue)	kă³¹ pɛ³³	kă³¹ pɛ³³	sweat	sweat			1.8.1	190	0			615,m
14746	747	Karen (Sgaw/Yue)	kă³¹ ha̱ʔ⁵⁵	kă³¹ ha̱ʔ⁵⁵	phlegm	phlegm			1.8.3	191	0			
14747	747	Karen (Sgaw/Yue)	na⁵⁵ e³¹ tʰi⁵⁵	na⁵⁵ e³¹ tʰi⁵⁵	mucus	mucus			1.8.2	193	0			
14748	747	Karen (Sgaw/Yue)	mɛ̱ʔ³¹ tʰi⁵⁵	mɛ̱ʔ³¹ tʰi⁵⁵	tears	tears			1.2.6.7	194	0			682,298
14749	747	Karen (Sgaw/Yue)	pʰi⁵⁵	pʰi⁵⁵	pus	pus			1.8.6.1	195	0			1292
