rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
15172	1024	Maru [Langsu]	kauŋ³¹ tau³⁵	kauŋ³¹ tau³⁵	body	body			1.1.1	1.1	0			1,14
15173	1024	Maru [Langsu]	lɔʔ³¹ ka̱uŋ³⁵ khjɔ³¹	lɔʔ³¹ ka̱uŋ³⁵ khjɔ³¹	side (right)	side (right)			1.4.5	1.2	0			695,m,m
15174	1024	Maru [Langsu]	loʔ³¹ jɔ³¹	loʔ³¹ jɔ³¹	side (left)	side (left)			1.4.5	1.3	0			695,m
15175	1024	Maru [Langsu]	kauŋ³¹ tɔ̃⁵⁵	kauŋ³¹ tɔ̃⁵⁵	back	back			1.4.8	1.4	0			1,225
15176	1024	Maru [Langsu]	xək⁵⁵ khjɔ³¹	xək⁵⁵ khjɔ³¹	front	front			1.4.4	1.5	0			m,m
15177	1024	Maru [Langsu]	kauŋ³¹ tau³⁵	kauŋ³¹ tau³⁵	torso / trunk	torso  /  trunk			1.5.3.2	1.6	0	jbl3		1,m
15178	1024	Maru [Langsu]	khjik³¹ loʔ³¹	khjik³¹ loʔ³¹	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
15179	1024	Maru [Langsu]	tɔ̃⁵⁵ kɔ̱i³¹	tɔ̃⁵⁵ kɔ̱i³¹	lap	lap			1.4.4.2	1.8	0			1193,2326
15180	1024	Maru [Langsu]	ɣɔ̃³¹ kɔ̃³¹	ɣɔ̃³¹ kɔ̃³¹	bosom	bosom			1.4.4.2	1.9	0			m,m
15181	1024	Maru [Langsu]	tɔ̃⁵⁵ kɔ̱i³¹ khjɔ³¹	tɔ̃⁵⁵ kɔ̱i³¹ khjɔ³¹	groin / loins	groin  /  loins			1.4.9	1.10	0	jbl3		225,m,m
15182	1024	Maru [Langsu]	ʃo³⁵	ʃo³⁵	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34
15183	1024	Maru [Langsu]	tɔi³¹	tɔi³¹	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		72
15184	1024	Maru [Langsu]	sik³¹	sik³¹	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27
15185	1024	Maru [Langsu]	mɔ̃³¹	mɔ̃³¹	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		17
15186	1024	Maru [Langsu]	mɔ̃³¹	mɔ̃³¹	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		17
15187	1024	Maru [Langsu]	jap³¹	jap³¹	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		127
15188	1024	Maru [Langsu]	ʃap⁵⁵	ʃap⁵⁵	sleep (put to)	sleep (put to)	caus.	caus.	1.1.4.1	1.16	0			127
15189	1024	Maru [Langsu]	pum³⁵	pum³⁵	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		151
15190	1024	Maru [Langsu]	ja̱p³¹ mɔʔ³¹ mɔʔ³¹	ja̱p³¹ mɔʔ³¹ mɔʔ³¹	dream	dream	v.	v.	1.1.4.2	1.18	0			127,126,126
15191	1024	Maru [Langsu]	au³⁵ lam³⁵	au³⁵ lam³⁵	head	head			1.2.1	2.1	0			385,690
15192	1024	Maru [Langsu]	au³⁵ nɛ̱̃⁵⁵	au³⁵ nɛ̱̃⁵⁵	fontanel	fontanel			1.2.1.3	2.3	0			385,1197
15193	1024	Maru [Langsu]	au³⁵ ʃŏ³⁵ ɣuk⁵⁵	au³⁵ ʃŏ³⁵ ɣuk⁵⁵	skull	skull			1.2.1.1	2.4	0			385,p,232
15194	1024	Maru [Langsu]	au³⁵ nauk³¹	au³⁵ nauk³¹	brain	brain			1.2.4	2.5	0			385,243
15195	1024	Maru [Langsu]	tshɛ̃³¹	tshɛ̃³¹	hair of head	hair of head			1.2.3	2.7	0			366
15196	1024	Maru [Langsu]	au³⁵ jam⁵⁵	au³⁵ jam⁵⁵	scalp	scalp			1.2.1.5	2.8	0			385,795
15197	1024	Maru [Langsu]	tʃɔʔ³¹ pjɛn³⁵	tʃɔʔ³¹ pjɛn³⁵	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			1606,2016
15198	1024	Maru [Langsu]	khjuk³¹	khjuk³¹	horn (of animal)	horn (of animal)			1.2.2	2.10	0			819
15199	1024	Maru [Langsu]	tshɛʔ⁵⁵ khjuk³¹	tshɛʔ⁵⁵ khjuk³¹	antler (of deer)	antler (of deer)			1.2.2	2.11	0			2739,819
15200	1024	Maru [Langsu]	mjoʔ³¹ khuŋ³⁵	mjoʔ³¹ khuŋ³⁵	face	face			1.2.5	3.1	0			681,267
15201	1024	Maru [Langsu]	ŋa³⁵ lɔ̃³¹	ŋa³⁵ lɔ̃³¹	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		356,392
15202	1024	Maru [Langsu]	mjɔʔ³¹ tʃik³⁵	mjɔʔ³¹ tʃik³⁵	eye	eye			1.2.6	3.4	0			681,3559
15203	1024	Maru [Langsu]	mjoʔ³¹ jam⁵⁵	mjoʔ³¹ jam⁵⁵	eyelid	eyelid			1.2.6.4	3.4.1	0			681,795
15204	1024	Maru [Langsu]	mjɔʔ³¹ tʃik³⁵ tʃhɛʔ⁵⁵	mjɔʔ³¹ tʃik³⁵ tʃhɛʔ⁵⁵	eyeball	eyeball			1.2.6.1	3.4.2	0			681,3559,m
15205	1024	Maru [Langsu]	mjɔʔ³¹ ma⁵⁵	mjɔʔ³¹ ma⁵⁵	iris	iris			1.2.6.2	3.4.2.1	0			681,m
15206	1024	Maru [Langsu]	mjɔʔ³¹ tsɔ³¹	mjɔʔ³¹ tsɔ³¹	pupil	pupil			1.2.6.2	3.4.2.2	0			681,2727
