rn	type	text
17850	T	<par>Note the radical reduction of Qiang <latinform>k</latinform>.</par>
17880	I	"<par>The final consonant in this form looks like the fused initial consonant of the second syllable of an original compound. See <xref ref=""1349"">#1349</xref>, above.</par>"
17880	T	"<par>Qiang <latinform>ʂ</latinform> looks like the fused initial consonant of the second syllable of an original compound, descended from <xref ref=""1349"">#1349</xref>. Fusion of compounds into monosyllables is a striking characteristic of the Qiangic languages (e.g. Benedict 1983, &quot;Qiang monosyllabization: a third phase in the cycle&quot;, LTBA 7.2:113-4).</par>"
17896	I	<par>division? Or 2122?</par>
17899	I	<par>311?</par>
17908	I	<par>=pus+blood, cf. Chinese nong-xie; Jingpo sai matsui.</par>
17937	T	<par>Comparison with other Qiangic forms indicates that the final <latinform>-s</latinform> in Yadu is a truncated verson of <latinform>stə</latinform> or <latinform>stu</latinform>. This apocopation of the vowel of second elements in compounds is characteristic of Qiangic. See Benedict (1983), &quot;Qiang monosyllabization: a third phase in the cycle&quot; (LTBA 7.2:113-4).</par>
17982	I	<par>Check form.</par>
17991	I	<par>morphemic analysis?</par>
18010	I	<par>Check source: is first syll really a pfx?</par>
