rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
524766	2022	Kachai	ʔa-su	ʔa-su	animal / flesh / meat / skin	animal / flesh / meat / skin			1.1.1.1	Animals.001	528777			m,34
524767	2022	Kachai	si-ðu	si-ðu	young (of animal) / calf / foal	young (of animal) / calf / foal			7.1.8.3	Animals.004	529155			m,2727
524768	2022	Kachai	si-muk	si-muk	cattle	cattle			2.1.2	Animals.009	529167			m,5607
524769	2022	Kachai	si-li	si-li	water buffalo	water buffalo			3.2.3	Animals.014	528873			7160,2427
524770	2022	Kachai	si-li	si-li	water buffalo	water buffalo			3.2.3	Animals.014	529250			7160,2427
524771	2022	Kachai	si-kwe	si-kwe	horse	horse			2.1.7	Animals.019	528941			m,6023
524772	2022	Kachai	ʔa-fak	ʔa-fak	pig	pig			2.1.12	Animals.026	528999			m,1006
524773	2022	Kachai	ʔa-mɐ	ʔa-mɐ	sheep	sheep			2.1.8	Animals.032	0			
524774	2022	Kachai	ʔa-har	ʔa-har	chicken / fowl (general term)	chicken / fowl (general term)			2.1.10	Animals.034	528947			m,1600
524775	2022	Kachai	ʔa-hwi	ʔa-hwi	dog (Canis familiaris)	dog (Canis familiaris)			2.1.11	Animals.043	528835			m,1764
524776	2022	Kachai	tek-ku	tek-ku	cat (Felis domesticus)	cat (Felis domesticus)			2.1.3	Animals.047	0			
524777	2022	Kachai	ʔa-co	ʔa-co	deer	deer			2.2.2	Animals.055	528830			m,2313
524778	2022	Kachai	ci-him	ci-him	Tibetan / Himalayan bear (Selenarctos thibetanus)	Tibetan / Himalayan bear (Selenarctos thibetanus)			4.6	Animals.060	0			m,2777
524779	2022	Kachai	nə-si	nə-si	monkey	monkey			2.1.9	Animals.064	0			
524780	2022	Kachai	ʃim-rɐk	ʃim-rɐk	rat / rodent	rat / rodent			2.1.1	Animals.075	529000			m,2630
524781	2022	Kachai	kʰə-li	kʰə-li	squirrel	squirrel			2.1.1	Animals.078	528851			m,2663
524782	2022	Kachai	ma-|fu	ma-fu	elephant	elephant			2.2.1	Animals.090	529038			2257
524783	2022	Kachai	ke-rɐt	ke-rɐt	frog	frog			2.1.6.2	Animals.100	0			
524784	2022	Kachai	kəpʰ-wi	kəpʰ-wi	snake	snake			2.1.6.1	Animals.109	528943			m,2623
524785	2022	Kachai	wu-ðu	wu-ðu	bird (general)	bird (general)			2.2.4	Animals.119	528762			1603,m
524786	2022	Kachai	na-ʃu	na-ʃu	dove / pigeon (general term)	dove / pigeon (general term)			2.2.4.1	Animals.142	0			
524787	2022	Kachai	ʔa-kʰwe	ʔa-kʰwe	fish (general)	fish (general)			2.2.5	Animals.152	528818			m,6788
524788	2022	Kachai	kʰu-ri	kʰu-ri	crab	crab			2.2.5	Animals.163	528854			m,6824
524789	2022	Kachai	sɯ-li-pʰuŋ	sɯ-li-pʰuŋ	freshwater clam / mussel / oyster	freshwater clam / mussel / oyster				Animals.165	0			
524790	2022	Kachai	ʔa-kʰɐ	ʔa-kʰɐ	insect / bug / vermin	insect / bug / vermin			2.2.6	Animals.169	528812			m,6782
524791	2022	Kachai	sam-ðej	sam-ðej	ant	ant			2.2.6	Animals.172	0			
524792	2022	Kachai	ʔa-kʰi	ʔa-kʰi	bee	bee			2.2.6	Animals.175	528866			m,2370
524793	2022	Kachai	ʔa-rɐk	ʔa-rɐk	louse	louse			2.2.6	Animals.194	528993			m,2609
524794	2022	Kachai	ʃim-con-pʰə-ron	ʃim-con-pʰə-ron	spider	spider			2.2.6	Animals.200	529183			m,m,m,7153
524795	2022	Kachai	ŋə-fi-pi	ŋə-fi-pi	leech (land/water)	leech (land/water)			2.2.6	Animals.203	0			
524796	2022	Kachai	ʔa-ca-wa	ʔa-ca-wa	side (right)	side (right)			1.4.5	BodyParts.002	0			
524797	2022	Kachai	ʔa-mɐ-ŋi	ʔa-mɐ-ŋi	front (of something)	front (of something)			1.4.4	BodyParts.005	0			
524798	2022	Kachai	tʰa-nɐ	tʰa-nɐ	behind	behind			9.2.8	BodyParts.006	0			
524799	2022	Kachai	mə-mɐŋ	mə-mɐŋ	in front of	in front of			10.1.1	BodyParts.007	0			m,1210
524800	2022	Kachai	ʔa-pʰə-ðɐ	ʔa-pʰə-ðɐ	flesh (between skin and fat)	flesh (between skin and fat)			1.1.1.1	BodyParts.013	0			
524801	2022	Kachai	kʰə-rɐŋ	kʰə-rɐŋ	alive / be living	alive / be living			1.1.2.1	BodyParts.014	528925			m,71
524802	2022	Kachai	mi-rin	mi-rin	life	life			1.1.2.1	BodyParts.015	0			
524803	2022	Kachai	kə-sɐ	kə-sɐ	die / be dead	die / be dead			1.1.6	BodyParts.016	528792			m,27
524804	2022	Kachai	ʔa-ŋun	ʔa-ŋun	corpse / dead body	corpse / dead body			1.1.6.1	BodyParts.017	528912			m,25
524805	2022	Kachai	mɐ-roŋ	mɐ-roŋ	corpse / dead body	corpse / dead body			1.1.6.1	BodyParts.018	0			
524806	2022	Kachai	su-roŋ	su-roŋ	carcass / dead animal	carcass / dead animal			1.1.6.1	BodyParts.019	0			
524807	2022	Kachai	kʰə-jip	kʰə-jip	sleep / be asleep / lie down	sleep / be asleep / lie down			1.1.4.1	BodyParts.020	528967			m,127
524808	2022	Kachai	kə-tʰe	kə-tʰe	awaken	awaken			1.1.4	BodyParts.021	528856			m,142
524809	2022	Kachai	ʔa-ke	ʔa-ke	head	head			1.2.1	BodyParts.022	528861			m,386
524810	2022	Kachai	kʰə-ŋə-pot	kʰə-ŋə-pot	fontanel (soft spots in baby skull)	fontanel (soft spots in baby skull)			1.2.1.3	BodyParts.024	0			
524811	2022	Kachai	ʔa-ke-rɐ	ʔa-ke-rɐ	skull	skull			1.2.1.1	BodyParts.025	0			p,386,232
524812	2022	Kachai	ke-ŋə-ʃe	ke-ŋə-ʃe	brain	brain			1.2.4	BodyParts.026	0			
524813	2022	Kachai	ʔa-ke-su	ʔa-ke-su	scalp	scalp			1.2.1.5	BodyParts.028	0			
524814	2022	Kachai	ha-rkə-tʰor	ha-rkə-tʰor	comb (of rooster)	comb (of rooster)			1.2.2.1	BodyParts.029	0			
524815	2022	Kachai	ʔa-ŋə-tsɐ	ʔa-ŋə-tsɐ	horn (of animal), antler (of deer)	horn (of animal), antler (of deer)			1.2.2	BodyParts.030	528796			m,m,6766
524816	2022	Kachai	ʔa-mwe	ʔa-mwe	face	face			1.2.5	BodyParts.032	529087			m,1187
524817	2022	Kachai	mu-swe	mu-swe	forehead / brow	forehead / brow			1.2.5.1	BodyParts.033	0			
524818	2022	Kachai	ʔa-mɐk	ʔa-mɐk	eye	eye			1.2.6	BodyParts.034	528992			m,682
524819	2022	Kachai	kʰə-ðɐk	kʰə-ðɐk	iris / pupil	iris / pupil			1.2.6.2	BodyParts.037	0			
524820	2022	Kachai	mɐk-fu	mɐk-fu	eyebrow	eyebrow			1.2.6.6	BodyParts.039	0			
524821	2022	Kachai	mɐk-pʰɐŋ-fu	mɐk-pʰɐŋ-fu	eyebrow / eyelashes	eyebrow / eyelashes			1.2.6.6	BodyParts.040	0			
524822	2022	Kachai	ʔa-mɐk kə-kʰə-lap	ʔa-mɐk kə-kʰə-lap	blink	blink	v.	v.	1.2.6.12	BodyParts.041	0			
524823	2022	Kachai	ʔat-cir-ði	ʔat-cir-ði	tear	tear	n.	n.	1.8.8.1	BodyParts.042	0			
524824	2022	Kachai	mɐk-ʃi-pwe	mɐk-ʃi-pwe	eye sand	eye sand			1.2.6.8	BodyParts.043	0			682,1019,m
524825	2022	Kachai	kə-cap	kə-cap	cry / weep	cry / weep	v.	v.	1.8.8.2	BodyParts.044	528964			m,1103
524826	2022	Kachai	ʔa-mɐk kʰə-ŋə-pi	ʔa-mɐk kʰə-ŋə-pi	blind	blind			1.2.6.14.2	BodyParts.046	529176			p,682,m,m,7146
524827	2022	Kachai	nɐ-put	nɐ-put	nose	nose			1.2.8	BodyParts.047	528787			803
524828	2022	Kachai	nɐ-put-rɐ	nɐ-put-rɐ	nose bridge	nose bridge			1.2.8	BodyParts.048	0			803,m,m
524829	2022	Kachai	nɐ-put-kʰur	nɐ-put-kʰur	nostril; sinus	nostril; sinus			1.2.8.1	BodyParts.049	0			
524830	2022	Kachai	nɐ-put-fu	nɐ-put-fu	nose hair	nose hair			1.2.8	BodyParts.050	0			803,m,m
524831	2022	Kachai	nap-ko	nap-ko	mucus	mucus			1.8.2	BodyParts.051	0			805,m
524832	2022	Kachai	kʰə-nɐ	kʰə-nɐ	ear	ear			1.2.7	BodyParts.054	528783			m,811a
524833	2022	Kachai	kʰə-nɐ-kʰur	kʰə-nɐ-kʰur	ear canal	ear canal			1.2.7	BodyParts.056	0			m,811a,665
524834	2022	Kachai	kʰə-nɐ-puŋ	kʰə-nɐ-puŋ	eardrum	eardrum			1.2.7.2	BodyParts.057	0			
524835	2022	Kachai	kʰə-nɐ-pwe	kʰə-nɐ-pwe	earwax	earwax			1.2.7.3	BodyParts.058	0			
524836	2022	Kachai	kʰə-ŋə-nɐ	kʰə-ŋə-nɐ	hear	hear	v.	v.	1.2.7.4	BodyParts.059	528785			m,m,811b
524837	2022	Kachai	nɐ-kə-pa	nɐ-kə-pa	deaf	deaf			1.2.7.5	BodyParts.060	0			
524838	2022	Kachai	mor-sɐ	mor-sɐ	mouth	mouth			1.3.1	BodyParts.061	528955			467,m
524839	2022	Kachai	ʔa-fu-su	ʔa-fu-su	gums	gums			1.3.4.3	BodyParts.064	0			
524840	2022	Kachai	mə-cir-ði	mə-cir-ði	saliva	saliva			1.8.3	BodyParts.066	529049			m,600,m
524841	2022	Kachai	kə-ʃwe	kə-ʃwe	eat (general)	eat (general)	v.	v.	1.5.3.2	BodyParts.067	528817			m,6787
524842	2022	Kachai	kə-pʰə-ðu	kə-pʰə-ðu	eat (rice)	eat (rice)	v.	v.	1.5.3.2	BodyParts.068	528771			m,m,36a
524843	2022	Kachai	kʰə-ma	kʰə-ma	drink	drink	v.	v.		BodyParts.069	528916			m,6886
524844	2022	Kachai	kʰə-ði-ca	kʰə-ði-ca	thirsty	thirsty	be v.	be v.	1.1.3.1	BodyParts.070	529173			m,m,1825
524845	2022	Kachai	ʔa-ðot kə-com	ʔa-ðot kə-com	be hungry	be hungry			1.1.3	BodyParts.071	529174			m,m,m,7144
524846	2022	Kachai	ʔuk-kʰə-ði	ʔuk-kʰə-ði	full (stomach) / be satiated	full (stomach) / be satiated			1.1.3.2	BodyParts.072	0			
524847	2022	Kachai	mə-cir-ði	mə-cir-ði	spit	spit	v.	v.	1.8.3	BodyParts.073	0			m,600,m
524848	2022	Kachai	ʔa-ðot kʰə-ŋə-ʃwe	ʔa-ðot kʰə-ŋə-ʃwe	vomit (vomited rice)	vomit (vomited rice)	n.	n.	1.8.3.2	BodyParts.074	0			
524849	2022	Kachai	kʰə-ŋə-swe	kʰə-ŋə-swe	vomit	vomit	v.	v.	1.8.3.2	BodyParts.075	0			
524850	2022	Kachai	ʔa-ðot kʰə-ŋə-him	ʔa-ðot kʰə-ŋə-him	hold in mouth	hold in mouth	v.	v.	1.3.4.4	BodyParts.076	0			
524851	2022	Kachai	mor-sɐ kʰə-mə-ka	mor-sɐ kʰə-mə-ka	gape / open mouth	gape / open mouth	v.	v.	1.3.1	BodyParts.077	0			
524852	2022	Kachai	ham-hwe	ham-hwe	yawn	yawn	v.	v.	1.3.1.3	BodyParts.078	529048			1715,1716?
524853	2022	Kachai	mə-li	mə-li	tongue	tongue			1.3.3	BodyParts.079	528853			m,621
524854	2022	Kachai	ʔa-kʰɐn	ʔa-kʰɐn	voice	voice			8.5.5	BodyParts.081	0			
524855	2022	Kachai	ʔa-te	ʔa-te	words / speech / language	words / speech / language			8.5.10.2	BodyParts.082	528865			m,6835
524856	2022	Kachai	kʰak-kə-ʃe	kʰak-kə-ʃe	mute / dumb	mute / dumb			1.5.3.2	BodyParts.084	0			
