rn	type	text
325767	O	<par>Gloss in source: <plainlatinform>cf. uɛ fv 22, tsiɛ fv 32</plainlatinform></par>
325804	O	<par>Gloss in souce: <plainlatinform>comp. a koe 5:8 6, kv koe 2:5 6</plainlatinform></par>
325821	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
325829	O	<par>Gloss in source: <plainlatinform>cf. ku 6, a ku 36, tɔ ku 36, sɛ ku 36, ku ma 62</plainlatinform></par>
325850	O	<par>Gloss in source: <plainlatinform>(T[exte] 430) kuoe 7 sua 2, gl. 亂說</plainlatinform></par>
325899	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
325940	O	<par>Gloss in source: <plainlatinform>cf. me 3, sɛ me 33, sw me 33</plainlatinform></par>
325958	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
325971	O	<par>Gloss in source: <plainlatinform>cf. nio mɔ 63, ta mɔ 13</plainlatinform></par>
325980	O	<par>Gloss in source: <plainlatinform>cf. uɛ mu 2 3/4, tsio mu 1 3/4</plainlatinform></par>
326003	O	<par>Gloss in source: <plainlatinform>cf. ta tsia ni tsw 2672, ta xuo ni tsw 2372, ta ni tsw 272</plainlatinform></par>
326008	O	<par>Gloss in source: <plainlatinform>comp. niɛ p&apos;i 24, foe niɛ 22:66, niɛ tö 24</plainlatinform></par>
326021	O	<par>Gloss in source: <plainlatinform>particle similar to Chinese de</plainlatinform></par>
326061	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 ‘means, method’.</par>
326066	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
326104	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
326115	O	<par>Gloss in source: <plainlatinform>cf. k&apos;w pɔ 37, ua pɔ 27, to pɔ 27, oe pɔ 67, pɔ pi 76; comp. tö pɔ 77</plainlatinform></par>
326126	O	<par>Gloss in source: <plainlatinform>cf. niɛ p&apos;i 24, tsɛ p&apos;i 83, iɛ p&apos;i 73</plainlatinform></par>
326225	O	<par>Gloss in source: <plainlatinform>cf. a su 36, sɛ su 36</plainlatinform></par>
326232	I	<par>Loan from Chinese, cf. Chinese shuā 刷 &apos;brush&apos;.</par>
326236	I	<par>Loan from Chinese, cf. Chinese xuě 雪 &apos;snow&apos;.</par>
326252	T	<par>Gloss in source: <plainlatinform>cf. a sw 64, zi sw 34</plainlatinform></par>
326277	O	<par>Gloss in source: <plainlatinform>cf. zi ta 2:6 6, rs&apos;i ta 36</plainlatinform></par>
326286	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
326298	O	<par>Gloss in source: <plainlatinform>cf. tiɛ t&apos;u 18, io tiɛ tsy 816, tiɛ iw 14</plainlatinform></par>
326302	O	<par>Gloss in source: <plainlatinform>cf. tiɛ 2, zi tiɛ 82, a tiɛ 32</plainlatinform></par>
326308	O	<par>Gloss in source: <plainlatinform>suffix (m.) attached to animal names</plainlatinform></par>
326313	O	<par>Gloss in source: <plainlatinform>marks parallelism of oppositions</plainlatinform></par>
326319	O	<par>Gloss in source: <plainlatinform>cf. k&apos;oe tö 17, ngoe tɛ tö 827, sö tsw tö 237; may be a nominal suffix</plainlatinform></par>
326338	O	<par>Gloss in source: <plainlatinform>suffix appearing after &quot;xɔ 3/4&quot; &apos;house&apos;</plainlatinform></par>
326346	O	<par>Gloss in source: <plainlatinform>cf. a t&apos;ɛ 32, tsw t&apos;ɛ 32, nv t&apos;ɛ 32</plainlatinform></par>
326389	O	<par>Gloss in source: <plainlatinform>cf. a tsiɛ 3 3/4, tsiɛ fv 32</plainlatinform></par>
326409	O	<par>Gloss in source: <plainlatinform>cf. sö tsiw 66; ue tsiw 12, mɔ tsiw 82 : err. -tsiw 6</plainlatinform></par>
326428	O	<par>Gloss in source: <plainlatinform>cf. tsö ia 83, sɛ tsö 38, tɔ tsö 38</plainlatinform></par>
326468	O	<par>Gloss in source: <plainlatinform>morpheme playing a role analogous to Chinese 得</plainlatinform></par>
326474	O	<par>Gloss in source: <plainlatinform>cf. tsw 2 (&apos;man, son&apos;), ke tsw 62, xa tsw 52, poe tsw 82</plainlatinform></par>
326475	O	<par>Gloss in source: <plainlatinform>gl. 都; cf. -ni tsw 72</plainlatinform></par>
326568	O	<par>Gloss in source: <plainlatinform>cf. sö zi 62, xɔ zi 62</plainlatinform></par>
326569	O	<par>Gloss in source: <plainlatinform>cf. uɛ zi 12, xa zi 12, miɛ zi 82, mɔ siɛ zi 812, ta zi 12, without a doubt an erroneous notation for -zi 6</plainlatinform></par>
326582	O	<par>Gloss in source: (T[exte] 325, 330), gl. 認</par>
326585	O	<par>Gloss in source: <plainlatinform>cf. fö zö 66, pi zö 66</plainlatinform></par>
326611	O	<par>Gloss in source: <plainlatinform>cf. xoe 1 (&apos;soup&apos;), xoe p&apos;a 12, xoe zw 14, mö mi xoe 221</plainlatinform></par>
326632	O	<par>Gloss in source: (T[exte] 507), gl. <hanform>吧</hanform></par>
