rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
167591	513	Deori/Deuri	a-si-gi²	a-si-gi²	nail, hoof	nail, hoof			1.5.10		0			
167592	513	Deori/Deuri	a-sti²	a-sti²	finger	finger			1.5.6		0			
167593	513	Deori/Deuri	ā-kũ²	ā-kũ²	ear	ear			1.2.7		0			p,817
167594	513	Deori/Deuri	ā-kũ² ci-a²	ā-kũ² ci-a²	lobe	lobe			1.3.2		0			
167595	513	Deori/Deuri	ā-gũ¹	ā-gũ¹	knee	knee			1.5.8.4		0			
167596	513	Deori/Deuri	ā-pā-su²	ā-pā-su²	leg	leg			1.5.7		0			
167597	513	Deori/Deuri	ā-pā-su² ci-kā²	ā-pā-su² ci-kā²	calf of the leg	calf of the leg			1.5.7		0			
167598	513	Deori/Deuri	ā-mā²	ā-mā²	footprint	footprint			1.5.2.5		0			
167599	513	Deori/Deuri	ā-z-e²	ā-z-e²	urine	urine			1.8.4		0			
167600	513	Deori/Deuri	im-ār-i¹	im-ār-i¹	back	back			1.4.8		0			
167601	513	Deori/Deuri	u-jũ²	u-jũ²	navel	navel			1.9.4		0			p,1628
167602	513	Deori/Deuri	ũ-tù̃²	ũ-tù̃²	upper portion of the belly	upper portion of the belly			9.2.1		0			e?
167603	513	Deori/Deuri	u-mu-ci¹	u-mu-ci¹	dream	dream			1.1.4.2		0			
167604	513	Deori/Deuri	o-tũ²	o-tũ²	hand	hand			1.5.1.1		0			p,711
167605	513	Deori/Deuri	kab²-ar	kab²-ar	cholera	cholera			5.3		0			
167606	513	Deori/Deuri	kã̄¹	kã̄¹	ringworm	ringworm			2.2.6		0			
167607	513	Deori/Deuri	kāŋ	kāŋ	jaw	jaw			1.2.5.2		0			267
167608	513	Deori/Deuri	ki¹-ŋ	ki¹-ŋ	hair	hair			1.2.3		0			
167609	513	Deori/Deuri	ki-nā¹	ki-nā¹	hear	hear	v.	v.	1.2.7.4		0			
