rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
169000	1095	Tsangla (Central)	lus◦pu	luspu	body	body			1.1.1	1	0			11,1902
169001	1095	Tsangla (Central)	sha◦rang	sharang	head	head			1.2.1	2	0			m,392
169002	1095	Tsangla (Central)	tsham	tsham	hair	hair			1.2.3	3	0			366
169003	1095	Tsangla (Central)	zu	zu	face	face			1.2.5	4	0			
169004	1095	Tsangla (Central)	ming	ming	eye	eye			1.2.6	5	0			682
169005	1095	Tsangla (Central)	na	na	ear	ear			1.2.7	6	0			811
169006	1095	Tsangla (Central)	na◦wung	na◦wung	nose	nose			1.2.8	7	0			803,806
169007	1095	Tsangla (Central)	nu◦wang	nu◦wang	mouth	mouth			1.3.1	8	0			470,476
169008	1095	Tsangla (Central)	sha	sha	tooth	tooth			1.3.4	9	0			632
169009	1095	Tsangla (Central)	le	le	tongue	tongue			1.3.3	10	0			621
169010	1095	Tsangla (Central)	nu◦ma	nu◦ma	breast (woman's)	breast (woman's)			1.4.4.3	11	0			253,s
169011	1095	Tsangla (Central)	pho◦lang	pho◦lang	belly	belly			1.4.7	12	0			2103,3460
169012	1095	Tsangla (Central)	gadang-gure	gadang-gure	arm	arm			1.5.1.2	13	0			720
169013	1095	Tsangla (Central)	nyizing	nyizing	elbow	elbow			1.5.8.3	14	0			
169014	1095	Tsangla (Central)	gadang-wung	gadang-wung	palm	palm			1.5.5	15	0		D0	
169015	1095	Tsangla (Central)	gadang-bruma	gadang-bruma	finger	finger			1.5.6	16	0			
169016	1095	Tsangla (Central)	tsingnang	tsingnang	nail	nail			1.5.10	17	0			
169017	1095	Tsangla (Central)	bi	bi	leg	leg			1.5.7	18	0			343
169018	1095	Tsangla (Central)	mong◦nang	mong◦nang	skin	skin			1.6.5	19	0			54,m
169019	1095	Tsangla (Central)	khang	khang	bone	bone			1.6.3	20	0			
169020	1095	Tsangla (Central)	thing◦lom	thing◦lom	heart	heart			1.7.1	21	0			1387,1381
169021	1095	Tsangla (Central)	yi	yi	blood	blood			1.6.2	22	0			230
169022	1095	Tsangla (Central)	chhe◦rang	chherang	urine	urine			1.8.4	23	0			650,1731
169023	1095	Tsangla (Central)	khi	khi	feces	feces			1.8.5	24	0			572
169024	1095	Tsangla (Central)	dung	dung	village	village			5.8	25	0			
169025	1095	Tsangla (Central)	phai	phai	house	house			5.11.9.1	26	0			
169026	1095	Tsangla (Central)	bungnang	bungnang	roof	roof			5.11.9	27	0			
169027	1095	Tsangla (Central)	ko	ko	door	door			5.11.9.3	28	0			
169028	1095	Tsangla (Central)	miga-shing	miga-shing	firewood	firewood			5.11.5.5	29	0			m,2658
169029	1095	Tsangla (Central)	brang◦phak◦tsam	brang◦phak◦tsam	broom	broom			5.4	30	0			m,2587,m
169030	1095	Tsangla (Central)	toktsing-lung	toktsing-lung	mortar	mortar			5.5	31	0			
169031	1095	Tsangla (Central)	toktsing	toktsing	pestle	pestle			5.5	32	0			
169032	1095	Tsangla (Central)	thong	thong	hammer	hammer			5.11.5.4	33	0			
169033	1095	Tsangla (Central)	khachhi	khachhi	knife	knife			5.5	34	0			
169034	1095	Tsangla (Central)	bengra	bengra	axe	axe			5.11.5.3	35	0			
169035	1095	Tsangla (Central)	rongshom	rongshom	rope	rope			5.11.4	36	0			
169036	1095	Tsangla (Central)	kutpa	kutpa	thread	thread			5.11.6	37	0			
169037	1095	Tsangla (Central)	khap	khap	needle	needle			5.1	38	0			
169038	1095	Tsangla (Central)	khamung	khamung	cloth	cloth			5.1	39	0			
169039	1095	Tsangla (Central)	tsedum	tsedum	ring	ring			5.11.8.3	40	0			
169040	1095	Tsangla (Central)	ngam	ngam	sun	sun			3.2.10	41	0			2484
169041	1095	Tsangla (Central)	la◦nyi-ngam	lanyi-ngam	moon	moon			3.2.2	42	0			1016,m,m
169042	1095	Tsangla (Central)	ngam	ngam	sky	sky			3.2.2	43	0			2484
169043	1095	Tsangla (Central)	kar◦ma	kar◦ma	star	star			3.2.2	44	0			2300,s
169044	1095	Tsangla (Central)	ngam◦su	ngam◦su	rain	rain			3.2.1	45	0			2484,2080
169045	1095	Tsangla (Central)	ri	ri	water	water			3.2.3	46	0			1013
169046	1095	Tsangla (Central)	ri	ri	river	river			3.2.3	47	0			
169047	1095	Tsangla (Central)	muk◦pa	muk◦pa	cloud	cloud			3.2.1	48	0			2465,s
169048	1095	Tsangla (Central)	namcha-khena	namcha-khena	lightning	lightning			3.2.1	49	0			
169049	1095	Tsangla (Central)	jang-shar◦la	jang-sharla	rainbow	rainbow			3.2.1	50	0			6007,m,m
169050	1095	Tsangla (Central)	ridi	ridi	wind	wind			3.2.1	51	0			
169051	1095	Tsangla (Central)	lung	lung	stone	stone			3.2.9	52	0			1269
169052	1095	Tsangla (Central)	lam	lam	path	path			9.10.1	53	0			1017
169053	1095	Tsangla (Central)	betsa	betsa	sand	sand			3.2.11	54	0			
169054	1095	Tsangla (Central)	mi	mi	fire	fire			3.2.12.2	55	0			
169055	1095	Tsangla (Central)	mu◦gu	mugu	smoke	smoke			3.2.12.2	56	0			2136,2361
169056	1095	Tsangla (Central)	thulu	thulu	ash	ash			3.2.12.2	57	0			
169057	1095	Tsangla (Central)	jintsang	jintsang	mud	mud			3.2.11	58	0			
169058	1095	Tsangla (Central)	phurtsi	phurtsi	dust	dust			3.2.11	59	0			
169059	1095	Tsangla (Central)	ser	ser	gold	gold			3.2.4	60	0			
169060	1095	Tsangla (Central)	shing	shing	tree	tree			3.1.2	61	0			2658
169061	1095	Tsangla (Central)	shing-shaba	shing-shaba	leaf	leaf			3.1.3	62	0			2658,m
169062	1095	Tsangla (Central)	shing-tsa	shing-tsa	root	root			3.1.2	63a	0			2658,m
169063	1095	Tsangla (Central)	rachi	rachi	root	root			3.1.2	63b	0			
169064	1095	Tsangla (Central)	tsang	tsang	thorn	thorn			3.1.2	64a	0			
169065	1095	Tsangla (Central)	zu	zu	thorn	thorn			3.1.2	64b	0			
169066	1095	Tsangla (Central)	meto	meto	flower	flower			3.1.4	65	0			
169067	1095	Tsangla (Central)	se	se	fruit	fruit			3.1.5	66	0			
169068	1095	Tsangla (Central)	am-chukuli	am-chukuli	mango	mango				67	0			
169069	1095	Tsangla (Central)	laisi	laisi	banana	banana			3.1.5	68	0			
169070	1095	Tsangla (Central)	phemung	phemung	wheat (white)	wheat (white)			3.1.4	69a	0			
169071	1095	Tsangla (Central)	bong	bong	wheat (dark)	wheat (dark)			3.1.4	69b	0			
169072	1095	Tsangla (Central)	kongpu	kongpu	millet	millet			1.5.3.2	70	0			
169073	1095	Tsangla (Central)	khu	khu	rice	rice			3.1.4	71	0			5817
169074	1095	Tsangla (Central)	joktang	joktang	potato	potato			3.1.5	72	0			
169075	1095	Tsangla (Central)	bantho	bantho	eggplant	eggplant			3.1.5	73	0			b
169076	1095	Tsangla (Central)	badam	badam	groundnut	groundnut			3.1.4	74	0			
169077	1095	Tsangla (Central)	solo	solo	chili	chili			3.1.5	75	0			
169078	1095	Tsangla (Central)	jung	jung	tumeric	tumeric			3.1.6.1	76	0			
169079	1095	Tsangla (Central)	lam	lam	garlic	garlic			3.1.5	77	0			
169080	1095	Tsangla (Central)	kok◦pa	kokpa	onion	onion			3.1.5	78	0			
169081	1095	Tsangla (Central)	lambenda	lambenda	tomato	tomato			3.1.5	79	0			
169082	1095	Tsangla (Central)	kopi	kopi	cabbage	cabbage			3.1.5.1	80	0			bIndic
169083	1095	Tsangla (Central)	si	si	oil	oil			1.6.4.1	81	0			48
169084	1095	Tsangla (Central)	in◦chha	in◦chha	salt	salt			3.2.4	82	0			m,2729
169085	1095	Tsangla (Central)	sha	sha	meat	meat			1.1.1.1	83	0			34
169086	1095	Tsangla (Central)	yan	yan	fat	fat			1.6.4	84	0			
169087	1095	Tsangla (Central)	nga	nga	fish	fish			2.2.5	85	0			1455
169088	1095	Tsangla (Central)	go◦ga	go◦ga	chicken	chicken			2.1.10	86	0			
169089	1095	Tsangla (Central)	go◦tham	go◦tham	egg	egg				87	0			305,646
