rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
150021	481	Chinese (Old/Mid)	ki̯ən/ki̯ən	ki̯ən/ki̯ən	sinew	sinew			1.6.6.1	445a	0			372
150022	481	Chinese (Old/Mid)	ki̯ɑ̆n/ki̯ɒn	ki̯ɑ̆n/ki̯ɒn	sinew	sinew			1.6.6.1	249f	0			372
150023	481	Chinese (Old/Mid)	gʼi̯ɑ̆n/gʼi̯ɑ̈n	gʼi̯ɑ̆n/gʼi̯ɑ̈n	sinew	sinew			1.6.6.1	249f	0			372
150040	481	Chinese (Old/Mid)	tʼuk/tʼuk	tʼuk/tʼuk	bald	bald			1.2.3.4	1205a	0			1436,1436
150043	481	Chinese (Old/Mid)	kwɑn/kuɑn-	kwɑn/kuɑn-	two tufts of hair on child's head	two tufts of hair on child's head			1.5.3.2	187a	0			2021
167663	481	Chinese (Old/Mid)	xi̯wən/xi̯uən	xi̯wən/xi̯uən	smoke	smoke	v.i.	v.i.	3.2.12.2	461a-c	0		DELETED	
167666	481	Chinese (Old/Mid)	dzʼi̯əg/dzʼi	dzʼi̯əg/dzʼi	self (=nose)	self (=nose)			4.1	1237m-p	0			
168988	481	Chinese (Old/Mid)	gʼo/ɣuo	gʼo/ɣuo	dewlap	dewlap			1.4.2	49a'	0			2065
169228	481	Chinese (Old/Mid)	mwən/muən	mwən/muən	gate / door	gate / door			5.11.9.5	441a-c	0			467
169241	481	Chinese (Old/Mid)	ngɑ̂/ngɑ̂-	ngɑ̂/ngɑ̂-	hungry, starve	hungry, starve			1.1.3	2o	0			99
169242	481	Chinese (Old/Mid)	dzʼiɑ/dzʼie̯-	dzʼiɑ/dzʼie̯-	bone with meat on	bone with meat on			10.1.1	5o	0			63
169243	481	Chinese (Old/Mid)	twɑ̂/tuɑ̂:	twɑ̂/tuɑ̂:	move (the jaw, in chewing)	move (the jaw, in chewing)			6.7.11	10a-b	0			
169244	481	Chinese (Old/Mid)	swiɑ/swie̯-	swiɑ/swie̯-	marrow	marrow			1.6.3.5	11h	0			5485,5485
169245	481	Chinese (Old/Mid)	dzʼwɑ̂/dzʼuɑ̂	dzʼwɑ̂/dzʼuɑ̂	ulcer	ulcer			1.8.6.2	12b	0			
169246	481	Chinese (Old/Mid)	kwɑ/kwɑ:	kwɑ/kwɑ:	cut the meat from the bone	cut the meat from the bone			10.0	18a	0			
169247	481	Chinese (Old/Mid)	bʼiɑ/bʼjie̯	bʼiɑ/bʼjie̯	skin	skin			1.6.5	25a-c	0			792
169248	481	Chinese (Old/Mid)	gʼwiɑ/gʼjwie̯:	gʼwiɑ/gʼjwie̯:	foot, kneel	foot, kneel			1.5.2	29f	0			
169249	481	Chinese (Old/Mid)	kʼwiɑ/kʼjwie̯:	kʼwiɑ/kʼjwie̯:	foot, kneel	foot, kneel			1.5.2	29f	0			
169250	481	Chinese (Old/Mid)	tʼwɑ̂/tʼuɑ̂-	tʼwɑ̂/tʼuɑ̂-	spit	spit			1.8.3	31m	0			603,603
169251	481	Chinese (Old/Mid)	ngɑ̊/ngɑ	ngɑ̊/ngɑ	tooth	tooth			1.3.4	37a-b	0			634
169252	481	Chinese (Old/Mid)	kwo/kuo	kwo/kuo	big bone, curved bone	big bone, curved bone			1.6.3	41g	0			
169253	481	Chinese (Old/Mid)	tsʼi̯o/tsʼi̯wo	tsʼi̯o/tsʼi̯wo	ulcer	ulcer			1.8.6.2	46p	0			
169254	481	Chinese (Old/Mid)	dzʼi̯o/dzʼi̯wo:	dzʼi̯o/dzʼi̯wo:	chew	chew			1.3.4	46u	0			
169255	481	Chinese (Old/Mid)	kʼo/kʼuo	kʼo/kʼuo	withered, dried up	withered, dried up			6.6	49t	0			
169256	481	Chinese (Old/Mid)	ko/kuo:	ko/kuo:	eyeless, blind	eyeless, blind			1.2.6	50g	0			
169257	481	Chinese (Old/Mid)	ko/kuo:	ko/kuo:	thigh	thigh			1.5.7.1	51a	0			
169258	481	Chinese (Old/Mid)	tʼo/tʼuo:~tʼuo-	tʼo/tʼuo:~tʼuo-	eject from the mouth	eject from the mouth			6.2	62d	0			
169259	481	Chinese (Old/Mid)	pli̯wo/pi̯u	pli̯wo/pi̯u	skin / pork / cut meat	skin / pork / cut meat			1.6.5	69g-i	0			
169260	481	Chinese (Old/Mid)	lo/luo	lo/luo	skull	skull			1.2.1.1	69p	0			
169261	481	Chinese (Old/Mid)	gli̯o/li̯wo:	gli̯o/li̯wo:	backbone / spine; pitch-pipe	backbone / spine;pitch-pipe			1.4.8.2	76a-c	0			237
