rn	type	text
114608	I	<par>This form is from *Western* Tibetan, not Written Tibetan. JAM checked it in Jaeschke. The language field should be updated to reflect this.</par>
148815	I	<par>Also has the sense of “bend, curve” </par>
148826	I	<par>cf. Tai root: Si. <latinform>chûa</latinform> &gt; Lh.<latinform>co</latinform></par>
150034	I	<par>Jäschke has “also knuckle ni f.” . “ni f.” =<emph>ni fallor</emph> ‘if I am not mistaken’ .</par>
173017	I	<par>1st syll. was tagged with now-defunct #279 <latinform>kur</latinform> JAW/CHEEK.</par>
232744	T	<par>WT generally preserves final <latinform>*-l</latinform> as such, though there are several roots which show final <latinform>-l ~ -n</latinform> alteration, and a couple where the final has simply developed into <latinform>-n</latinform>. See STC p. 15, note 53.</par>
232829	T	<par>WT <latinform>rgód</latinform> may mean &quot;wild&quot; (Jäschke 81:104), cf. <latinform>byɑ-rgód</latinform> &quot;vulture, bird of prey&quot;; <latinform>mdzo-rgód</latinform> &quot;cattle (wild)&quot;; <latinform>pʻɑg-rgód</latinform> &quot;boar (wild)&quot;, <latinform>rŋɑ-rgód</latinform> &quot;camel (wild)&quot;; <latinform>rɑ-rgód</latinform> &quot;goat (wild)&quot;; and <latinform>ɣyɑg-rgód</latinform> &quot;yak (wild) / ox (wild)&quot;.</par>
233061	T	<par>The first two syllables are a loan from Indo-Aryan, cf. <emph>mahiṣá</emph> &apos;buffalo&apos; (Turner 1962:573).</par>
296545	T	"<par>The cognacy of WT <latinform>śa</latinform> is not certain, since WT does preserve final <reconstruction>*-l</reconstruction>. The first syllable is homophonous with <latinform>śa</latinform> (&lt; <xref ref=""34"">#34</xref>), though Jäschke (p.556) does not include it under that lemma, evidently considering it to be a separate morpheme. The Newar form <latinform>saː</latinform> &apos;placenta&apos; apparently means &quot;house&quot;, but Newar <latinform>swa̩</latinform> &apos;nest&apos; seems to be a genuine reflex of <reconstruction>*tsywal</reconstruction>.</par>"
311402	T	<par>These WT forms reflect the allofam <latinform>*dzyow</latinform> (see, HPTB:224, 382).</par>
506229	T	<par>This form is glossed &apos;wing; petal, leaf, fan&apos; by Csoma de Kőrös 1834.</par>
514634	T	<par>WT <latinform>dpun̊-pa rkan̊</latinform> also means &apos;upper arm&apos;, but is to be analyzed as &quot;shoulder&apos;s leg&quot; (<latinform>dpun̊-pa</latinform> &apos;shoulder&apos;). Perhaps the girth of the upper arm reminded speakers of a leg.</par>
