rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
22676	1053	Miji	dukʰuʔ	dukʰuʔ	anger	anger			1.5.3.2		0			
22677	1053	Miji	lai-cuŋ-kʰu	lai-cuŋ-kʰu	ankle	ankle			1.5.8.2		0			350,m,m
22678	1053	Miji	pʰaŋ	pʰaŋ	arm	arm			1.5.1.2		0			1327
22679	1053	Miji	gɯ◦baŋ	gɯ◦baŋ	back	back			1.4.8		0			1,3326
22680	1053	Miji	nɯn-tʰlen	nɯn-tʰlen	back (body)	back (body)			1.4.8		0			203,m
22681	1053	Miji	gɯ◦baŋ-ljaŋ	gɯ◦baŋ-ljaŋ	backbone	backbone			1.4.8.2		0			1,3326,m
22682	1053	Miji	buzu-tʰu	buzu-tʰu	beak / bill	beak / bill			1.3.1.2		0			1603,442
22683	1053	Miji	gu-mjuʔ	gu-mjuʔ	beard	beard			1.2.5.5		0			630,363
22684	1053	Miji	rug	rug	belly, stomach	belly, stomach			1.4.7		0			m
22685	1053	Miji	gɯcitʰen	gɯcitʰen	belt, waistband	belt, waistband			5.11.8.2.1.3		0		z	
22686	1053	Miji	miʔ-ljoʔ	miʔ-ljoʔ	blind	blind			1.2.6.14.2		0			682,m
22687	1053	Miji	ʒai	ʒai	blood	blood			1.6.2		0			230
22688	1053	Miji	zaʔ	zaʔ	body	body			1.1.1		0			8
22689	1053	Miji	ljaŋ	ljaŋ	bone	bone			1.6.3		0			
22690	1053	Miji	mɯ-ljaŋ	mɯ-ljaŋ	bone	bone			1.6.3		0			
22691	1053	Miji	dɯ◦tʰu	dɯ◦tʰu	breath, breathe	breath, breathe	v.	v.	1.1.2.2		0			3602,m
22692	1053	Miji	lai-dɯbɯn	lai-dɯbɯn	calf of leg	calf of leg			1.5.7		0			350,m
22693	1053	Miji	gɯm◦jaʔ	gɯm◦jaʔ	cheek / face	cheek / face			1.2.5.2		0			630,2034
22694	1053	Miji	loŋ-kʰjuʔ	loŋ-kʰjuʔ	chest	chest			1.4.4.3		0			3458,288
22695	1053	Miji	guʔ	guʔ	chin	chin			1.2.5.3		0			2057
22696	1053	Miji	mɯ-ʒoʔ◦vruw	mɯ-ʒoʔ◦vruw	deaf	deaf			1.2.7.5		0			m
22697	1053	Miji	luŋ-mɯ-ñi	luŋ-mɯ-ñi	diarrhoea	diarrhoea			1.8.5		0			
22698	1053	Miji	nei◦jaŋ	nei◦jaŋ	dumb	dumb			8.5.4.4		0			m,m
22699	1053	Miji	ʒoʔ	ʒoʔ	ear	ear			1.2.7		0			811
22700	1053	Miji	pʰaŋ-cuŋ-kʰaŋ	pʰaŋ-cuŋ-kʰaŋ	elbow	elbow			1.5.8.3		0			
22701	1053	Miji	miʔ	miʔ	eye	eye			1.2.6		0			682
