rn	type	text
144751	T	<par>The trigger is, as it were, the navel of a gun or crossbow. See Matisoff 1988, <emph>The Dictionary of Lahu</emph>, p. 1373.</par>
144773	I	<par>Contra L.D. p.895, this is NOT a loan from Thai.</par>
148744	T	<par>This Lahu form probably descends from PLB *<latinform>ʔgyuk</latinform>; the high rising tone points to a doubly-glottalized prototype, while the initial <latinform>c-</latinform> is a regular reflex of PLB <reconstruction>*gy-</reconstruction>.</par>
148806	I	<par>cf. Lahu <latinform>na, na-e</latinform> ‘get better’ DL p.727-728; perhaps from evantidramic root <reconstruction>*na</reconstruction> ‘good’ or causative of <latinform>nà</latinform> ‘make hurt go away.’ </par>
148834	I	<par>Second syllable derived tentatively from <reconstruction>*ʔmik</reconstruction> (see DL p. 1038). Cf. Achang Xiandao for same sequence of morphemes.</par>
148835	I	<par>Second syllable derived tentatively from <reconstruction>*ʔmik</reconstruction> (see DL p. 1038).</par>
173026	T	<par>This etymon is mistakenly reconstructed as Proto-Loloish <reconstruction>*baw³</reconstruction> in Bradley 1979 (DB-PL) #597, on the basis of WB <latinform>paw</latinform> &apos;to appear&apos;.</par>
282994	T	<par>The immediate ancestor of Lahu <latinform>qá-</latinform> would be PLB <latinform>*ʔgak</latinform>.</par>
296550	I	<par>Literally &quot;vagina-nipple&quot;. The last syllable probably means &apos;red&apos;. Cf. also Lahu <latinform>ha-cú-ni</latinform> &apos;uvula&apos; (lit. &quot;tongue-nipple&quot;).</par>
441485	T	<par>Lahu <latinform>bà</latinform> means &apos;throw away&apos; in isolation, but as an auxiliary verb means &apos;to perform an action so that something is gotten rid of&apos;. See HPTB, p. 231.</par>
514636	T	<par>This word was originally glossed &apos;whole arm (shoulder to wrist)&apos; during JAM&apos;s 1965-66 field trip, but was revised to &apos;narrow part of forearm where it joins the hand&apos; when the data was revised on subsequent trips (cf. <latinform>qɔ̄</latinform> &apos;neck&apos;). Given the imprecision of body part terminology, it is very possible that both glosses are correct.</par>
529257	T	<par>Lahu <latinform>šɨ</latinform> is an &quot;extentive&quot; noun derived from the adjectival verb <latinform>yɨ̀</latinform>. For the morphophonemics of exentive nouns, see Matisoff 1973/1982: 30-32.</par>
532718	T	<par>This word has been grammaticalized to a locative particle, and no longer retains its full nominal meaning. It reflects PLB Tone *3, while cognates like WB <latinform>lâm</latinform> reflect Tone *2.</par>
533440	T	<par>The high rising tone in this Lahu form indicates an earlier *pre-glottalized initial, perhaps PLB <reconstruction>*ʔdzwatᴸ</reconstruction>.</par>
533441	T	<par>Lahu <latinform>yō(n)</latinform> is a borrowing from Burmese, probably via Shan.</par>
621423	I	<par>Source: &quot;So-called because of its compartmented interior&quot;.</par>
622145	T	"<par>This Lahu form seems to be a fusion of the bare root <latinform>*ka</latinform> plus a second element meaning GO (see <xref ref=""657"">#657</xref>).</par>"
