rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
30528	399	Burmese (Written)	səmi'	səmi'	daughter	daughter			4.7.3	27a	0			
30529	1117	Mpi	lo²-mi²	lo²-mi²	daughter	daughter			4.7.3	27a	0			
30530	835	Lahu (Black)	yâ-mî	yâ-mî	daughter	daughter			4.7.3	27a	0			
30531	1117	Mpi	pʰi²-pu⁴	pʰi²-pu⁴	grandfather	grandfather			4.7.1	1	0			p,2582
30532	835	Lahu (Black)	ɔ̀-pū	ɔ̀-pū	grandfather	grandfather			4.7.1	1	0			5450,2582
30533	399	Burmese (Written)	ʔə◦pʰûi	ʔəpʰûi	grandfather	grandfather			4.7.1	1	0			p,2582
30534	1117	Mpi	ʔɑ²-kʰuŋ⁶	ʔɑ²-kʰuŋ⁶	hole in ground / pit	hole in ground / pit			3.2.7	2	0			p,820
30535	835	Lahu (Black)	ɔ̀-qʰɔ	ɔ̀-qʰɔ	hole in ground / pit	hole in ground / pit			3.2.7	2	0			5450,820
30536	399	Burmese (Written)	kʰoŋ	kʰoŋ	excavate in slanting direction	excavate in slanting direction			6.11	2	0			
30539	399	Burmese (Written)	ʔə◦kʰôŋ	ʔə◦kʰôŋ	hollow / cavity	hollow / cavity			7.1.5.1	3	0			p,820
30540	1117	Mpi	tɑʔ¹	tɑʔ¹	plait bamboo	plait bamboo	v.	v.	1.2.3.2	4	0			2686
30541	1117	Mpi	tɯʔ²	tɯʔ²	drops	drops				5	0			
30542	835	Lahu (Black)	jâʔ	jâʔ	drop	drop			6.16	5	0			557
30543	231	Akha	dza⪤dzui	dza⪤dzui	drop / drip	drop  / drip	n.	n.	6.16	5	0	jbl3		557
30544	399	Burmese (Written)	kʰwê	kʰwê	dog	dog			2.1.11	6	0			1764
30545	1117	Mpi	kʰɯ²	kʰɯ²	dog	dog			2.1.11	6	0			1764
30546	835	Lahu (Black)	pʰɨ̂	pʰɨ̂	dog	dog			2.1.11	6	0			1764
30547	928	Lisu	kʰɯ	kʰɯ	dog	dog			2.1.11	6	0			1764
30548	1117	Mpi	ʔɑ²-kʰɯ⁶	ʔɑ²-kʰɯ⁶	nest	nest			2.2.4	7	0			p,1611
30549	835	Lahu (Black)	ɔ̀-pʰɨ	ɔ̀-pʰɨ	nest	nest			2.2.4	7	0			5450,1611
30550	1117	Mpi	ko¹	ko¹	wear clothes	wear clothes			6.2.2.1	8	0			
30551	835	Lahu (Black)	qâ	qâ	wear clothes	wear clothes			6.2.2.1	8	0			
30552	928	Lisu	gwa⁵	gwa⁵	wear clothes	wear clothes			6.2.2.1	8	0			2256
30553	399	Burmese (Written)	pʰwâi	pʰwâi	chaff	chaff			3.1.6	9	0			
30554	1117	Mpi	koʔ²-pʰɯ²	koʔ²-pʰɯ²	chaff	chaff			3.1.6	9	0			
30555	835	Lahu (Black)	vàʔ-pʰɨ̂	vàʔ-pʰɨ̂	chaff	chaff			3.1.6	9	0			
30556	399	Burmese (Written)	kʰûi	kʰûi	smoke	smoke			3.2.12.2	11	0			2361
30557	1117	Mpi	mi²-kʰwi²	mi²-kʰwi²	smoke	smoke			3.2.12.2	11	0			
30558	835	Lahu (Black)	mû-qhɔ̂	mû-qhɔ̂	smoke	smoke			3.2.12.2	11	0		D0	2473,2361
30559	399	Burmese (Written)	kʰyui	kʰyui	sweet	sweet			7.1.4.4	12	0			2380
30560	1117	Mpi	tɕhi⁵	tɕhi⁵	sweet	sweet			7.1.4.4	12	0			2380
30561	835	Lahu (Black)	chɔ	chɔ	sweet	sweet			7.1.4.4	12	0			2380
30562	399	Burmese (Written)	kyok-kap	kyok-kap	kidney	kidney			1.7.5	13	0		D0	215,2752
30563	1117	Mpi	ʔoʔ²-tɕoʔ²	ʔoʔ²-tɕoʔ²	waist / small of back	waist / small of back			1.4.6	13	0			2542,215
30564	835	Lahu (Black)	cɔ̀ʔ	cɔ̀ʔ	waist / small of back	waist / small of back			1.4.6	13	0			215
30565	399	Burmese (Written)	kʰre	kʰre	foot	foot			1.5.2	14	0			335
30566	1117	Mpi	la²-kʰi⁶	la²-kʰi⁶	foot	foot			1.5.2	14	0			350,335
30567	835	Lahu (Black)	kʰɨ-šɛ	kʰɨ-šɛ	foot	foot			1.5.2	14	0			335,m
30568	399	Burmese (Written)	kʰrui~kʰyui	kʰrui~kʰyui	horn	horn			1.2.2	15	0			819,819
30569	1117	Mpi	ŋ²kʰɯ⁶	ŋ²kʰɯ⁶	horn	horn			1.2.2	15	0			p,819
30570	835	Lahu (Black)	ɔ̀-kʰɔ	ɔ̀-kʰɔ	horn	horn			1.2.2	15	0			5450,819
30571	399	Burmese (Written)	kʰram	kʰram	fence	fence			5.11.9.5	16	0			3606
30572	1117	Mpi	ŋ⁴ kʰiŋ⁶	ŋ⁴ kʰiŋ⁶	fence	fence			5.11.9.5	16	0			
30573	835	Lahu (Black)	kʰo	kʰo	fence	fence			5.11.9.5	16	0			3606
30574	399	Burmese (Written)	kʰrok	kʰrok	six	six			9.9	17	0			2621
30575	1117	Mpi	kʰoʔ²	kʰoʔ²	six	six			9.9	17	0			2621
30576	835	Lahu (Black)	kʰɔ̀ʔ	kʰɔ̀ʔ	six	six			9.9	17	0			2621
30577	399	Burmese (Written)	krê	krê	copper / brass	copper / brass			3.2.4	18	0		z	2247
30578	1117	Mpi	ki²	ki²	copper / brass	copper / brass			3.2.4	18	0		z	2247
30579	835	Lahu (Black)	kɨ̂	kɨ̂	copper / brass	copper / brass			3.2.4	18	0		z	2247
30580	399	Burmese (Written)	sâñ-kʰre	sâñ-kʰre	gall bladder	gall bladder			1.7.3	19	0			1390,227
30581	1117	Mpi	pi²kʰi⁶	pi²kʰi⁶	gall bladder	gall bladder			1.7.3	19	0			m,228
30582	835	Lahu (Black)	ɔ̀-kɨ	ɔ̀-kɨ	gall bladder	gall bladder			1.7.3	19	0			5450,227
30583	399	Burmese (Written)	krâ	krâ	hear	hear			1.2.7.4	20	0			1411
30584	1117	Mpi	kjo¹	kjo¹	hear	hear			1.2.7.4	20	0			1411
30585	835	Lahu (Black)	kâ	kâ	hear	hear			1.2.7.4	20	0			1411
30586	399	Burmese (Written)	krak	krak	cold	cold			7.1.2.3	21	0			
30587	1117	Mpi	kja³	kja³	cold	cold			7.1.2.3	21	0			
30588	835	Lahu (Black)	kâʔ	kâʔ	cold	cold			7.1.2.3	21	0			443a
30589	399	Burmese (Written)	pyam	pyam	fly	fly	v.	v.	2.2.6	22	0			2588
30590	1117	Mpi	pjɤŋ⁵	pjɤŋ⁵	fly	fly	v.	v.	2.2.6	22	0			
30591	835	Lahu (Black)	pò	pò	fly	fly	v.	v.	2.2.6	22	0			2588
30592	399	Burmese (Written)	pʰru	pʰru	white / silver / money	white / silver / money			9.4	23	0			1235
30593	1117	Mpi	pʰju⁶	pʰju⁶	white / silver / money	white / silver / money			9.4	23	0			1235
30594	835	Lahu (Black)	pʰu	pʰu	white / silver / money	white / silver / money			9.4	23	0			1235
30595	399	Burmese (Written)	prañ	prañ	full	full (v.i.)	v.i.		1.1.3.2	24	0	dwb30		111
30596	1117	Mpi	ʔo²-pjɯ³	ʔo²-pjɯ³	full	full			1.1.3.2	24	0			p,111
30597	835	Lahu (Black)	pɛ	pɛ	plentiful; enough	plentiful; enough			7.1.2.1	24	0			111
30598	399	Burmese (Written)	pʰru	pʰru	porcupine	porcupine			2.1.1	25	0			5429
30599	1117	Mpi	ha⁴pʰju⁶	ha⁴pʰju⁶	porcupine	porcupine			2.1.1	25	0			2630,5429
30600	835	Lahu (Black)	fâʔ-pu	fâʔ-pu	porcupine	porcupine			2.1.1	25	0			2630,5429
30601	399	Burmese (Written)	prañ	prañ	pus	pus			1.8.6.1	26	0			1292
30602	1117	Mpi	pjɯ⁶~pju⁶	pjɯ⁶~pju⁶	pus	pus			1.8.6.1	26	0			1292,1292
30603	835	Lahu (Black)	bɛ̀	bɛ̀	pus	pus			1.8.6.1	26	0			1292
30604	399	Burmese (Written)	sâ	sâ	child	child			1.5.3.2	27	0			
30605	1117	Mpi	ʔɑ²-lo²	ʔɑ²-lo²	child	child			1.5.3.2	27	0			
30606	835	Lahu (Black)	ɔ̀-yâ	ɔ̀-yâ	child	child			1.5.3.2	27	0			5450,1012
30607	399	Burmese (Written)	sak	sak	descend	descend			6.7.8	28	0		D0	2804
30608	1117	Mpi	la¹	la¹	descend	descend			6.7.8	28	0			
30609	835	Lahu (Black)	yàʔ	yàʔ	descend	descend			6.7.8	28	0		D0	2804
30610	399	Burmese (Written)	sûm	sûm	use / grab / seize	use / grab / seize			6.2.2.7.1	29	0			5574
30611	1117	Mpi	liŋ²	liŋ²	rape	rape			6.4	29	0			
30612	835	Lahu (Black)	yɛ̂	yɛ̂	use / grab / seize	use / grab / seize			6.2.2.7.1	29	0			5574
30613	1117	Mpi	to²tʰɤ⁶	to²tʰɤ⁶	ten	ten			9.9	30	0			
30614	835	Lahu (Black)	tê cʰi	tê cʰi	ten	ten			9.9	30	0			m,2748
30615	399	Burmese (Written)	tə◦cʰay	tə◦cʰay	ten	ten			9.9	30	0			m,2748
30616	1117	Mpi	ʔɑ²-tʰɯ⁶ (n.)	ʔɑ²-tʰɯ⁶ (n.)	fat	fat			1.6.4	31	0			m,42
30617	835	Lahu (Black)	ɔ̀-cʰu (n.)	ɔ̀-cʰu (n.)	fat	fat			1.6.4	31	0			5450,42
30618	399	Burmese (Written)	cʰu	cʰu	fat	fat			1.6.4	31	0			42
30619	1117	Mpi	tʰoʔ³	tʰoʔ³	build (as a house)	build (as a house)			6.14	32	0			5773
30620	399	Burmese (Written)	cʰok	cʰok	build (as a house)	build (as a house)			6.14	32	0			5773
30621	231	Akha	tsoˆ	tsoˆ	build (as a house)	build (as a house)			6.14	32	0			5773
30622	1117	Mpi	tʰeʔ¹	tʰeʔ¹	bite	bite			1.3.4.4	33	0			
30623	835	Lahu (Black)	cʰèʔ	cʰèʔ	bite	bite			1.3.4.4	33	0			744
30624	231	Akha	tseh˰	tseh˰	bite	bite			1.3.4.4	33	0			744
30625	1117	Mpi	tʰi¹	tʰi¹	wash	wash			6.2.2.5.2	34	0			
30626	835	Lahu (Black)	.cʰɨ̂	.cʰɨ̂	wash	wash			6.2.2.5.2	34	0			e?
30627	399	Burmese (Written)	cʰê	cʰê	wash	wash			6.2.2.5.2	34	0			5647
30628	1117	Mpi	te⁶-mo⁴	te⁶-mo⁴	hawk	hawk			2.2.4.1	35	0			2219,m
30629	835	Lahu (Black)	á-cè	á-cè	hawk	hawk			2.2.4.1	35	0			5450,2219
30630	399	Burmese (Written)	cwan	cwan	hawk	hawk			2.2.4.1	35	0			2219
30631	1117	Mpi	tɯ¹	tɯ¹	ride (as horse)	ride (as horse)			6.2	36	0			2237
30632	835	Lahu (Black)	cî	cî	ride (as horse)	ride (as horse)			6.2	36	0			2237
30633	399	Burmese (Written)	cî	cî	ride (as horse)	ride (as horse)			6.2	36	0			2237
