rn	type	text
144314	I	<par>458? and see below (not som)</par>
144315	I	<par>note similar below</par>
144315	I	<par>None of these final glottal stops are &apos;real&apos; consonants, they are Jones&apos; way of registering the final creakiness that is a feature of this tone.</par>
144315	T	<par>Pwo final glottal stops indicate creaky voice, a feature of the respective tone.</par>
144317	I	<par>a = BP pfx?;cf. below <latinform>?a-hmap</latinform></par>
144318	I	<par>as above</par>
144319	I	<par>M1: s or p? Also: delete second hyphen? Or is there an Etym. <latinform>wa</latinform> (see p. 4)?</par>
144321	I	<par>(457: par-wap)</par>
144331	I	<par>s?</par>
144332	I	<par>M2: 65?</par>
144333	I	<par>sha = 66 or 292, or perh. a BP p?,cf. below; M2: 457? or b?</par>
144339	I	<par>M1: or 458?</par>
144346	I	<par>M1: division? M3: not 1384?</par>
144359	I	<par>As <latinform>dzot</latinform>, <latinform>()ot</latinform> above; <latinform>ts?ut</latinform> etc below?</par>
144369	I	<par><latinform>a</latinform> = BP prefx? M2: prob. not #288 b-rang</par>
144370	I	<par>a = BP prefx?<latinform>po</latinform> = 1392? 2103?</par>
144374	I	<par>?</par>
144389	I	<par>2111?</par>
144391	I	<par><latinform>tə</latinform><latinform> </latinform>pfx?</par>
144424	I	<par>BP pfx? (JAM) M3=hollow object *<latinform>s-koŋ</latinform>?</par>
144433	I	<par>or 2103?</par>
144439	I	<par>M1=2104? or redupl? 164? or 2103?</par>
144443	I	<par>BP pfx? or reduced from 315? M2: 315 or 2102? M3: 8?</par>
144445	I	<par>315 or 2103?</par>
144446	I	<par>315 or 2102?</par>
144467	I	<par>BP pfx?</par>
144480	I	<par>M1: 1381?? M2: 200? (Sherpa dial.-cf. WT)</par>
144485	I	<par>1319?</par>
144502	I	<par>a = BP pfx?</par>
144507	I	<par>1382? also, here <latinform>ùl bop</latinform> to correlate with <latinform>ùl buk</latinform>--can it? or are both just semant. null sffxs? = 164??</par>
144509	I	<par>1382? Or 1388? (458?) And cf. Pattani2,3; Lotha (p. 7 end)</par>
144510	I	<par>M1: 2104? if so, add LIVER to gloss? M2: da = 1382?</par>
144511	I	<par>M2: 1388? or 458 (LUNG)??. M3: or 1019?</par>
144512	I	<par><emph>na</emph> sfx?again-see above(131384--p. 14 Pattani))</par>
144513	I	<par>1382?</par>
144517	I	<par><latinform>pa</latinform>: cf. ba above</par>
144519	I	<par>M1: ;BP pfx? or 229? 1390? or 66? (presume <latinform>(k)a</latinform> because of <latinform>ʔə</latinform>, etc.)</par>
144520	I	<par>Not use p</par>
144522	I	<par>BP pfx?</par>
144523	I	<par>M1: see above <latinform>pɯ</latinform> ? M2: <latinform>ing</latinform> found above--heart??(check)</par>
144528	I	<par>or 227? <emph>229˛ 227</emph></par>
144534	I	<par>or 227?</par>
144539	I	<par>division? M1: p or 1390 as above?</par>
144541	I	<par>M1: 1390 (on basis of previous) or just p?</par>
144542	I	<par>1390/227, s?</par>
144542	I	<par>M1 = 1390? 227?</par>
144543	I	<par>1390/227, s?</par>
144543	I	<par>M1 = 1390? 227?</par>
144545	I	<par>BP pfx? + *tin/sin??</par>
144546	I	<par>572?</par>
144547	I	<par>M2: 227 or 229?</par>
144548	I	<par>JAM: 227</par>
144549	I	<par>1321? 228 or 181/229?</par>
144550	I	<par>chi: or 228?</par>
144551	I	<par>BP pfx? 227 (JAM) or 228 (or 181?)</par>
144560	I	<par>a = BP pfx?</par>
144561	I	<par>morpheme division?</par>
144562	I	<par><emph>remove question mark?</emph></par>
144575	I	<par>1384? See below</par>
144577	I	<par>1384? See below</par>
144580	I	<par>1383? 1374? <emph>And see later?</emph></par>
144584	I	<par>2104 2x? or M2: 1390?</par>
144588	I	<par><latinform>yoŋ</latinform> = new etymon?</par>
144589	I	<par>M1 = 574? <emph>See also above </emph><latinform>sa/cis-khil</latinform><emph>grp</emph></par>
144590	I	<par>1384?? (not?), 572?? (not?)</par>
144604	I	<par>572, 577? or 229, 572?</par>
144608	I	<par>cf. <latinform>kru etc. prev. page</latinform>??</par>
144609	I	<par>see <latinform>gruŋ</latinform> above</par>
144610	I	<par>see <latinform>gruŋ</latinform> above</par>
144613	I	<par>&amp; 577? Cf. below:6897, 129108</par>
144615	I	<par>or 577?</par>
144616	I	<par>p?</par>
144626	I	<par>BP pfx?</par>
144634	I	<par>JAM: <latinform>tûr</latinform> = &apos;alive&apos;? + 1321 or 2118?</par>
144637	I	<par>M2: as 2.6.1</par>
144639	T	<par>Note assimilation of the medial consonants.</par>
144639	T	"<par>The variant with medial <latinform>-l-</latinform> might be due to confusion with the medial in <xref ref=""5636"">#5636</xref>.</par>"
144670	I	<par>cf. ? STOMACH 7.6.1. etc. M3: 189 WATER? (or 16 BODY PART)</par>
144685	T	<par>The word-family relationship between WT <latinform>rum</latinform> &apos;womb&apos; and <latinform>sbrum-pa</latinform> &apos;pregnant&apos; was already recognized by W. Simon (1975:250).</par>
144692	T	"<par>Karbi <latinform>hem</latinform> has nothing to do with <xref ref=""670"">#670</xref>, contra VSTB, pp. 226-7.</par>"
144697	I	"<par>Contra Löffler 1966, I do not assign the Lushai (Mizo) and Mru forms to <xref ref=""661"">#661</xref>.</par>"
