rn	type	text
35874	I	<par>cf. <latinform>lgang/lgan</latinform> this group</par>
35911	I	<par>This form was originally syllabified as <latinform>o ŋo</latinform>. However, comparison with other Tibetan dialects (e.g. Amdo Bla-Brang <latinform>oŋ xha</latinform>, Amdo Zeku <latinform>oŋ toŋ</latinform>) indicates that <latinform>oŋ</latinform> should be considered a single morpheme. On the other hand, note the Jingpho forms <latinform>chyâ ngum</latinform> and <latinform>chyâ ngaw</latinform>, whose second syllables bear a resemblance to <latinform>ŋo</latinform>.</par>
35911	T	<par>In Jackson Sun&apos;s system, <latinform>ⁿg</latinform> indicates a unitary prenasalized phoneme (1985:17).</par>
36096	I	<par>πá: see above. <latinform>pa</latinform>: prev. pages <latinform>pae</latinform> (e.g., p. 10 bottom 143609, p. 11 bottom 16623: = b LUNG: <emph>or not the same: these = sfx but LUNG not sfx?</emph>)</par>
36173	I	<par>Loan from Chinese, cf. Chinese làjiāo 辣椒 &apos;hot pepper&apos;.</par>
36210	I	<par>M1: 201? or 229? M2: or <latinform>mak</latinform> etc.?</par>
36248	I	<par>or ndzo=nest?cf.p.23;nba=na above?</par>
36308	T	<par>Amdo <latinform>n-</latinform> &lt; WT <latinform>ḥ-</latinform>.</par>
36419	I	<par>Cf. German Tier ‘animal’ / Eng. deer.</par>
36578	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
