rn	type	text
37469	T	<par>This is a contraction of the other Mawo <latinform>pʌtʃə̥</latinform> &apos;navel&apos;.</par>
37487	I	<par>This form may be a contraction of the another Qiang form, <latinform>wutʃl̀quote ə</latinform></par>
37491	I	<par>Second syllable means “head” . See <latinform>tóu</latinform> in ZMYYC.</par>
37504	I	<par>=pus+blood, cf. Chinese nong-xie; Jingpo sai matsui.</par>
37514	I	<par>Div?</par>
37516	I	<par>1325/779? Div.: r=pfx? note <latinform>l: 1381? (cf. below)</latinform></par>
37517	I	<par>M1: Cf. <latinform>dei</latinform> ? or cf. <latinform>tə</latinform><latinform> </latinform> pfx? M2: 2102?</par>
37518	I	<par>M1: 574? M2: 2118?</par>
37528	I	<par><latinform>pis</latinform>, <latinform>pies</latinform> are fused forms, with the disyllabic prototype shown in Yadu <latinform>pəʴ ʂən</latinform>. First element is said to be <latinform>piʁ</latinform>, but is more likely &lt; <reconstruction>*pay</reconstruction> #51. (I think that this is &apos;pig&apos; + &apos;flesh&apos;, which is the normal way to say &apos;meat&apos; in Qiang. Sanlong Qiang also has something like <latinform>pəʴ ʂən </latinform>to mean &apos;body&apos;. -- J.P. Evans)</par>
37529	T	"<par>This form bares a suspicious resemblance to Qiang (Mawo) <latinform>zda</latinform>, which has been assigned to <xref ref=""1450"">#1450</xref>. However, since the Qiangic languages have a strong tendency to develop the high front vowel <latinform>i</latinform> from PTB <latinform>*a</latinform>, a phenomenon which has been referred to as &quot;brightening&quot;, these two Mawo forms may actually one and the same etymon.</par>"
37544	I	<par>cf. SKULL.</par>
