rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
40350	628	Hani (Caiyuan)	la̱³¹ me̱³¹	la̱³¹ me̱³¹	left	left			1.5.3.2		0			695,m
40351	628	Hani (Caiyuan)	la̱³¹ tʰa̱³¹	la̱³¹ tʰa̱³¹	right (side)	right (side)			1.5.3.2		0			695,m
40352	628	Hani (Caiyuan)	a³¹ pa⁵⁵ le⁵⁵	a³¹ pa⁵⁵ le⁵⁵	side	side			1.4.5		0			
40353	628	Hani (Caiyuan)	ka³³ nv̩̄³³	ka³³ nv̩̄³³	back (side)	back (side)			1.4.8		0			m,203
40354	628	Hani (Caiyuan)	a³¹ nv̩̄³³	a³¹ nv̩̄³³	back (side)	back (side)			1.4.8		0			p,203
40355	628	Hani (Caiyuan)	ka³³ xu³¹	ka³³ xu³¹	front	front			1.4.4		0			1209,m
40356	628	Hani (Caiyuan)	v̩³³	v̩³³	egg	egg					0			301
40357	628	Hani (Caiyuan)	ɔ³¹ tu⁵⁵	ɔ³¹ tu⁵⁵	wing	wing			1.5.1.3		0			p,711
40358	628	Hani (Caiyuan)	ɔ³¹ tsʰe⁵⁵	ɔ³¹ tsʰe⁵⁵	fur	fur			1.6.1		0			p,1232
40359	628	Hani (Caiyuan)	sɿ³¹	sɿ³¹	claw	claw			1.5.10.4		0			
40360	628	Hani (Caiyuan)	tʰi³¹ tsɿ³¹	tʰi³¹ tsɿ³¹	hoof (horse)	hoof (horse)			1.5.4		0			w
40361	628	Hani (Caiyuan)	v̩³¹ tɕʰi⁵⁵	v̩³¹ tɕʰi⁵⁵	horn	horn			1.2.2		0			385,819
40362	628	Hani (Caiyuan)	tɔ³¹ mi³¹	tɔ³¹ mi³¹	tail	tail			1.4.10.1		0			5639,1288
40363	628	Hani (Caiyuan)	ɔ³¹ mu⁵⁵	ɔ³¹ mu⁵⁵	body	body			1.1.1		0			p,17
40364	628	Hani (Caiyuan)	v̩³¹ kʰe³¹	v̩³¹ kʰe³¹	head	head			1.2.1		0			385,383
40365	628	Hani (Caiyuan)	nɔ³¹ kʰɔ³¹	nɔ³¹ kʰɔ³¹	forehead	forehead			1.2.5.1		0			356,2025
40366	628	Hani (Caiyuan)	tsʰe⁵⁵ kʰɤ⁵⁵	tsʰe⁵⁵ kʰɤ⁵⁵	hair	hair			1.2.3		0			1232,372
40367	628	Hani (Caiyuan)	tsʰe⁵⁵ pʰi̱³¹	tsʰe⁵⁵ pʰi̱³¹	braid (hair)	braid (hair)	n	n	1.2.3.2		0			366,2018
40368	628	Hani (Caiyuan)	v̩̄³¹ nɤ̱³¹	v̩̄³¹ nɤ̱³¹	brain	brain			1.2.4		0			385,243
40369	628	Hani (Caiyuan)	ma̱³³ pʰɤ³¹	ma̱³³ pʰɤ³¹	face	face			1.2.5		0			681,1186
40370	628	Hani (Caiyuan)	tsv̩̄³¹	tsv̩̄³¹	wrinkle	wrinkle			9.6.2		0			
40371	628	Hani (Caiyuan)	ma̱³³ tsʰe⁵⁵	ma̱³³ tsʰe⁵⁵	eyebrow	eyebrow			1.2.6.6		0			681,1232
40372	628	Hani (Caiyuan)	ma̱³³ tsɿ̄³³	ma̱³³ tsɿ̄³³	eye	eye			1.2.6		0			681,3559
40373	628	Hani (Caiyuan)	ma̱³³ pi⁵⁵	ma̱³³ pi⁵⁵	tears	tears			1.2.6.7		0			681,187
40374	628	Hani (Caiyuan)	na⁵⁵ me⁵⁵	na⁵⁵ me⁵⁵	nose	nose			1.2.8		0			803,m
40375	628	Hani (Caiyuan)	nɔ³¹ pu⁵⁵	nɔ³¹ pu⁵⁵	ear	ear			1.2.7		0			811,812
40376	628	Hani (Caiyuan)	ɔ³¹ me³¹	ɔ³¹ me³¹	mouth	mouth			1.3.1		0			p,467
40377	628	Hani (Caiyuan)	me³¹ kʰv̩̄³³	me³¹ kʰv̩̄³³	lip	lip			1.3.2		0			467,586
40378	628	Hani (Caiyuan)	ɔ³¹ tsɿ⁵⁵	ɔ³¹ tsɿ⁵⁵	tooth	tooth			1.3.4		0			p,635
40379	628	Hani (Caiyuan)	a³¹ la⁵⁵	a³¹ la⁵⁵	tongue	tongue			1.3.3		0			p,623
40380	628	Hani (Caiyuan)	mju³¹	mju³¹	beard	beard			1.2.5.5		0			363
40381	628	Hani (Caiyuan)	ŋɤ³¹ lɤ⁵⁵	ŋɤ³¹ lɤ⁵⁵	neck	neck			1.4.2		0			483,479
