rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
41779	947	Lisu (Nujiang)	mɯ³¹ dʒɛ³¹ (sɿ³³)	mɯ³¹ dʒɛ³¹ (sɿ³³)	front	front			1.4.4		0			1210,m,1214
41780	947	Lisu (Nujiang)	kɑ⁵⁵ niɛ⁵⁵ (sɿ³³)	kɑ⁵⁵ niɛ⁵⁵ (sɿ³³)	back (side)	back (side)			1.4.8		0			m,203,m
41781	947	Lisu (Nujiang)	lɛ̱⁴² ɣɯ⁵⁵ tʃʰe³¹	lɛ̱⁴² ɣɯ⁵⁵ tʃʰe³¹	left	left			1.5.3.2		0			695,2154,m
41782	947	Lisu (Nujiang)	lɛ̱⁴² ʒɛ̱⁴⁴ tʃʰe³¹	lɛ̱⁴² ʒɛ̱⁴⁴ tʃʰe³¹	right (side)	right (side)			1.5.3.2		0			695,2786,m
41783	947	Lisu (Nujiang)	gɑ̱⁴² dʒɛ̱⁴⁴	gɑ̱⁴² dʒɛ̱⁴⁴	side	side			1.4.5		0			
41784	947	Lisu (Nujiang)	e⁵⁵ kuɑ̱⁴⁴ lɑ̱⁴⁴	e⁵⁵ kuɑ̱⁴⁴ lɑ̱⁴⁴	middle	middle			1.9.4		0			
41785	947	Lisu (Nujiang)	e⁵⁵ fu̱⁴⁴	e⁵⁵ fu̱⁴⁴	egg	egg					0			p,301
41786	947	Lisu (Nujiang)	du̱⁴⁴ lɛ̱⁴²	du̱⁴⁴ lɛ̱⁴²	wing	wing			1.5.1.3		0			711,695
41787	947	Lisu (Nujiang)	e⁵⁵ mu̱⁴⁴	e⁵⁵ mu̱⁴⁴	fur	fur			1.6.1		0			p,363
41788	947	Lisu (Nujiang)	e⁵⁵ mu̱⁴⁴	e⁵⁵ mu̱⁴⁴	feather	feather			1.6.1.1		0			p,363
41789	947	Lisu (Nujiang)	lɛ³¹ se³¹	lɛ³¹ se³¹	claw	claw			1.5.10.4		0			695,m
41790	947	Lisu (Nujiang)	tʃʰi̱⁴⁴ bu̱⁴²	tʃʰi̱⁴⁴ bu̱⁴²	hoof	hoof			1.5.4		0			m,5623
41791	947	Lisu (Nujiang)	o⁵⁵ tʃʰɿ̄⁴⁴	o⁵⁵ tʃʰɿ̄⁴⁴	horn	horn			1.2.2		0			385,819
41792	947	Lisu (Nujiang)	ɑ⁵⁵ ɣɑ⁵⁵ ko̱⁴⁴	ɑ⁵⁵ ɣɑ⁵⁵ ko̱⁴⁴	cockscomb	cockscomb			1.2.2.1		0			p,1606,m
41793	947	Lisu (Nujiang)	e⁵⁵ mɯ⁵⁵	e⁵⁵ mɯ⁵⁵	tail	tail			1.4.10.1		0			p,1288
41794	947	Lisu (Nujiang)	ko̱⁴⁴ de³¹	ko̱⁴⁴ de³¹	body	body			1.1.1		0			2,1125
41795	947	Lisu (Nujiang)	o⁵⁵ du³³	o⁵⁵ du³³	head	head			1.2.1		0			385,1223
41796	947	Lisu (Nujiang)	ŋɯ̱⁴² tʃʰi̱⁴⁴	ŋɯ̱⁴² tʃʰi̱⁴⁴	forehead	forehead			1.2.5.1		0			356,1212
41797	947	Lisu (Nujiang)	o⁵⁵ tsʰe̱⁴⁴	o⁵⁵ tsʰe̱⁴⁴	hair (head)	hair (head)			1.2.3		0			385,1232
41798	947	Lisu (Nujiang)	o⁵⁵ pʰi³¹	o⁵⁵ pʰi³¹	braid (hair)	braid (hair)	n	n	1.2.3.2		0			385,2018
41799	947	Lisu (Nujiang)	o⁵⁵ nɯ⁵⁵	o⁵⁵ nɯ⁵⁵	brain	brain			1.2.4		0			385,243
41800	947	Lisu (Nujiang)	pʰi³¹ miɑ̱⁴⁴	pʰi³¹ miɑ̱⁴⁴	face	face			1.2.5		0			1186,681
41801	947	Lisu (Nujiang)	e⁵⁵ tu³⁵ lu³³	e⁵⁵ tu³⁵ lu³³	wrinkle	wrinkle			9.6.2		0			
41802	947	Lisu (Nujiang)	miɑ̱⁴⁴ kɑ̱⁴⁴ mu̱⁴⁴	miɑ̱⁴⁴ kɑ̱⁴⁴ mu̱⁴⁴	eyebrow	eyebrow			1.2.6.6		0			681,m,363
41803	947	Lisu (Nujiang)	niɛ̱⁴⁴ sɯ³¹	niɛ̱⁴⁴ sɯ³¹	eye	eye			1.2.6		0			681,1019
41804	947	Lisu (Nujiang)	miɑ̱⁴⁴ bi̱⁴⁴	miɑ̱⁴⁴ bi̱⁴⁴	tears	tears			1.2.6.7		0			681,187
41805	947	Lisu (Nujiang)	nɑ̱⁴⁴ kʰu̱⁴⁴	nɑ̱⁴⁴ kʰu̱⁴⁴	nose	nose			1.2.8		0			803,809
41806	947	Lisu (Nujiang)	nɑ̱⁴⁴ po̱⁴⁴	nɑ̱⁴⁴ po̱⁴⁴	ear	ear			1.2.7		0			811,812
41807	947	Lisu (Nujiang)	mɯ³¹ lɯ³⁵	mɯ³¹ lɯ³⁵	mouth	mouth			1.3.1		0			467,456
41808	947	Lisu (Nujiang)	mɯ³¹ lɯ³⁵ ku³⁵ dʒi³³	mɯ³¹ lɯ³⁵ ku³⁵ dʒi³³	lip	lip			1.3.2		0			467,456,586,596
41809	947	Lisu (Nujiang)	sɿ³¹ tʃʰi̱⁴⁴	sɿ³¹ tʃʰi̱⁴⁴	tooth	tooth			1.3.4		0			632,635
41810	947	Lisu (Nujiang)	lɑ̱⁴⁴ tʃʰɯ̱⁴⁴	lɑ̱⁴⁴ tʃʰɯ̱⁴⁴	tongue	tongue			1.3.3		0			623,m
41811	947	Lisu (Nujiang)	mɯ³¹ tsɿ̄⁴⁴	mɯ³¹ tsɿ̄⁴⁴	beard	beard			1.2.5.5		0			363,1226
41812	947	Lisu (Nujiang)	mɯ³¹ pɯ̱⁴⁴	mɯ³¹ pɯ̱⁴⁴	chin	chin			1.2.5.3		0			1187,271
41813	947	Lisu (Nujiang)	li³³ be³³	li³³ be³³	neck	neck			1.4.2		0			479,484
41814	947	Lisu (Nujiang)	tʃʰo³¹ tʰe³¹	tʃʰo³¹ tʰe³¹	throat	throat			1.3.5		0			3363,501
41815	947	Lisu (Nujiang)	lɛ³¹ pʰɯ³³	lɛ³¹ pʰɯ³³	shoulder	shoulder			1.4.3		0			695,276
41816	947	Lisu (Nujiang)	lɛ³¹ pʰɛ³⁵	lɛ³¹ pʰɛ³⁵	hand	hand			1.5.1.1		0			695,821
41817	947	Lisu (Nujiang)	lɛ³¹ pu³⁵ no̱⁴⁴	lɛ³¹ pu³⁵ no̱⁴⁴	fist	fist			1.5.1.1.1		0			695,m
41818	947	Lisu (Nujiang)	tɛ³⁵ vu³¹	tɛ³⁵ vu³¹	arm	arm			1.5.1.2		0			m,232
41819	947	Lisu (Nujiang)	lɛ³¹ tsɿ⁵⁵	lɛ³¹ tsɿ⁵⁵	elbow	elbow			1.5.8.3		0			695,418
41820	947	Lisu (Nujiang)	lɛ³¹ ȵi̱⁴⁴	lɛ³¹ ȵi̱⁴⁴	finger	finger			1.5.6		0			
41821	947	Lisu (Nujiang)	lɛ³¹ se³¹	lɛ³¹ se³¹	nail	nail			1.5.10		0			
41822	947	Lisu (Nujiang)	o̱⁴⁴ mɯ³¹	o̱⁴⁴ mɯ³¹	chest (of body)	chest (of body)			1.4.4.3		0			
41823	947	Lisu (Nujiang)	kɑ̱⁴⁴ tɛ̱⁴⁴	kɑ̱⁴⁴ tɛ̱⁴⁴	back (of body)	back (of body)			1.4.8		0			m,m
41824	947	Lisu (Nujiang)	ɑ⁵⁵ tʃɿ³⁵	ɑ⁵⁵ tʃɿ³⁵	breast	breast			1.4.4.3		0			p,5541
41825	947	Lisu (Nujiang)	he³¹ mɑ̱⁴⁴	he³¹ mɑ̱⁴⁴	belly	belly			1.4.7		0			m,m
41826	947	Lisu (Nujiang)	tʃʰɛ³⁵ du³¹	tʃʰɛ³⁵ du³¹	navel	navel			1.9.4		0			525,520
