rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
43045	1317	Qiang (Mawo)	tɕi◦wə◦st	tɕi◦wə◦st	egg	egg					0			m,1603,1609
43046	1317	Qiang (Mawo)	gzi◦guaʴ	gzi◦guaʴ	wing	wing			1.5.1.3		0			m,713
43047	1317	Qiang (Mawo)	hu◦pɑ	hu◦pɑ	fur, feather	fur, feather			1.6.1		0			363,s
43048	1317	Qiang (Mawo)	paʴxəʴ	paʴxəʴ	claw	claw			1.5.10.4		0			
43049	1317	Qiang (Mawo)	ʁdʐi◦ku	ʁdʐiku	hoof	hoof			1.5.4		0			m,417
43050	1317	Qiang (Mawo)	ɹəq	ɹəq	horn	horn			1.2.2		0			819
43051	1317	Qiang (Mawo)	su◦ka	su◦ka	tail	tail			1.4.10.1		0			3333,219
43052	1317	Qiang (Mawo)	qətʃa	qətʃa	blind person	blind person			1.2.6.14.2		0			m
43053	1317	Qiang (Mawo)	nə◦ku◦bu	nəkubu	deaf person	deaf person			1.2.7.5		0			811,820,1409
43054	1317	Qiang (Mawo)	ʁueʴ	ʁueʴ	mute person	mute person			1.5.3.2		0			
43055	1317	Qiang (Mawo)	ʁu◦ʁu◦n	ʁuʁun	insane person	insane person			8.3.1.11.3		0			6094,6094,m
43056	1317	Qiang (Mawo)	khəla	khəla	lame person	lame person			1.5.12		0			
43057	1317	Qiang (Mawo)	zdɑ	zdɑ	fat , oil	fat , oil	n.	n.	1.6.4		0			1450
43058	1317	Qiang (Mawo)	pi◦s	pi◦s	meat, flesh	meat, flesh			1.1.1.1		0			1006,34
43059	1317	Qiang (Mawo)	rmi	rmi	fertilizer	fertilizer			1.9		0			
43060	1317	Qiang (Mawo)	qhʂə	qhʂə	manure	manure			1.8.5		0			
43061	1317	Qiang (Mawo)	dʒəβɑ	dʒəβɑ	speech	speech			1.8.7		0			
43062	1317	Qiang (Mawo)	gewu	gewu	sound	sound			9.3		0			
43063	1317	Qiang (Mawo)	geʴ◦quʴ	geʴ◦quʴ	strength	strength			1.1.5		0			
43064	1317	Qiang (Mawo)	stiː◦mi	stiː◦mi	courage	courage					0			1387
43065	1317	Qiang (Mawo)	rmu◦ʁe	rmu◦ʁe	dream	dream			1.1.4.2		0			126,m
43066	1317	Qiang (Mawo)	khsiaʴ-quəʴ	khsiaʴ-quəʴ	shadow	shadow			3.2.10		0			
43067	1317	Qiang (Mawo)	khsi	khsi	spirit	spirit			5.8.1.1		0			
43068	1317	Qiang (Mawo)	xlu◦ʂ	xluʂ	ghost	ghost			4.2.12.2		0			2264,m
43069	1317	Qiang (Mawo)	tsi	tsi	look at	look at			1.2.6.11		0			1229
43070	1317	Qiang (Mawo)	kuətiu	kuətiu	see, perceive	see, perceive			1.2.6.10		0			m
43071	1317	Qiang (Mawo)	tɕi	tɕi	close (eyes)	close (eyes)			6.2.2.6.2		0			
43072	1317	Qiang (Mawo)	məma	məma	close (mouth)	close (mouth)			6.2.2.6.2		0			
43073	1317	Qiang (Mawo)	kʰɕust	kʰɕust	listen	listen			1.2.7.4		0			
43074	1317	Qiang (Mawo)	dzə	dzə	eat	eat			1.5.3.2		0			36
43075	1317	Qiang (Mawo)	tʰi	tʰi	drink	drink					0			502
43076	1317	Qiang (Mawo)	dzidzi	dzidzi	bite	bite			1.3.4.4		0			
43077	1317	Qiang (Mawo)	tʃɑq◦tʃɑq◦dzə	tʃɑq◦tʃɑq◦dzə	chew	chew			1.3.4		0			1778,1778,36
43078	1317	Qiang (Mawo)	dʐuz	dʐuz	ruminate	ruminate			8.3.1.13.1		0			
43079	1317	Qiang (Mawo)	ȵi◦ta	ȵi◦ta	lick	lick			1.3.3.1		0			629,m
43080	1317	Qiang (Mawo)	ɣdʐi	ɣdʐi	hold in mouth	hold in mouth			1.3.4.4		0			
43081	1317	Qiang (Mawo)	ʁɑʴ◦ɬa	ʁɑʴɬa	gnaw	gnaw			1.3.4.4		0			5641,m
43082	1317	Qiang (Mawo)	səʁzə	səʁzə	swallow	swallow	v.t.	v.t.	1.3.5.6		0			
43083	1317	Qiang (Mawo)	səʁzə	səʁzə	swallow	swallow	v.i.	v.i.	1.3.5.6		0			
43084	1317	Qiang (Mawo)	tʂhə	tʂhə	suck / inhale	suck / inhale			1.3.2.1		0			5541
43085	1317	Qiang (Mawo)	ɹɑ	ɹɑ	spit	spit			1.8.3		0			
43086	1317	Qiang (Mawo)	ɹɑ	ɹɑ	vomit	vomit			1.8.3.2		0			
43087	1317	Qiang (Mawo)	pʰɤ	pʰɤ	blow (with mouth)	blow (with mouth)			1.3.1.4		0			75
43088	1317	Qiang (Mawo)	ɹu	ɹu	speak	speak			8.5.10.1		0			
43089	1317	Qiang (Mawo)	zdɤ	zdɤ	read, recite	read, recite			6.2.2.9.3		0			
43090	1317	Qiang (Mawo)	ʁuʁua	ʁuʁua	call out, cry out	call out, cry out			9.2		0			
43091	1317	Qiang (Mawo)	təbəχtʂi	təbəχtʂi	smell	smell	v	v	1.2.8.5		0			
43092	1317	Qiang (Mawo)	ʁaʂ	ʁaʂ	castrate (caponize)	castrate (caponize)			1.9.2.3		0			m
43093	1317	Qiang (Mawo)	nɤ	nɤ	sleep	sleep			1.1.4.1		0			129
43094	1317	Qiang (Mawo)	khuʴ◦q	khuʴ◦q	wake up	wake up			1.1.4		0			
43095	1317	Qiang (Mawo)	dʐɑ	dʐɑ	laugh	laugh			1.8.8.1		0			1108
43096	1317	Qiang (Mawo)	zɤɹɤ	zɤ◦ɹɤ	cry, weep	cry, weep			1.8.8.2		0			6725
43097	1317	Qiang (Mawo)	χu	χu	birth, give	birth, give			1.1.2		0			97
43098	1317	Qiang (Mawo)	dɑbɑʴ	dɑbɑʴ	grow up	grow up			9.7.2		0			
43099	1317	Qiang (Mawo)	rdʑi	rdʑi	sick, get	sick, get			1.1.5.1		0			1847
43100	1317	Qiang (Mawo)	kʰsaʴma	kʰsaʴma	shake / shiver	shake / shiver			6.7.9		0			
43101	1317	Qiang (Mawo)	pʰɤpʰɑ	pʰɤpʰɑ	swell up	swell up			1.1.5.2		0			
43102	1317	Qiang (Mawo)	ɕi	ɕi	die	die			1.1.6		0			27
43103	1317	Qiang (Mawo)	gzi	gzi	fly	fly	v	v	2.2.6		0			2588
43104	1317	Qiang (Mawo)	ʁdʐi	ʁdʐi	bark	bark	v.	v.	2.1.11.1		0			
43105	1317	Qiang (Mawo)	si	si	caw, crow	caw, crow	v.	v.	2.2.4.1		0			
43106	1317	Qiang (Mawo)	kʰəʴ	kʰəʴ	lay (egg)	lay (egg)			6.17		0			
43107	1317	Qiang (Mawo)	zdi	zdi	sit on, hatch (egg)	sit on, hatch (egg)			6.1.1.4.1		0			3602
43108	1317	Qiang (Mawo)	tsʰaʴ◦wa	tsʰaʴ◦wa	fat (person)	fat (person)			1.6.4		0			42,s
43109	1317	Qiang (Mawo)	tsʰɤ	tsʰɤ	fatty (of meat)	fatty (of meat)			1.6.4		0			42
43110	1317	Qiang (Mawo)	ʁe	ʁe	lean (of meat)	lean (of meat)			1.1.1		0			49
43111	1317	Qiang (Mawo)	tsʰaʴ◦ʁe	tsʰaʴ◦ʁe	lean (of humans)	lean (of humans)			1.1.1		0			1807,49
43112	1317	Qiang (Mawo)	χə	χə	full, satiated	full, satiated			1.1.3.2		0			115
