rn	type	text
43359	I	<par>&lt;Chin <latinform>shentǐ</latinform>? (but compare with first syllables of other dialects of Tujia. s &lt; t? --jpe)</par>
43359	I	<par>GSR 597i. Add Chinese <reconstruction>*tʼliər/*tʼiei:</reconstruction>.</par>
43398	I	<par>see <emph>se</emph> etc. M2: 2104 or 164?</par>
43399	I	<par>M1/2: B from Ch. (2102, 1019?); note <latinform>li; </latinform>M2 = 779? M3 = 1381?</par>
43401	I	<par>1734? 1381? (M1: 1381??)</par>
43402	I	<par>BP pfx?-cf. earlier <latinform>aŋ</latinform>.  <latinform>ŋa</latinform>--as above?</par>
43405	I	<par>M1: 191? M2: 779?</par>
43412	I	<par>=urine+water</par>
43482	I	<par>“meat” + “lean” . s2 was tagged as 39</par>
43482	I	<par>2d syll. ‘LEAN’ ?</par>
43542	I	<par>Cf. Daofu, Tujia, Guiqing, etc.</par>
43543	I	<par>See 2.2.2.2. this section of borr’ wgs; b = 1802?</par>
43545	I	<par>251? (M1: 1381??)</par>
43546	I	<par>Possible loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
43548	I	<par>JAM: from Ch.</par>
43549	I	<par>M1/2: as above <latinform>tɕʰi</latinform></par>
43557	I	<par>=urine+water</par>
43559	I	<par>2nd morpheme= ‘water’ </par>
43590	I	<par>cf. Chinese <latinform>hán</latinform> ‘hold in the mouth’ .</par>
43619	I	<par>Was tagged 45/49.</par>
288613	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
288628	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
288666	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
288679	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
288679	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
288755	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
288873	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
288879	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
288880	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
288910	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
288930	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
289024	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
289030	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
289178	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
289441	I	<par>Loan from Chinese, cf. Chinese suì 歲 &apos;year (of age)&apos;.</par>
289487	T	<par>&lt; Chinese tu (zi)</par>
289553	I	<par>Loan from Chinese, cf. Chinese 紅薯 hóngshǔ &apos;sweet potato&apos;.</par>
289553	I	<par>Loan from Chinese, cf. Chinese 紅薯 hóngshǔ &apos;sweet potato&apos;.</par>
289554	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
289569	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
289607	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
289620	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
289694	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
289809	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
289815	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
289816	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
289837	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
289857	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
289966	I	<par>Loan from Chinese, cf. Chinese mó 磨 &apos;to grind, to sharpen&apos;.</par>
290094	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
