rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
326754	1792	Nishing	a-lam	a-lam	3rd sg. acc. (distal)	3rd sg. acc. (distal)			10.4.3.2		0			
326755	1792	Nishing	a-sam	a-sam	3rd sg. acc. (near, same level)	3rd sg. acc. (near, same level)			7.1.5.4		0			
326756	1792	Nishing	a◦bang	a◦bang	brother (elder)	brother (elder)			1.5.3.2		0			p,6277
326757	1792	Nishing	abiu	abiu	like	like			8.3.1.1.1		0			
326758	1792	Nishing	a◦bu	a◦bu	father	father			4.7.1		0			p,6261
326759	1792	Nishing	ace kenyia	ace kenyia	a little	a little			9.7.2		0			
326760	1792	Nishing	a◦ci	a◦ci	ache	ache			1.1.5.1		0			p,1847
326761	1792	Nishing	a◦cing	acing	rice	rice			3.1.4		0			p,6245?
326762	1792	Nishing	a◦ci~a◦si	a◦ci~a◦si	disease / ache	disease /  ache			1.1.5.1		0	jbl3		p,1847,p,1847
326763	1792	Nishing	a◦ci~i◦ci	a◦ci~i◦ci	pain (body)	pain (body)			1.1.5.1		0			p,1847,p,1847
326764	1792	Nishing	adang	adang	difficult	difficult			9.6.2		0			
326765	1792	Nishing	adek	adek	hot	hot					0			
326766	1792	Nishing	adek-aku	adek-aku	trouble	trouble					0			
326767	1792	Nishing	a◦do~a◦du	a◦do~a◦du	far	far			9.2.4		0			p,6290,p,6290
326768	1792	Nishing	a◦gam	agam	mouth	mouth			1.3.1		0			p,6324
326769	1792	Nishing	ageg~ageyg	ageg~ageyg	heavy	heavy			9.6.2		0			
326770	1792	Nishing	a◦gu~u◦gu	a◦gu~u◦gu	hot	hot					0			p,6335,p,6335
326771	1792	Nishing	ahu	ahu	oil	oil			1.6.4.1		0			
326772	1792	Nishing	ai-doni	ai-doni	sky	sky			3.2.2		0			
326773	1792	Nishing	aing	aing	quickly	quickly			9.1.1		0			
326774	1792	Nishing	aking-cang-nyiang	aking-cang-nyiang	only	only			7.1.6.1		0			
326775	1792	Nishing	a◦kin~a◦king	a◦kin~a◦king	one	one			9.9		0			p,6383,p,6383
