rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
45852	1444	Tagin	toŋ◦re	toŋ◦re	front	front			1.4.4		0			
45853	1444	Tagin	prɤ	prɤ	front	front			1.4.4		0			m
45854	1444	Tagin	roŋ◦boŋ	roŋ◦boŋ	horn (of animal)	horn (of animal)			1.2.2		0			814,m
45855	1444	Tagin	nakop	nakop	hoof	hoof			1.5.4		0			
45856	1444	Tagin	nay◦buŋ	nay◦buŋ	tail	tail			1.4.10.1		0			1288,3331
45857	1444	Tagin	lɤ◦pa	lɤpa	leg	leg			1.5.7		0		D1	350,m
45858	1444	Tagin	ibuŋ	ibuŋ	beak / bill	beak / bill			1.3.1.2		0			476
45859	1444	Tagin	a◦mi	a◦mi	fur	fur			1.6.1		0			p,m
45860	1444	Tagin	lap	lap	feather	feather			1.6.1.1		0			757
45861	1444	Tagin	lap	lap	wing	wing			1.5.1.3		0			757
45862	1444	Tagin	seiː	seiː	dung	dung			1.8.5		0			
45863	1444	Tagin	a◦din	a◦din	meat	meat			1.1.1.1		0			p,6299
45864	1444	Tagin	a◦din din◦li	a◦din din◦li	raw meat	raw meat			7.1.8.3		0			p,6299,6299,6423
45865	1444	Tagin	a◦din li◦ne	a◦din li◦ne	flesh	flesh			1.1.1.1		0			p,6299,m,m
45866	1444	Tagin	pɯ◦pɯ	pɯ◦pɯ	egg	egg					0			m,1654
45867	1444	Tagin	doŋ◦ku	doŋ◦ku	skull / upper head	skull / upper head			1.2.1.1		0			1425,m
45868	1444	Tagin	donu	donu	hair	hair			1.2.3		0			
45869	1444	Tagin	tok◦tum	tok◦tum	forehead	forehead			1.2.5.1		0			359,m
45870	1444	Tagin	nyok◦mu	nyok◦mu	face	face			1.2.5		0			682,5662
45871	1444	Tagin	gam	gam	mouth	mouth			1.3.1		0			6324
45872	1444	Tagin	poknyi	poknyi	brain	brain			1.2.4		0			252
45873	1444	Tagin	nyik	nyik	eye	eye			1.2.6		0			682
45874	1444	Tagin	nyik siŋ nyik◦mɯ	nyik siŋ nyik◦mɯ	eyebrow	eyebrow			1.2.6.6		0			682,370,682,363
45875	1444	Tagin	nyaruŋ	nyaruŋ	ear	ear			1.2.7		0			6487
