rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
46878	1063	Mikir [Karbi]	ar◦pûm / ar◦jôn	ar◦pûm / ar◦jôn	body	body			1.1.1	9	0			p,3,p,m
46879	1063	Mikir [Karbi]	bàng	bàng	body	body			1.1.1	149	0			7
46880	1063	Mikir [Karbi]	rèp	rèp|	side (right)	side (right)			1.4.5	193	0			554
46881	1063	Mikir [Karbi]	rèp	rèp|	side (left)	side (left)			1.4.5	193	0			554
46882	1063	Mikir [Karbi]	nīng|	nīng|	bosom	bosom			1.4.4.2	113a	0			251
46883	1063	Mikir [Karbi]	ing◦hây	ing◦hây	groin / loins	groin / loins			1.4.9	32	0			p,m
46884	1063	Mikir [Karbi]	ar◦dàk	ar◦dàk	groin / loins	groin / loins			1.4.9	5	0			m,3384
46885	1063	Mikir [Karbi]	wám	wám|	groin / loins	groin / loins			1.4.9	215	0			137
46886	1063	Mikir [Karbi]	òk	òk	flesh / meat	flesh / meat			1.1.1.1	33	0			35
46887	1063	Mikir [Karbi]	mék| chī-	mék| chī-	die / be dead	die / be dead			1.1.6	167	0			m,m
46888	1063	Mikir [Karbi]	che◦thè che-wūng-	che◦thè che-wūng-	die / be dead	die / be dead			1.1.6	61	0			m,m,m,m
46890	1063	Mikir [Karbi]	thì-táng-ló	thì-táng-ló	die / be dead	die / be dead			1.1.6	83	0			27,30,s
46891	1063	Mikir [Karbi]	thì-	thì-	die / be dead	die / be dead			1.1.6	99	0	jbl5	HIDE	DUPE IN SOURCE
46892	1063	Mikir [Karbi]	rèng-	rèng-	die / be dead	die / be dead			1.1.6	99	0			12?
46893	1063	Mikir [Karbi]	thì-lòt-	thì-lòt-	die / be dead	die / be dead			1.1.6	99	0			27,s
46894	1063	Mikir [Karbi]	dàm-	dàm-	die / be dead	die / be dead			1.1.6	103	0		D1	m
46895	1063	Mikir [Karbi]	jú-	jú-	die / be dead	die / be dead			1.1.6	103	0			m
46897	1063	Mikir [Karbi]	wàng-	wàng-	die / be dead	die / be dead			1.1.6	103	0			m
46898	1063	Mikir [Karbi]	ar◦wák	ar◦wák	carcass / dead animal	carcass / dead animal			1.1.6.1	12	0			p,12
46899	1063	Mikir [Karbi]	ì-	ì-	sleep / be asleep	sleep /  be asleep			1.1.4.1	16	0	jbl3		127
46900	1063	Mikir [Karbi]	ì-lòt-	ì-lòt-	sleep / be asleep	sleep /  be asleep			1.1.4.1	16	0	jbl3		127,m
46901	1063	Mikir [Karbi]	mék jáng-	mék jáng-	sleep / be asleep	sleep /  be asleep			1.1.4.1	75	0	jbl3		682,m
46902	1063	Mikir [Karbi]	mék ke-jáng-	mék ke-jáng-	sleep / be asleep	sleep /  be asleep			1.1.4.1	167	0	jbl3		682,m,m
46903	1063	Mikir [Karbi]	mék rèng-jèng-	mék rèng-jèng-	sleep / be asleep	sleep /  be asleep			1.1.4.1	168	0	jbl3		682,m,m
46904	1063	Mikir [Karbi]	prāng-	prāng-	awake / be awake	awake / be awake			1.1.4	137	0			144
46905	1063	Mikir [Karbi]	mék prāng-dàk-	mék prāng-dàk-	awake / be awake	awake / be awake			1.1.4	167	0			682,144,m
46906	1063	Mikir [Karbi]	he◦mān	he◦mān	dream	dream	v.	v.	1.1.4.2	224	0			p,126
46907	1063	Mikir [Karbi]	māng he◦màn-	māng he◦màn-	dream	dream	v.	v.	1.1.4.2	161	0			126,p,126
46908	1063	Mikir [Karbi]	phú	phú	head	head			1.2.1	145	0		D1	385
46910	1063	Mikir [Karbi]	khilî-sô	khilî-sô	head	head			1.2.1	55	0			1221,m
46911	1063	Mikir [Karbi]	phú-lóng-díp	phú-lóng-díp	top of head / crown / pate	top of head / crown / pate			1.2.1.2	145	0			385,m,m
46912	1063	Mikir [Karbi]	phú-lóng-pláng	phú-lóng-pláng	top of head / crown / pate	top of head / crown / pate			1.2.1.2	145	0			385,m,392
46913	1063	Mikir [Karbi]	phú-díp	phú-díp	fontanel	fontanel			1.2.1.3	145	0			385,1196
46914	1063	Mikir [Karbi]	phú-bòng-kòk	phú-bòng-kòk	skull	skull			1.2.1.1	145	0			385,388,1224
46915	1063	Mikir [Karbi]	tà|r-lòk	tà|r-lòk	brain (= 9.1 )	brain (=  9.1  )			1.2.4	84	0	jbl3		p,247
46916	1063	Mikir [Karbi]	phú-táp	phú-táp	hair of head	hair of head			1.2.3	145	0			385,m
46917	1063	Mikir [Karbi]	phú-táp	phú-táp	scalp	scalp			1.2.1.5	145	0			385,m
46918	1063	Mikir [Karbi]	phú-lóng-pláng	phú-lóng-pláng	scalp	scalp			1.2.1.5	145	0			385,m,392
46919	1063	Mikir [Karbi]	wō a-mìr	wō a-mìr	comb (of rooster)	comb (of rooster)			1.2.2.1	217	0			m,m,m
46920	1063	Mikir [Karbi]	nū	nū	horn (of animal)	horn (of animal)			1.2.2	117	0			2009
46921	1063	Mikir [Karbi]	nū	nū	antler (of deer)	antler (of deer)			1.2.2	117	0			2009
46922	1063	Mikir [Karbi]	ma◦háng	ma◦háng	face	face			1.2.5	165	0			p,2027
46923	1063	Mikir [Karbi]	te◦hàng	te◦hàng	forehead / brow	forehead / brow			1.2.5.1	87	0			p,2027
