rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
62400	1918	Newar	gha:	gha:	abscess / ulcer / open wound	abscess  /  ulcer  /  open wound			1.8.6.2	12.6	0	jbl3		
441390	1918	Newar	gwa	gwa	Clf. for round objects	Clf. for round objects			10.1.3		0			305
441391	1918	Newar	cup-ā na-ye	cup-ā na-ye	"kissed (""eat a kiss"")"	"be kissed (""eat a kiss"")"	be v.		1.5.3.2		0	dwb13		5541,m,m,m
441392	1919	Newar (Kathmandu)	du-du-pwa-(la)	du-du-pwa-(la)	breast	breast			1.4.4.3		0			3466,3466,m,m
441393	1919	Newar (Kathmandu)	pi-pi	pi-pi	nipple	nipple					0			276,276
441394	1919	Newar (Kathmandu)	pi-pi-li	pi-pi-li	nipple (archaic)	nipple (archaic)					0			276,276,m
441395	1919	Newar (Kathmandu)	pi-si	pi-si	breast	breast			1.4.4.3		0			276,1019
441415	1918	Newar	mi-khā	mi-khā	eyeball	eyeball			1.2.6.1		0			682,1110
441444	1919	Newar (Kathmandu)	twan-e	twan-e	drink	drink					0			502
441472	1919	Newar (Kathmandu)	bwalā sā-ye	bwalā sā-ye	take revenge	take revenge			6.21		0			
441473	1919	Newar (Kathmandu)	buike (bu-ye-ke)	buike (bu-ye-ke)	give birth	give birth			1.1.2		0			
441474	1919	Newar (Kathmandu)	sa:-ta-ye	sa:-ta-ye	make a sound	make a sound			6.14		0			
441475	1919	Newar (Kathmandu)	nā	nā	iron (Khu dialect)	iron (Khu dialect)			3.2.4		0			
441476	1919	Newar (Kathmandu)	lomane	lomane	forget	forget			8.3.1.16.1		0			
441477	1919	Newar (Kathmandu)	naṃ	naṃ	sky	sky			3.2.2		0			2484
441478	1919	Newar (Kathmandu)	nhi	nhi	day	day			1.5.3.2		0			
441479	1919	Newar (Kathmandu)	ka◦thu	kathu	throat	throat			1.3.5		0			495,822
441480	1919	Newar (Kathmandu)	phen-e	phen-e	untie	untie			6.13.1		0			
533453	1919	Newar (Kathmandu)	lā		yes/no question particle					HPTB:488	0			5498
533454	1919	Newar (Kathmandu)	le		content question particle					HPTB:488	0			5498
