rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
616969	2220	Lotha Naga	a		me					72	0			2530
616970	2220	Lotha Naga	ami		right					105	0			
616971	2220	Lotha Naga	amimo		right					105	0			
616972	2220	Lotha Naga	aphowoe		outside					83	0			
616973	2220	Lotha Naga	aza		order					82	0			
616974	2220	Lotha Naga	azüm		mouse					76	0			
616975	2220	Lotha Naga	azümro		rat					98	0			
616976	2220	Lotha Naga	bayang		spider					115	0			
616977	2220	Lotha Naga	belüng		bed					9	0			
616978	2220	Lotha Naga	benpuk		reed					100	0			
616979	2220	Lotha Naga	bensiyia		bring					12	0			
616980	2220	Lotha Naga	boklho		abdomen					1	0			
616981	2220	Lotha Naga	büma		a					1	0			
616982	2220	Lotha Naga	bungtheta		plunge					89	0			
616983	2220	Lotha Naga	chena		thresh					125	0			
616984	2220	Lotha Naga	chena		grind					52	0			
616985	2220	Lotha Naga	chenchia		throw					125	0			
616986	2220	Lotha Naga	chenkata		hit					55	0			
616987	2220	Lotha Naga	chenkata		shoot					111	0			
616988	2220	Lotha Naga	chenroa		pound					91	0			
616989	2220	Lotha Naga	chia		thick					124	0			
616990	2220	Lotha Naga	chita		divide					34	0			
616991	2220	Lotha Naga	chiyia		emerge					37	0			
616992	2220	Lotha Naga	chomha		moon					75	0			
616993	2220	Lotha Naga	chona		ask					6	0			
616994	2220	Lotha Naga	chonga		ascend					6	0			
616995	2220	Lotha Naga	chongoa		climb					18	0			
616996	2220	Lotha Naga	chonhia		open					81	0			
616997	2220	Lotha Naga	choro		moon					75	0			
616998	2220	Lotha Naga	chü◦a		die					32	0			27,s
616999	2220	Lotha Naga	chükcha		broom					12	0			
617000	2220	Lotha Naga	chüm◦a		plant					89	0			7696,s
617001	2220	Lotha Naga	chümkata		affix					3	0			
617002	2220	Lotha Naga	chümpo		dormitory					34	0			
617003	2220	Lotha Naga	dana		cut					27	0			
617004	2220	Lotha Naga	dena		sing					112	0			
617005	2220	Lotha Naga	e◦chen◦a		breathe					12	0			p,7730,s
617006	2220	Lotha Naga	e◦chen◦ko		breath					12	0			p,7730,s
617007	2220	Lotha Naga	echiv		thick					124	0			
617008	2220	Lotha Naga	e◦cho		wing					137	0			p,735
617009	2220	Lotha Naga	echoa		rub					106	0			
617010	2220	Lotha Naga	echüka		flog					46	0			
617011	2220	Lotha Naga	echüli		hell					58	0			
617012	2220	Lotha Naga	echümana		after					3	0			
