rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
47281	216	Ahi	gɯ²¹ mo³³	gɯ²¹ mo³³	body	body			1.1.1	1.1	0			2,17
47282	216	Ahi	ɑ³³ ʐu³³ pʻi⁵⁵	ɑ³³ ʐu³³ pʻi⁵⁵	side (right)	side (right)			1.4.5	1.2	0			p,2786
47283	216	Ahi	ɑ³³ vɑ⁵⁵ pʻi	ɑ³³ vɑ⁵⁵ pʻi	side (left)	side (left)			1.4.5	1.3	0			p,2154
47284	216	Ahi	no³³ ko³³⁀ɛ³³	no³³ ko³³⁀ɛ³³	back	back			1.4.8	1.4	0			203,m,s
47285	216	Ahi	dʑi²¹ ɣɯ³³⁀ɛ³³	dʑi²¹ ɣɯ³³⁀ɛ³³	front	front			1.4.4	1.5	0			1212,m
47286	216	Ahi	i³³ to²²	i³³ to²²	torso / trunk	torso  /  trunk			1.5.3.2	1.6	0	jbl3		m,14
47287	216	Ahi	tʻu²¹ pʻi⁵⁵ dʐi²¹	tʻu²¹ pʻi⁵⁵ dʐi²¹	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
47289	216	Ahi	ni̱³³ te̱³³ gu̱²¹	ni̱³³ te̱³³ gu̱²¹	bosom	bosom			1.4.4.2	1.9	0			297,m,560
47291	216	Ahi	pɑ³³ xo²¹	pɑ³³ xo²¹	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		m,34
47292	216	Ahi	i³³ so³³	i³³ so³³	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		p,80
47293	216	Ahi	i³³ ʂi²²	i³³ ʂi²²	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		p,27
47294	216	Ahi	ʂi²² mu³³	ʂi²² mu³³	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		27,17
47295	216	Ahi	i³³ ʂi³³ mu³³	i³³ ʂi³³ mu³³	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		p,27,17
47296	216	Ahi	kɯ⁵⁵ po⁵⁵	kɯ⁵⁵ po⁵⁵	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		2128,s
47297	216	Ahi	nɯ²¹	nɯ²¹	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		143
47298	216	Ahi	ʑe̱²¹ me̱³³	ʑe̱²¹ me̱³³	dream	dream	v.	v.	1.1.4.2	1.18	0			127,126
47299	216	Ahi	o⁵⁵ ko̱³³	o⁵⁵ ko̱³³	head	head			1.2.1	2.1	0			385,387
47300	216	Ahi	o⁵⁵ di³³	o⁵⁵ di³³	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		385,m
47302	216	Ahi	o⁵⁵ ko̱³³ bu⁵⁵	o⁵⁵ ko̱³³ bu⁵⁵	skull	skull			1.2.1.1	2.4	0			385,387,1275
47303	216	Ahi	o⁵⁵ nɯ̱³³	o⁵⁵ nɯ̱³³	brain	brain			1.2.4	2.5	0		D1	385,243
47304	216	Ahi	no³³ dʐi²²	no³³ dʐi²²	sinus	sinus			1.2.8.1	2.6	0			
47305	216	Ahi	o⁵⁵ tsʻi²²	o⁵⁵ tsʻi²²	hair of head	hair of head			1.2.3	2.7	0		D2	385,1226
47306	216	Ahi	o⁵⁵ tɕi²²	o⁵⁵ tɕi²²	scalp	scalp			1.2.1.5	2.8	0			385,596
47307	216	Ahi	ʑe̱³³ o⁵⁵ kɯ²²	ʑe̱³³ o⁵⁵ kɯ²²	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			1606,385,m
47308	216	Ahi	o⁵⁵ tʂʻi²²	o⁵⁵ tʂʻi²²	horn (of animal)	horn (of animal)			1.2.2	2.10	0			385,819
47309	216	Ahi	o⁵⁵ tɕe̱⁵⁵	o⁵⁵ tɕe̱⁵⁵	antler (of deer)	antler (of deer)			1.2.2	2.11	0			p,819
47310	216	Ahi	tʻu²¹ ne̱³³	tʻu²¹ ne̱³³	face	face			1.2.5	3.1	0			1186,681
47311	216	Ahi	ni⁵⁵ pʻu²²	ni⁵⁵ pʻu²²	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		356,2024
