rn	type	text
47837	I	<par>Hypothesized tag.</par>
48087	T	<par>We are assuming a Tamangic development of <latinform>*kr</latinform> &gt; retroflex stop.</par>
48125	I	<par>see <latinform>gruŋ</latinform> above</par>
48126	I	<par>see <latinform>gruŋ</latinform> above</par>
48127	I	<par>see <emph>kemkem</emph> above</par>
48128	I	<par>see <emph>kemkem</emph> above</par>
48291	I	<par>Note that the initial looks like an affricate in this reconstructed form, which would then go with etymon 704 <reconstruction>*zak ⪤ *džak</reconstruction> ARM/HAND. But all the daughter dialects have an initial j=/y/, which suggests etymon 696 *yak ARM/HAND. This needs to be rectified.</par>
48291	I	<par>FROM M. Mazaudon: the initial is not an affricate, it is IPA [j], but the high series of tones in the reflexes indicate a proto voiceless so some prefix.</par>
48320	T	<par>Chantyal (Tamangic) <latinform>chala</latinform> is a borrowng from Indo-Aryan. See also <latinform>kəpal-ye chala</latinform>, lit. &quot;head-skin&quot;.</par>
48326	I	<par>cf. <latinform>kuruŋ</latinform>, all <latinform>kruŋ</latinform> below, also kum below? any relsp. to 2119??</par>
