rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
47785	1529	Thakali (Tukche)	ᴴpho	ᴴpho	deer	deer			2.2.2	1	0			8000
47786	1523	Thakali (Marpha)	¹pho	¹pho	deer	deer			2.2.2	1	0			8000
47787	1525	Thakali (Syang)	ᴴpho	ᴴpho	deer	deer			2.2.2	1	0			8000
47788	603	Gurung (Ghachok)	¹pho	¹pho	deer	deer			2.2.2	1	0			8000
47789	1001	Manang (Ngawal)	¹phwo	¹phwo	deer	deer			2.2.2	1	0			8000
47790	1454	Tamang (Risiangku)	¹tiŋ	¹tiŋ	heart	heart			1.7.1	2	0			1387
47791	1461	Tamang (Sahu)	¹tiŋ	¹tiŋ	heart	heart			1.7.1	2	0			1387
47792	1529	Thakali (Tukche)	ᴴtin	ᴴtin	heart	heart			1.7.1	2	0			1387
47793	1523	Thakali (Marpha)	ᴴtin	ᴴtin	heart	heart			1.7.1	2	0			1387
47794	1525	Thakali (Syang)	ᴴtin	ᴴtin	heart	heart			1.7.1	2	0			1387
47795	603	Gurung (Ghachok)	¹tĩ	¹tĩ	heart	heart			1.7.1	2	0			1387
47796	1001	Manang (Ngawal)	¹tĩ	¹tĩ	heart	heart			1.7.1	2	0			1387
47797	1461	Tamang (Sahu)	¹chi	¹chi	fodder	fodder			3.1.6.4	3	0			8001
47798	1466	Tamang (Taglung)	¹tɕhe	¹tɕhe	fodder	fodder			3.1.6.4	3	0			8001
47799	1529	Thakali (Tukche)	ᴴchi	ᴴchi	fodder	fodder			3.1.6.4	3	0			8001
47800	1523	Thakali (Marpha)	ᴴtʃhi	ᴴtʃhi	fodder	fodder			3.1.6.4	3	0			8001
47801	1525	Thakali (Syang)	¹tʃhi	¹tʃhi	fodder	fodder			3.1.6.4	3	0			8001
47802	603	Gurung (Ghachok)	¹chi	¹chi	fodder	fodder			3.1.6.4	3	0			8001
47803	1001	Manang (Ngawal)	¹tshi	¹tshi	fodder	fodder			3.1.6.4	3	0			8001
47804	1454	Tamang (Risiangku)	¹tsaŋ	¹tsaŋ	daughter-in-law	daughter-in-law			4.7.4	4	0		D0	8002
47805	1461	Tamang (Sahu)	¹caŋ	¹caŋ	daughter-in-law	daughter-in-law			4.7.4	4	0			8002
47806	1466	Tamang (Taglung)	¹tsaŋ	¹tsaŋ	daughter-in-law	daughter-in-law			4.7.4	4	0		D0	8002
47807	1529	Thakali (Tukche)	ᴴcaŋ	ᴴcaŋ	daughter-in-law	daughter-in-law			4.7.4	4	0			8002
47808	1523	Thakali (Marpha)	¹tsaŋ	¹tsaŋ	daughter-in-law	daughter-in-law			4.7.4	4	0		D0	8002
47809	1525	Thakali (Syang)	ᴴtsaŋ	ᴴtsaŋ	daughter-in-law	daughter-in-law			4.7.4	4	0			8002
47810	603	Gurung (Ghachok)	¹cõ	¹cõ	daughter-in-law	daughter-in-law			4.7.4	4	0			8002
47811	1001	Manang (Ngawal)	¹tsaŋ	¹tsaŋ	daughter-in-law	daughter-in-law			4.7.4	4	0		D0	8002
47812	1454	Tamang (Risiangku)	¹kan	¹kan	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47813	1461	Tamang (Sahu)	¹ken	¹ken	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47814	1529	Thakali (Tukche)	ᴴkʌn	ᴴkʌn	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47815	1523	Thakali (Marpha)	ᴴkʌn	ᴴkʌn	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47816	1525	Thakali (Syang)	ᴴkʌn	ᴴkʌn	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47817	603	Gurung (Ghachok)	¹kaẽ	¹kaẽ	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47818	1001	Manang (Ngawal)	¹kjɛ̃	¹kjɛ̃	food (cooked rice)	food (cooked rice)			5.5	5	0			8003
47819	1454	Tamang (Risiangku)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47820	1461	Tamang (Sahu)	¹kut◦to	¹kut◦to	chest	chest			1.4.4.3	6	0			560,m
47821	1466	Tamang (Taglung)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47822	1529	Thakali (Tukche)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47823	1523	Thakali (Marpha)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47824	1525	Thakali (Syang)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47825	603	Gurung (Ghachok)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47826	1001	Manang (Ngawal)	¹ku	¹ku	chest	chest			1.4.4.3	6	0			560
47827	1454	Tamang (Risiangku)	¹kli	¹kli	feces	feces			1.8.5	7	0			572
47828	1461	Tamang (Sahu)	¹kli	¹kli	feces	feces			1.8.5	7	0			572
47829	1466	Tamang (Taglung)	¹khli	¹khli	feces	feces			1.8.5	7	0			572
47830	1529	Thakali (Tukche)	ᴴki	ᴴki	feces	feces			1.8.5	7	0			572
47831	1523	Thakali (Marpha)	¹hli	¹hli	feces	feces			1.8.5	7	0			572
47832	1525	Thakali (Syang)	¹li	¹li	feces	feces			1.8.5	7	0			572
47833	603	Gurung (Ghachok)	¹ɬi	¹ɬi	feces	feces			1.8.5	7	0			572
47834	1454	Tamang (Risiangku)	¹kra	¹kra	hair / head	hair  /  head			1.2.3	8	0	jbl3		367
47835	1461	Tamang (Sahu)	¹kra	¹kra	hair / head	hair  /  head			1.2.3	8	0	jbl3		367
47836	1466	Tamang (Taglung)	¹hwa	¹hwa	hair / head	hair  /  head			1.2.3	8	0	jbl3		367
47837	1529	Thakali (Tukche)	ᴴʈʌ	ᴴʈʌ	hair / head	hair  /  head			1.2.3	8	0	jbl3		367
