rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
170235	1597	Tiddim	alʔ³	alʔ³	have an unpleasant taste (e.g.	have an unpleasant taste (e.g.			8.2		0			
170236	1597	Tiddim	am³/ap³	am³/ap³	perplexed, feel giddy	perplexed, feel giddy			8.3		0			
170237	1597	Tiddim	an²/an³	an²/an³	half-ripe	half-ripe			9.8		0			
170238	1597	Tiddim	ap³/aʔ³	ap³/aʔ³	mouldy	mouldy			3.1.7		0			
170239	1597	Tiddim	aːm¹	aːm¹	jealous	jealous					0			
170240	1597	Tiddim	aːm³/ap³	aːm³/ap³	glow (of embers)	glow (of embers)			3.2.12.1		0			
170241	1597	Tiddim	aːp³/ap³	aːp³/ap³	entrust...	entrust...			8.3		0			
170242	1597	Tiddim	aːt¹	aːt¹	cut (tr.)	cut (tr.)			6.9.3		0			4474
170243	1597	Tiddim	aːt³	aːt³	cut portion for someone...	cut portion for someone...			6.9.3		0			4474
170244	1597	Tiddim	baʔ³	baʔ³	overtired	overtired			9.6.2.2		0			
170245	1597	Tiddim	baiʔ¹	baiʔ¹	easy; be early	easy; be early			9.6.1.1		0			
170246	1597	Tiddim	bak³/baʔ³	bak³/baʔ³	bite	bite			1.3.4.4		0			
170247	1597	Tiddim	bal¹	bal¹	tear off (tr.)	tear off (tr.)			1.8.8.1		0			
170248	1597	Tiddim	baŋ³/bat³	baŋ³/bat³	like something...	like something...			8.3.1.1.1		0			4024,4024
170249	1597	Tiddim	bat³	bat³	wear in the ear	wear in the ear			6.2.2.1		0			4029
170250	1597	Tiddim	baː²/bat³	baː²/bat³	owe money	owe money			6.22		0			4039
170251	1597	Tiddim	baːi²	baːi²	lame	lame			1.5.12		0			6133
170252	1597	Tiddim	baːk²	baːk²	eat food with hands	eat food with hands			1.5.3.2		0			4027
170253	1597	Tiddim	baːk³/baʔ³	baːk³/baʔ³	feed	feed			1.3.5.8		0			4027,4027
170254	1597	Tiddim	baːl³/balʔ³	baːl³/balʔ³	covered with wet dirt	covered with wet dirt			5.8		0			575,575
170255	1597	Tiddim	baːn³/bat³	baːn³/bat³	reach for	reach for			6.21		0			
170256	1597	Tiddim	baːŋ²/baːn²	baːŋ²/baːn²	visit some other place...	visit some other place...			6.2.2.2		0			
170257	1597	Tiddim	beʔ³	beʔ³	pounce upon...	pounce upon...			6.7.10		0			
170258	1597	Tiddim	bei²	bei²	exhausted; be over	exhausted; be over			6.2.2.1		0			
170259	1597	Tiddim	belʔ³	belʔ³	join with glue (tr.)	join with glue (tr.)			6.13.5		0			4002
170260	1597	Tiddim	beŋ¹/ben³ = bet³	beŋ¹/ben³ = bet³	hunt	hunt			6.2.2.1		0			
170261	1597	Tiddim	beːl³/belʔ³	beːl³/belʔ³	take refuge	take refuge			6.21		0			
170262	1597	Tiddim	beːŋ³/bet³	beːŋ³/bet³	slap	slap			6.8		0			
170263	1597	Tiddim	bia³/biak³	bia³/biak³	worship	worship			5.8.1.3		0			1753,1753
170264	1597	Tiddim	bilʔ³	bilʔ³	seal a container tightly	seal a container tightly			6.15		0			
170265	1597	Tiddim	biŋ¹/bin³	biŋ¹/bin³	have an obstruction ...	have an obstruction ...			8.2		0			
170266	1597	Tiddim	bit³/biʔ³	bit³/biʔ³	completely sealed...	completely sealed...			9.5		0			
170267	1597	Tiddim	biː³/bik³	biː³/bik³	kindle by touching with torch	kindle by touching with torch			3.2.12.1		0			
170268	1597	Tiddim	bok³/boʔ³	bok³/boʔ³	crawl, prostrate	crawl, prostrate			6.7.9		0			
170269	1597	Tiddim	bot³/boʔ³	bot³/boʔ³	pull out weeds or hair	pull out weeds or hair			6.2.2.3.1		0			
170270	1597	Tiddim	boːk¹	boːk¹	cluster, be in a	cluster, be in a			10.1.1		0			
170271	1597	Tiddim	boːk²	boːk²	swollen	swollen			1.1.5.2		0			
170272	1597	Tiddim	boːk³/boʔ³	boːk³/boʔ³	gather around (of insects)	gather around (of insects)			6.13.5		0			
170273	1597	Tiddim	boːl²	boːl²	make	make			6.14		0			
170274	1597	Tiddim	boːm³/bop³	boːm³/bop³	gather around (of insects)	gather around (of insects)			6.13.5		0			
170275	1597	Tiddim	bua³/buak³	bua³/buak³	spill [of non-countables]	spill [of non-countables]			6.6		0			
170276	1597	Tiddim	buai¹	buai¹	confused	confused			8.3.1.11.3		0			
