rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
437185	406	Burmese (Written)	ak	ak	crack open ( less than WB a )	to crack open ( less than WB a )	v.	v.	3.2.7		0	dwb18		474
437186	406	Burmese (Written)	ə-ak	ə-ak	opening, gap, fissure	opening, gap, fissure			3.2.7		0			
437187	406	Burmese (Written)	kak	kak	large wicker basket	large wicker basket			5.1		0			5819
437188	406	Burmese (Written)	kyak	kyak	cooked; healed ( sore ) ; be acquainted, recognize	to be cooked; healed ( sore ) ; be acquainted, recognize	be v.	be v.	1.1.5.1		0	dwb7		
437189	406	Burmese (Written)	kyak	kyak	continue without cessation, as unpleasant noise	continue without cessation, as unpleasant noise			9.5		0			
437190	406	Burmese (Written)	krak	krak	fowl	fowl			2.1.10		0			1606
437191	406	Burmese (Written)	krak	krak	stretch out, extend and make fast; cover ( a drum )	stretch out, extend and make fast; cover ( a drum )			9.5		0			
437192	406	Burmese (Written)	krak	krak	honor, glory, prosperity	honor, glory, prosperity			8.3.2.5.2		0			
437193	406	Burmese (Written)	krak-swan	krak-swan	onion	onion			3.1.5		0			1606,5494
437194	406	Burmese (Written)	krak-tu-	krak-tu-	parrot	parrot			2.2.4.1		0			
437195	406	Burmese (Written)	kyak-tu-	kyak-tu-	parrot	parrot			2.2.4.1		0			
437196	406	Burmese (Written)	khak	khak	hard, difficult; harsh	hard, difficult; harsh			9.6.2		0			173
437197	406	Burmese (Written)	khak	khak	cover a vessel with net-work of rattan, cord, etc.	cover a vessel with net-work of rattan, cord, etc.			10.1.1		0			
437198	406	Burmese (Written)	khak-maʼ	khak-maʼ	main branch of tree	main branch of tree			7.1.7.1		0			1278,m
437199	406	Burmese (Written)	ə-khak-maʼ	ə-khak-maʼ	main branch of tree	main branch of tree			7.1.7.1		0			p,1278,m
437200	406	Burmese (Written)	ə-khak	ə-khak	branch of tree	branch of tree			1.5.3.1		0			p,1278
437201	406	Burmese (Written)	khak-râŋ	khak-râŋ	fork ( of any kind )	a fork ( of any kind )	n.	n.	1.4.9.1		0	dwb5		1278,m
437202	406	Burmese (Written)	khyak	khyak	navel	navel			1.9.4		0			525
437203	406	Burmese (Written)	ə-khyak-maʼ	ə-khyak-maʼ	central point	central point			9.2.5		0			
437204	406	Burmese (Written)	khyak	khyak	cook, prepare by fire	cook, prepare by fire			5.5		0			2316
437205	406	Burmese (Written)	khyak-khyak	khyak-khyak	tickingly	tickingly					0			
437206	406	Burmese (Written)	khyak-khrâŋ	khyak-khrâŋ	instantly	instantly			9.1.4		0			
437207	406	Burmese (Written)	ə-khyak	ə-khyak	subject, matter; a mark; a stroke, blow; instantly	subject, matter; a mark; a stroke, blow; instantly			10.5.1		0			
437208	406	Burmese (Written)	khrak	khrak	scratch with nails ( cf. khrac )	scratch with nails ( cf. khrac )			1.6.5.5		0			6131
437209	406	Burmese (Written)	gyak-ka-|liʼ	gyak-ka-|liʼ	armpit, tickle	armpit, tickle			1.5.1.2.3		0			702,1289
437210	406	Burmese (Written)	hŋak	hŋak	bird	a bird	n.	n.	2.2.4		0	dwb5		3442
437211	406	Burmese (Written)	hŋak	hŋak	plantain, banana	plantain, banana			3.1.5		0			2526
437212	406	Burmese (Written)	cak	cak	wheel ( < Pali )	wheel ( < Pali )			5.1		0			
437213	406	Burmese (Written)	cak	cak	fall in drops	fall in drops			6.1.1.4.2		0			
437214	406	Burmese (Written)	ə-cak	ə-cak	drop	a drop	n.	n.	6.16		0	dwb5		p,557
437215	406	Burmese (Written)	cak	cak	transmit impetus; to propagate or be propagated	transmit impetus; to propagate or be propagated	v.	v.	6.2.2.2		0			5796
437216	406	Burmese (Written)	cak	cak	scratch off, by a sudden jerk of finger-nail	scratch off, by a sudden jerk of finger-nail			1.6.5.5		0			m
437217	406	Burmese (Written)	cak	cak	make equal in weight, counterpoise	make equal in weight, counterpoise			6.14		0			
437218	406	Burmese (Written)	cak	cak	sleep ( of divinity )	sleep ( of divinity )			1.1.4.1		0			m
437219	406	Burmese (Written)	chak	chak	sp. of large sheep	sp. of large sheep			9.7.1		0			
437220	406	Burmese (Written)	chak	chak	descendant of the 7th generation	descendant of the 7th generation			1.5.3.2		0			
437221	406	Burmese (Written)	chak	chak	connect, join, unite	connect, join, unite			6.13.5		0			200
437222	406	Burmese (Written)	ə-chak	ə-chak	junction, joint; a degree in lineage	junction, joint; a degree in lineage			9.10.1		0			p,418
437223	406	Burmese (Written)	chak-chak	chak-chak	certainly	certainly			7.2		0			
437224	406	Burmese (Written)	jak	jak	nape of neck	nape of neck			1.4.2.1		0			393
437225	406	Burmese (Written)	jak	jak	bit of a bridle	bit of a bridle			5.14		0			6365
437226	406	Burmese (Written)	ñak	ñak	made fine, reduced to powder	to be made fine, reduced to powder	be v.	be v.	6.14		0	dwb7		
437227	406	Burmese (Written)	hñak	hñak	diminutive	diminutive			10.4.1.3		0			7165
437228	406	Burmese (Written)	tak	tak	oar, paddle ( K. 988 ) ( = BK-AD p. 285 )	oar, paddle ( K. 988 ) ( = BK-AD p. 285 )			5.1		0			
437229	406	Burmese (Written)	tak	tak	go up, ascend; advance, increase ( cf. tha' )	go up, ascend; advance, increase ( cf. tha' )			6.7.2		0			1722
437230	406	Burmese (Written)	ə-tak	ə-tak	shoot from stump; spur of cock	shoot from stump; spur of cock			10.1.1		0			p,2003
