rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
343187	1857	Sema [Sumi]	ayeghi-qha	ayeghi-qha	world / cosmos	world / cosmos			9.10.2	1.1	0			
343188	1857	Sema [Sumi]	alhoyea	alhoyea	nature	nature			3.2.1	1.2	0			
343189	1857	Sema [Sumi]	akuvü	akuvü	light	light			7.1.11.1	1.3	0			
343190	1857	Sema [Sumi]	yekükhü	yekükhü	shadow	shadow			3.2.10	1.4	0			
343191	1857	Sema [Sumi]	akicheqho	akicheqho	shade	shade			3.2.10	1.5	0			
343192	1857	Sema [Sumi]	aküzü	aküzü	dark	dark			9.4	1.6	0			
343193	1857	Sema [Sumi]	atsütsü	atsütsü	sky	sky			3.2.2	2.1	0			
343194	1857	Sema [Sumi]	kütsü◦nhe	kütsü◦nhe	sun	sun			3.2.10	2.2	0			m,85
343195	1857	Sema [Sumi]	khetsu◦nhe	khetsu◦nhe	sun	sun			3.2.10	2.2	0			m,85
343196	1857	Sema [Sumi]	tsükü◦nhe	tsükü◦nhe	sun	sun			3.2.10	2.2	0			m,85
343197	1857	Sema [Sumi]	khetsünhe kuvü	khetsünhe kuvü	sunlight / ray (of sun) / sunshine	sunlight / ray (of sun) / sunshine			3.2.10	2.21	0			
343198	1857	Sema [Sumi]	khetsünhe pukhu	khetsünhe pukhu	sunlight / ray (of sun) / sunshine	sunlight / ray (of sun) / sunshine			3.2.10	2.21	0			
343199	1857	Sema [Sumi]	khetsünhe ipeghi	khetsünhe ipeghi	sunrise	sunrise			3.2.10	2.22	0			
343200	1857	Sema [Sumi]	tsükutho	tsükutho	dawn	dawn			9.1.4	2.23	0			
343201	1857	Sema [Sumi]	tsukuvu	tsukuvu	dawn	dawn			9.1.4	2.23	0			
343202	1857	Sema [Sumi]	atsala	atsala	day	day			1.5.3.2	2.24	0			
343203	1857	Sema [Sumi]	khetsünhe ikulo	khetsünhe ikulo	sunset	sunset			3.2.10	2.25	0			
343204	1857	Sema [Sumi]	tsuküzü	tsuküzü	sunset	sunset			3.2.10	2.25	0			
343205	1857	Sema [Sumi]	züghüyi	züghüyi	dusk / twilight	dusk / twilight			9.1.4	2.26	0			
343206	1857	Sema [Sumi]	aküzü	aküzü	darkness	darkness			9.4	2.27	0			
