rn	type	text
290416	T	<par>This Balti word is the source of English <emph>polo</emph>!</par>
290564	T	<par>&lt; Indo-Aryan &lt; Skt <emph>chattrī-</emph></par>
290614	T	<par>&lt; Pers zaxm. When IA languages borrow from Persian/Arabic, j is often substituted for z, so the Balti word may come from an intermediate IA source. There appears to be a doublet with zʌɣʌm.</par>
290627	T	<par>&lt; Urdu mũ̄gphali</par>
290628	T	<par>&lt; Pers gul-e āftāb, lit. &apos;flower of the sun&apos;</par>
290634	T	<par>&lt; Urdu &lt; Portuguese</par>
290690	T	<par>&lt; Pers bihišt</par>
290709	T	<par>&lt; Iranian (via Indic?) Cf. Pashto qačara, Balochi xačar</par>
290716	T	<par>&lt; Arabic mirrīx</par>
290759	T	<par>&lt; Urdu candan &apos;sandalwood&apos;</par>
290763	T	<par>&lt; Urdu gandhak</par>
290858	T	<par>&lt; Urdu &lt; Persian anjīr</par>
290950	T	<par>&lt; Urdu &lt; Arabic bawāsīr pl. &apos;hemorrhoids&apos;</par>
290953	T	<par>&lt; Urdu kištī &lt; Pers kaštī</par>
290955	T	<par>&lt; Urdu dālcīnī ~ dārcīnī &apos;cinnamon&apos;</par>
291002	T	<par>&lt; Pers paiǧāmbar lit. &apos;message-bearer&apos;</par>
291033	T	<par>&lt; Urdu sanīcār &apos;day of Saturn&apos;?</par>
291056	T	<par>&lt; Urdu &lt; Persian āzādī?</par>
291057	T	<par>&lt; Indo-Aryan</par>
291067	T	<par>&lt; Pers pādishāh</par>
291068	T	<par>&lt; WT blama &lt; Skt brāhmaṇa-</par>
291079	T	<par>&lt; āditya &apos;Sun(day)&apos;, cf. Urdu itwār.</par>
291123	I	<par>Loan from Indic, likely from Shina (Dardic).</par>
291129	T	<par>&lt; Urdu mangal(vār) &apos;Tuesday&apos;?</par>
291160	T	<par>&lt; Urdu budh(-vār)</par>
291160	T	<par>&lt; Urdu budh(-vār)</par>
291164	T	<par>&lt; Arabic daurān pl. &apos;time&apos;</par>
291194	T	<par>&lt; either Persian <emph>bača</emph> or Urdu <emph>bāch(ṛ)ā</emph> ( &lt; Skt <emph>vatsa-</emph> &apos;calf&apos;)</par>
291222	T	<par>&lt; Pers <emph>bistar</emph>, cf. Skt <emph>vistara-</emph></par>
291237	T	<par>&lt; Arabic abraq &apos;Lapis specularis, talc&apos;? Cf. Sanskrit abhraka- &apos;mica, talc&apos;</par>
291274	T	<par>&lt; Pers piyāda</par>
291469	T	<par>&lt; Urdu <emph>gā&apos;ū̃</emph> &lt; Skt <emph>grāma-</emph></par>
291502	T	<par>&lt; Arabic himmat</par>
291573	T	<par>&lt; Urdu halvāyī, shows hardening</par>
291670	T	<par>&lt; Urdu cār-pāʼī &apos;bed, charpoy&apos; &lt; Pers</par>
291682	T	<par>&lt; Urdu canā &apos;split chickpea&apos;</par>
291752	T	<par>&lt; Urdu pissū &apos;flea&apos;</par>
291802	T	<par>&lt; Arabic burqaʻ</par>
291820	T	<par>&lt; Persian bandar-gāh</par>
291821	T	<par>&lt; Urdu candan &apos;sandalwood&apos;</par>
291839	T	<par>&lt; Indo-Aryan</par>
291854	T	<par>&lt; Urdu ghanṭā</par>
291859	T	<par>&lt; Skt <emph>candra-</emph> &apos;moon&apos;, not from Urdu <emph>pīr(-vār)</emph> &apos;Monday&apos;</par>
