rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
532719	2062	Phu Kha	sa³³ o³³ t͡ʃin³⁵	sa³³ o³³ t͡ʃin³⁵	(evil) spirit	(evil) spirit					0			
532720	2062	Phu Kha	ɕa³¹ ɬuʔ³⁵	ɕa³¹ ɬuʔ³⁵	(this) evening	(this) evening					0			
532721	2062	Phu Kha	nu³³ kʰu³³	nu³³ kʰu³³	above	above			9.2.1		0			
532722	2062	Phu Kha	ha³³	ha³³	accept, receive	accept, receive	v.	v.	8.3.1.2.1		0			
532723	2062	Phu Kha	ta³³ wa³¹ lɯ³³	ta³³ wa³¹ lɯ³³	accompany someone	accompany someone			6.7.10		0			
532724	2062	Phu Kha	m̩³¹ sɯ³³ ljɛ³¹	m̩³¹ sɯ³³ ljɛ³¹	afternoon	afternoon			9.1.4		0			
532725	2062	Phu Kha	d͡za³³	d͡za³³	alive	alive			1.1.2.1		0			
532726	2062	Phu Kha	tha³³ bo³¹	tha³³ bo³¹	all	all			9.9		0			
532727	2062	Phu Kha	pho³³ kha³⁵ sa³⁵ tsɯ³¹	pho³³ kha³⁵ sa³⁵ tsɯ³¹	ancestor	ancestor					0			
532728	2062	Phu Kha	ba³³ tɯ³¹	ba³³ tɯ³¹	answer	answer	v.	v.	8.5.6		0			
532729	2062	Phu Kha	bu¹³ wu³¹	bu¹³ wu³¹	ant	ant			2.2.6		0			
532730	2062	Phu Kha	ʃi³¹ dip³⁵ kʰa³³	ʃi³¹ dip³⁵ kʰa³³	anvil	anvil			5.1		0			
532731	2062	Phu Kha	lja³³ bɯʔ³⁵	lja³³ bɯʔ³⁵	arm	arm			1.5.1.2		0			
532732	2062	Phu Kha	i³³ za³¹ za³¹	i³³ za³¹ za³¹	arrive	arrive			6.7.1		0			
532733	2062	Phu Kha	gɯ³⁵ jap³³ kha³¹	gɯ³⁵ jap³³ kha³¹	artisan, skilled worker	artisan, skilled worker			6.1.1		0			
