rn	type	text
126362	I	<par>First syll.--77? 80?</par>
126373	I	<par>or 819</par>
126431	I	<par>Note parallel structure in Darang shig-ceig (118722).</par>
126477	I	<par>2064 or 1111?</par>
126482	T	<par>The first syllable of this form is distinct from Baima <latinform>shɑ¹³ kɛ³⁵</latinform> &apos;flesh, meat&apos;.</par>
126503	I	<par>or ndzo=nest?cf.p.23;nba=na above? or <latinform>-pa</latinform> (e.g. p. 13 end 42229)</par>
126504	I	<par>ngie: cf. Chang above (<latinform>ge</latinform>); lÅ=Batang le. Cf. 202?</par>
126507	I	<par>574?</par>
126513	T	"<par>The binomial roots Spiti <latinform>jo je</latinform> &apos;copulate&apos; and Konyak <latinform>ya yiang</latinform> &apos;love (v.)&apos; suggest that Baima <latinform>ʒɔ¹³</latinform> belongs with <xref ref=""3470"">#3470</xref>, while <latinform>iɔ¹³</latinform> descends rather from <xref ref=""3475"">#3475</xref>.</par>"
126513	T	"<par>The binomial roots Spiti <latinform>jo je</latinform> &apos;copulate&apos; and Konyak <latinform>ya yiang</latinform> &apos;love (v.)&apos; suggest that Baima <latinform>ʒɔ¹³</latinform> belongs with <xref ref=""3470"">#3470</xref>, while <latinform>iɔ¹³</latinform> descends rather from <xref ref=""3475"">#3475</xref>.</par>"
126532	T	<par>2nd morpheme here is a verb meaning ‘to let go, to release’ </par>
