rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
126358	319	Baima	ku¹³ ly⁵³	ku¹³ ly⁵³	body	body			1.1.1	1.1	0			2,11
126359	319	Baima	giɛ¹³ zɿ⁵³	giɛ¹³ zɿ⁵³	back	back			1.4.8	1.4	0	jbl5	HIDE	DUPE IN SOURCE
126360	319	Baima	ro¹³ nɔ⁵³	ro¹³ nɔ⁵³	bosom	bosom			1.4.4.2	1.9	0			m,253
126361	319	Baima	shɑ¹³ kɛ³⁵	shɑ¹³ kɛ³⁵	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34,1130
126362	319	Baima	sø¹³ |n◦bo⁵³	sø¹³ n◦bo⁵³	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		77,s
126363	319	Baima	sə⁵³	sə⁵³	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27
126364	319	Baima	rɐ⁵³	rɐ⁵³	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		19
126365	319	Baima	ȵɛ³⁵	ȵɛ³⁵	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		129
126366	319	Baima	ʑɑ⁵³ se¹³	ʑɑ⁵³ se¹³	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		150,m
126367	319	Baima	ȵyɛ³⁵ ȵy¹³	ȵyɛ³⁵ ȵy¹³	dream	dream	v	v	1.1.4.2	1.18	0			m,m
126368	319	Baima	ngɐ⁵³	ngɐ⁵³	head	head			1.2.1	2	0	jbl5	HIDE	DUPE IN SOURCE
126369	319	Baima	ngɐ⁵³	ngɐ⁵³	head	head			1.2.1	2.1	0		D1	386
126370	319	Baima	ngɐ⁵³ dɛ¹³ ko³⁵	ngɐ⁵³ dɛ¹³ ko³⁵	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		386,m,m
126371	319	Baima	tɕa¹³ nbu³⁵	tɕa¹³ nbu³⁵	hair (head)	hair (head)			1.2.3	2.7	0			m,1228
126372	319	Baima	ɕɑ⁵³ zɛ³⁵	ɕɑ⁵³ zɛ³⁵	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			m,m
126373	319	Baima	gɐ⁵³	gɐ⁵³	horn (of animal)	horn (of animal)			1.2.2	2.10	0			814
126374	319	Baima	khɑ¹³ ŋo⁵³	khɑ¹³ ŋo⁵³	face	face			1.2.5	3	0	jbl5	HIDE	DUPE IN SOURCE
126375	319	Baima	khɑ¹³ ŋo⁵³	khɑ¹³ ŋo⁵³	face	face			1.2.5	3.1	0		D1	273,1192
126376	319	Baima	thɛ¹³ pɑ⁵³	thɛ¹³ pɑ⁵³	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		2002,s
126377	319	Baima	za³⁴¹ mu¹³ mu⁵³	za³⁴¹ mu¹³ mu⁵³	temple	temple			1.2.5.1	3.3	0			
126378	319	Baima	ȵi¹³ ndʐe³⁵	ȵi¹³ ndʐe³⁵	eye	eye			1.2.6	3.4	0			682,3559
126379	319	Baima	ȵi¹³ pɑ⁵³	ȵi¹³ pɑ⁵³	eyelid	eyelid			1.2.6.4	3.4.1	0			682,2076
126380	319	Baima	ȵi¹³ dɑ³⁵	ȵi¹³ dɑ³⁵	eyeball	eyeball			1.2.6.1	3.4.2	0			682,2073
126381	319	Baima	ȵi¹³ dø³⁴¹	ȵi¹³ dø³⁴¹	pupil	pupil			1.2.6.2	3.4.2.2	0			682,m
126382	319	Baima	ka¹³ʃu⁵³	ka¹³ʃu⁵³	white of eye	white of eye			1.2.6.3	3.4.2.3	0			m
126383	319	Baima	ȵi¹³ pu⁵³	ȵi¹³ pu⁵³	eyebrow	eyebrow			1.2.6.6	3.4.3	0			682,1228
126384	319	Baima	ȵi¹³ pu⁵³ dzɔ¹³	ȵi¹³ pu⁵³ dzɔ¹³	eyelash	eyelash			1.2.6.5	3.4.4	0			682,1228,m
126385	319	Baima	ȵi¹³ ndʐe³⁵ tsõ⁵³	ȵi¹³ ndʐe³⁵ tsõ⁵³	blink	blink	v	v	1.2.6.12	3.4.5	0			682,m,m
126386	319	Baima	ȵi¹³ ndʐe³⁵ nɔ⁵³ dʒuɛ³⁵	ȵi¹³ ndʐe³⁵ nɔ⁵³ dʒuɛ³⁵	tears	tears			1.2.6.7	3.4.6	0			682,3559,m,m
126387	319	Baima	ȵi¹³ tɕɑ⁵³	ȵi¹³ tɕɑ⁵³	eye sand	eye sand			1.2.6.8	3.4.7	0			682,577
126388	319	Baima	dzɿ³⁴¹ dzɿ³⁴¹ ŋo⁵³ ŋo⁵³	dzɿ³⁴¹ dzɿ³⁴¹ ŋo⁵³ ŋo⁵³	cry / weep	cry  /  weep	v	v	1.8.8.2	3.4.8	0	jbl3		m,m,1104,1104
126389	319	Baima	tø³⁵ /ȵi⁵³ ndo³⁴¹ uɛ⁵³	tø³⁵ /ȵi⁵³ ndo³⁴¹ uɛ⁵³	see / look	see  /  look	v	v	1.2.6.10	3.4.9	0	jbl3		m,682,1402,m
126390	319	Baima	ʃɑ⁵³ rɑ⁵³	ʃɑ⁵³ rɑ⁵³	blind	blind			1.2.6.14.2	3.4.10	0			m
126391	319	Baima	nɑ³⁵ ngɐ⁵³	nɑ³⁵ ngɐ⁵³	nose	nose			1.2.8	3.5	0			803,2093
126392	319	Baima	na³⁵ ngɐ⁵³ dzɿ¹³ ȵɑ⁵³	na³⁵ ngɐ⁵³ dzɿ¹³ ȵɑ⁵³	nose bridge	nose bridge			1.2.8	3.5.1	0			803,2093,m,m
126393	319	Baima	nɑ³⁵ nga⁵³ ɦo¹³ ru⁵³	nɑ³⁵ nga⁵³ ɦo¹³ ru⁵³	nostril	nostril			1.2.8.1	3.5.2	0			803,2093,m,2070
126394	319	Baima	nɑ³⁵ ʒo⁵³	nɑ³⁵ ʒo⁵³	liquid mucus	liquid mucus			3.2.3	3.5.6	0			
126395	319	Baima	nø¹³ tɕɑ⁵³	nø¹³ tɕɑ⁵³	solid mucus	solid mucus			1.1.5	3.5.7	0			
126396	319	Baima	ȵy³⁴¹	ȵy³⁴¹	smell / sniff	smell  /  sniff	v	v	1.2.8.5	3.5.9	0	jbl3		1415
126397	319	Baima	nɑ³⁵	nɑ³⁵	ear	ear			1.2.7	3.6	0			811
126398	319	Baima	nɑ³⁵ po³⁵	nɑ³⁵ po³⁵	earwax	earwax			1.2.7.3	3.6.6	0			811,815
126399	319	Baima	nɑ³⁵ ȵɛ¹³	nɑ³⁵ ȵɛ¹³	hear	hear	v	v	1.2.7.4	3.6.7	0			811,1410
126400	319	Baima	nɑ¹³ ue³⁵	nɑ¹³ ue³⁵	deaf	deaf			1.2.7.5	3.6.8	0			811,m
126401	319	Baima	kha⁵³	kha⁵³	mouth	mouth			1.3.1	3.7	0			273
126402	319	Baima	sha⁵³ ȵi³⁵	sha⁵³ ȵi³⁵	gums	gums			1.3.4.3	3.7.3	0			632,504
126403	319	Baima	dʒuɛ³⁵	dʒuɛ³⁵	saliva	saliva			1.8.3	3.7.5	0			
126404	319	Baima	ndʒɐ³⁴¹	ndʒɐ³⁴¹	eat	eat	v	v	1.5.3.2	3.7.6	0			36
126405	319	Baima	ndo³⁵	ndo³⁵	drink	drink	v	v		3.7.7	0			502
126406	319	Baima	ko⁵³ dɐ¹³	ko⁵³ dɐ¹³	thirsty	thirsty	be	be	1.1.3.1	3.7.8	0			116,m
126407	319	Baima	tuɛ⁵³	tuɛ⁵³	hungry	hungry	be	be	1.1.3	3.7.9	0			
126408	319	Baima	ndʐɔ³⁵	ndʐɔ³⁵	full / be satiated	full  /  be satiated			1.1.3.2	3.7.10	0	jbl3		114
126409	319	Baima	ɕy⁵³ dɐ³⁴¹	ɕy⁵³ dɐ³⁴¹	vomit	vomit	v	v	1.8.3.2	3.7.13	0			1750,m
126410	319	Baima	kha⁵³ dø³⁴¹	kha⁵³ dø³⁴¹	hold in mouth	hold in mouth	v	v	1.3.4.4	3.7.14	0			273,m
126411	319	Baima	kha⁵³ the³⁵	kha⁵³ the³⁵	gape / open mouth	gape  /  open mouth	v	v	1.3.1	3.7.15	0	jbl3		273,m
126412	319	Baima	iø³⁵ ɕi¹³ dɐ¹³	iø³⁵ ɕi¹³ dɐ¹³	yawn	yawn	v	v	1.3.1.3	3.7.16	0			
126413	319	Baima	dʒɑ³⁴¹	dʒɑ³⁴¹	tongue	tongue			1.3.3	3.8	0			623
126414	319	Baima	dzø³⁵	dzø³⁵	speak	speak	v	v	8.5.10.1	3.8.1	0			5382
126415	319	Baima	khɑ⁵³ ndɑ⁵³	khɑ⁵³ ndɑ⁵³	stutter / stammer	stutter  /  stammer			8.5.4.5	3.8.2	0	jbl3		273,m
126416	319	Baima	ndʒɑ⁵³	ndʒɑ⁵³	lick	lick			1.3.3.1	3.8.4	0			629
126417	319	Baima	ndʒo³⁵	ndʒo³⁵	lip	lip			1.3.2	3.9	0			442
126418	319	Baima	ʑɑ¹³ ndʒo³⁴¹	ʑɑ¹³ ndʒo³⁴¹	upper lip	upper lip			9.2.1	3.9.1	0			
