rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
129524	558	Ergong (Danba)	hɛ zu pu	hɛ zu pu	body	body			1.1.1	1.1	0			m,4,s
129525	558	Ergong (Danba)	hɛ zu pu ʐɛ ʐtʰɯ	hɛ zu pu ʐɛ ʐtʰɯ	side (right)	side (right)			1.4.5	1.2	0			m,4,1902,m,m
129526	558	Ergong (Danba)	hɛ zu pu ʐɛ kua	hɛ zu pu ʐɛ kua	side (left)	side (left)			1.4.5	1.3	0			m,4,1902,2154,m
129527	558	Ergong (Danba)	qo mȵo	qo mȵo	back	back			1.4.8	1.4	0	jbl5	HIDE	DUPE IN SOURCE
129528	558	Ergong (Danba)	rko⁵⁵ʐa⁵⁵	rko⁵⁵ʐa⁵⁵	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		5621,m
129529	558	Ergong (Danba)	ʁɛ lɔ	ʁɛ lɔ	bosom	bosom			1.4.4.2	1.9	0			
129530	558	Ergong (Danba)	ntʰu	ntʰu	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		38
129531	558	Ergong (Danba)	wsɯ wsɯ	wsɯ wsɯ	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		80,80
129532	558	Ergong (Danba)	sɛ	sɛ	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		27
129533	558	Ergong (Danba)	ʐgin	ʐgin	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		128
129534	558	Ergong (Danba)	sue	sue	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		150
129535	558	Ergong (Danba)	ntsʰɛ lma	ntsʰɛ lma	dream	dream	v.	v.	1.1.4.2	1.18	0			m,126
129536	558	Ergong (Danba)	ʁuə	ʁuə	head	head			1.2.1	2.1	0			386
129537	558	Ergong (Danba)	nua	nua	brain	brain			1.2.4	2.5	0			243
129538	558	Ergong (Danba)	ʁuə ʐmi	ʁuə ʐmi	hair of head	hair of head			1.2.3	2.7	0	jbl5	HIDE	DUPE IN SOURCE
129539	558	Ergong (Danba)	qlɛ◦m |bɛ la	qlɛm bɛ la	horn (of animal)	horn (of animal)			1.2.2	2.10	0			819,m,m
129540	558	Ergong (Danba)	ʐŋa	ʐŋa	face	face			1.2.5	3.1	0			1192
129541	558	Ergong (Danba)	kɛ |pɛ |la	kɛ pɛ la	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		1241
129542	558	Ergong (Danba)	mau	mau	eye	eye			1.2.6	3.4	0			681
129543	558	Ergong (Danba)	mo ɣdzi	mo ɣdzi	pupil	pupil			1.2.6.2	3.4.2.2	0			681,m
129544	558	Ergong (Danba)	mau pʰʂu	mau pʰʂu	white of eye	white of eye			1.2.6.3	3.4.2.3	0			682,1235
129545	558	Ergong (Danba)	mau ʐmi	mau ʐmi	eyebrow	eyebrow			1.2.6.6	3.4.3	0			682,368
129546	558	Ergong (Danba)	me tʰe	me tʰe	eyelash	eyelash			1.2.6.5	3.4.4	0			682,m
129547	558	Ergong (Danba)	mau ble	mau ble	tears	tears			1.2.6.7	3.4.6	0			681,187
129548	558	Ergong (Danba)	mau spɛ	mau spɛ	eye sand	eye sand			1.2.6.8	3.4.7	0			682,575
129549	558	Ergong (Danba)	lmɛ mɛn	lmɛ mɛn	cry / weep	cry  /  weep	v.	v.	1.8.8.2	3.4.8	0	jbl3		
129550	558	Ergong (Danba)	gɔ piɛ	gɔ piɛ	see / look	see  /  look	v.	v.	1.2.6.10	3.4.9	0	jbl3		m,m,m,m
129551	558	Ergong (Danba)	lu va	lu va	blind	blind			1.2.6.14.2	3.4.10	0			m,m
129552	558	Ergong (Danba)	sni	sni	nose	nose			1.2.8	3.5	0			803
129553	558	Ergong (Danba)	snau	snau	liquid mucus	liquid mucus			3.2.3	3.5.6	0			805
129554	558	Ergong (Danba)	snau qʰe	snau qʰe	solid mucus	solid mucus			1.1.5	3.5.7	0			805,m
129555	558	Ergong (Danba)	snɯ no	snɯ no	smell / sniff	smell  /  sniff	v.	v.	1.2.8.5	3.5.9	0	jbl3		803,1415
129556	558	Ergong (Danba)	ȵaŋ	ȵaŋ	ear	ear			1.2.7	3.6	0			1410
129557	558	Ergong (Danba)	ȵɔ mpʰɯ	ȵɔ mpʰɯ	earwax	earwax			1.2.7.3	3.6.6	0			811,815
129558	558	Ergong (Danba)	wu sŋi	wu sŋi	hear	hear	v.	v.	1.2.7.4	3.6.7	0			m,1410
129559	558	Ergong (Danba)	ndʑɛ kɛu	ndʑɛ kɛu	deaf	deaf			1.2.7.5	3.6.8	0			
129560	558	Ergong (Danba)	ɦa mo	ɦa mo	mouth	mouth			1.3.1	3.7	0			m,687
129561	558	Ergong (Danba)	ɕɯ◦zkʰa	ɕɯ◦zkʰa	gums	gums			1.3.4.3	3.7.3	0			632,636
129562	558	Ergong (Danba)	ʐqua vʑɛ ze	ʐqua vʑɛ ze	uvula	uvula			1.3.5.1	3.7.4	0			
129563	558	Ergong (Danba)	mdʑɯ	mdʑɯ	saliva	saliva			1.8.3	3.7.5	0			
129564	558	Ergong (Danba)	ɣu ŋgi	ɣu ŋgi	eat	eat	v.	v.	1.5.3.2	3.7.6	0			
129565	558	Ergong (Danba)	wtʰi	wtʰi	drink	drink	v.	v.		3.7.7	0			502
129566	558	Ergong (Danba)	spʰɔŋ	spʰɔŋ	thirsty	thirsty	be	be	1.1.3.1	3.7.8	0			1826
129567	558	Ergong (Danba)	wjɔŋ	wjɔŋ	hungry	hungry	be	be	1.1.3	3.7.9	0			3550
129568	558	Ergong (Danba)	vkʰiɔŋ	vkʰiɔŋ	full / be satiated	full  /  be satiated			1.1.3.2	3.7.10	0	jbl3		135
129569	558	Ergong (Danba)	nɛ pʰɛ	nɛ pʰɛ	spit	spit	v.	v.	1.8.3	3.7.11	0			m,607
129570	558	Ergong (Danba)	ŋkʰɛʴ	ŋkʰɛʴ	vomit	vomit	n.	n.	1.8.3.2	3.7.12	0			1751
129571	558	Ergong (Danba)	ndʑɔ tɕɯ	ndʑɔ tɕɯ	hold in mouth	hold in mouth	v.	v.	1.3.4.4	3.7.14	0			
129572	558	Ergong (Danba)	ʐɿʴ zʁɛn	ʐɿʴ zʁɛn	gape / open mouth	gape  /  open mouth	v.	v.	1.3.1	3.7.15	0	jbl3		
129573	558	Ergong (Danba)	zʁo	zʁo	yawn	yawn	v.	v.	1.3.1.3	3.7.16	0			
129574	558	Ergong (Danba)	vʑɛ	vʑɛ	tongue	tongue			1.3.3	3.8	0			621
129575	558	Ergong (Danba)	vɕɛ	vɕɛ	speak	speak	v.	v.	8.5.10.1	3.8.1	0			1755
129576	558	Ergong (Danba)	lʁuə	lʁuə	mute / dumb	mute  /  dumb			1.5.3.2	3.8.3	0	jbl3		
129577	558	Ergong (Danba)	ȵɣia la	ȵɣia la	lick	lick	v.	v.	1.3.3.1	3.8.4	0			629,m
129578	558	Ergong (Danba)	ha məʴ	ha məʴ	lip	lip			1.3.2	3.9	0			m,467
129579	558	Ergong (Danba)	qʰɛn	qʰɛn	smile	smile	v.	v.	1.8.8.1	3.9.4	0			1116
129580	558	Ergong (Danba)	bo pa	bo pa	kiss	kiss	v.	v.	1.3.2.2	3.9.5	0			3450,m
129581	558	Ergong (Danba)	ɕɯ	ɕɯ	tooth	tooth			1.3.4	3.10	0			632
129582	558	Ergong (Danba)	ʐɛ◦jo ɕɯ◦mɛ	ʐɛ◦jo ɕɯ◦mɛ	tooth (incisor)	tooth (incisor)			1.3.4	3.10.1	0			m,m,632,s
129583	558	Ergong (Danba)	ɕɯ gue	ɕɯ gue	molar	molar			1.3.4.2	3.10.2	0			632,630
129584	558	Ergong (Danba)	ʐtɕɛ	ʐtɕɛ	bite	bite	v.	v.	1.3.4.4	3.10.7	0			
129585	558	Ergong (Danba)	ŋka ka	ŋka ka	chew	chew	v.	v.	1.3.4	3.10.8	0			
129586	558	Ergong (Danba)	ʐqua	ʐqua	neck	neck			1.4.2	4.1	0			389
129587	558	Ergong (Danba)	ʐqua mtɕʰɯ	ʐqua mtɕʰɯ	throat / gullet / pharynx	throat / gullet  /  pharynx			1.3.5	4.2	0	jbl3		389,3363
129588	558	Ergong (Danba)	sqʰlɛ	sqʰlɛ	swallow	swallow	v.	v.	1.3.5.6	4.2.3	0			3371
