rn	type	text
129129	T	<par>This Qiang Mawo form bears a superficial resemblance to Chepang and Magar <latinform>sās</latinform>, although the latter two are undoubtedly borrowings from IA (cf. Sanskrit <latinform>śvas-</latinform>). The initial velar spirants in the Qiang Mawo and Ergong forms seem cognate to the prefixal <latinform>g-</latinform> in WT.</par>
129129	I	<par>Hayu shows variation between homorganic final nasal and stop, with the allofam in <latinform>-t</latinform> perhaps representing the same suffixal element as Qiang Mawo <latinform>-s</latinform>.</par>
129133	I	<par>Or &lt; <reconstruction>*na</reconstruction> “rest, perch” ?</par>
129134	I	<par>cf. 2nd syll of Q Yadu</par>
129138	I	<par>Qiang <latinform>rguæ</latinform> fits the reconstruction well.</par>
129309	I	<par>first syll cf. Mirish <latinform>adin</latinform>?</par>
129317	I	<par>see Daofu, rGyalrong, and Zhaba BLEED.</par>
129324	I	<par>Or 293? (tsu)</par>
129332	I	<par>M1 = 1013?</par>
129332	I	<par>M1: p or 1013?? M2: 1388? See records below.</par>
129335	I	<par>note full<latinform>lu</latinform>: 1381?</par>
129340	I	<par>M1: Cf. <latinform>dei</latinform> ? or cf. <latinform>tə</latinform><latinform> </latinform> pfx? M2: 2102?</par>
129341	I	<par>M1: 574? M2: 2118?</par>
129350	T	<par>Qiang (Mawo) <latinform>qə̥ pætʂ</latinform> &apos;head&apos;.</par>
129374	I	<par>2nd morpheme here is a verb on uncertain meaning used together with /<latinform>qʰʂə/</latinform> ‘shit, fart’  to mean ‘break wind’ </par>
129381	T	<par>Qiang <latinform>sa</latinform> &apos;blood&apos; (cf. Chinese <latinform>nong-xie</latinform>; Jingpo <latinform>sai matsui</latinform>).</par>
