rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
131112	1698	Queyu (Yajiang) [Zhaba]	zu³⁵ pu⁵³	zu³⁵ pu⁵³	body	body			1.1.1	1.1	0			4,m
131113	1698	Queyu (Yajiang) [Zhaba]	zu³⁵ pu⁵³ tõ⁵⁵ le⁵⁵	zu³⁵ pu⁵³ tõ⁵⁵ le⁵⁵	side (right)	side (right)			1.4.5	1.2	0			4,m,m,m
131114	1698	Queyu (Yajiang) [Zhaba]	zu³⁵ pu⁵³ wa³⁵ ɕã⁵⁵	zu³⁵ pu⁵³ wa³⁵ ɕã⁵⁵	side (left)	side (left)			1.4.5	1.3	0			4,m,2154,m
131115	1698	Queyu (Yajiang) [Zhaba]	gõ³⁵	gõ³⁵	back	back			1.4.8	1.4	0	jbl5	HIDE	DUPE IN SOURCE
131116	1698	Queyu (Yajiang) [Zhaba]	ka³³ rõ⁵⁵	ka³³ rõ⁵⁵	bosom	bosom			1.4.4.2	1.9	0			
131117	1698	Queyu (Yajiang) [Zhaba]	tʰõ⁵⁵	tʰõ⁵⁵	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		38
131118	1698	Queyu (Yajiang) [Zhaba]	lə³⁵ zi⁵³	lə³⁵ zi⁵³	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		m,1010
131119	1698	Queyu (Yajiang) [Zhaba]	tə³⁵ si⁵⁵	tə³⁵ si⁵⁵	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		p,27
131120	1698	Queyu (Yajiang) [Zhaba]	kə³⁵ ʑe⁵⁵	kə³⁵ ʑe⁵⁵	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		m,127
131121	1698	Queyu (Yajiang) [Zhaba]	lə³⁵ ʂi⁵³	lə³⁵ ʂi⁵³	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		m,1837
131122	1698	Queyu (Yajiang) [Zhaba]	ȵa³⁵ mõ⁵⁵	ȵa³⁵ mõ⁵⁵	dream	dream	v	v	1.1.4.2	1.18	0			129,126
131123	1698	Queyu (Yajiang) [Zhaba]	xo⁵³	xo⁵³	head	head			1.2.1	2.1	0			386
131124	1698	Queyu (Yajiang) [Zhaba]	xo⁵⁵ mu⁵⁵ tʂʰa⁵³	xo⁵⁵ mu⁵⁵ tʂʰa⁵³	hair of head	hair of head			1.2.3	2.7	0	jbl5	HIDE	DUPE IN SOURCE
131125	1698	Queyu (Yajiang) [Zhaba]	ʐa³⁵ tɕo⁵³	ʐa³⁵ tɕo⁵³	horn (of animal)	horn (of animal)			1.2.2	2.10	0			m,819
131126	1698	Queyu (Yajiang) [Zhaba]	mɯ⁵⁵ mɯ⁵⁵	mɯ⁵⁵ mɯ⁵⁵	face	face			1.2.5	3.1	0			467,467
131127	1698	Queyu (Yajiang) [Zhaba]	tʰe⁵⁵ pɐ⁵⁵ li⁵⁵	tʰe⁵⁵ pɐ⁵⁵ li⁵⁵	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		2002,m,m
131128	1698	Queyu (Yajiang) [Zhaba]	ȵe⁵⁵	ȵe⁵⁵	eye	eye			1.2.6	3.4	0			681
131129	1698	Queyu (Yajiang) [Zhaba]	ȵe⁵⁵ pɯ⁵⁵	ȵe⁵⁵ pɯ⁵⁵	eyebrow	eyebrow			1.2.6.6	3.4.3	0			681,1228
131130	1698	Queyu (Yajiang) [Zhaba]	ȵe⁵⁵ ʑi⁵³	ȵe⁵⁵ ʑi⁵³	tears	tears			1.2.6.7	3.4.6	0			681,1013
131131	1698	Queyu (Yajiang) [Zhaba]	tʂuɛ³⁵	tʂuɛ³⁵	cry / weep	cry  /  weep	v	v	1.8.8.2	3.4.8	0	jbl3		
131132	1698	Queyu (Yajiang) [Zhaba]	kə³⁵ ɕe⁵⁵	kə³⁵ ɕe⁵⁵	look	look	v	v	1.2.6.11	3.4.9	0			m,1229
131133	1698	Queyu (Yajiang) [Zhaba]	dã³⁵ do³⁵	dã³⁵ do³⁵	see	see			1.2.6.10	3.4.9	0			m,1402
131134	1698	Queyu (Yajiang) [Zhaba]	ʑa³⁵ ko⁵⁵	ʑa³⁵ ko⁵⁵	blind	blind			1.2.6.14.2	3.4.10	0			m
131135	1698	Queyu (Yajiang) [Zhaba]	n̥a³⁵ ko⁵³	n̥a³⁵ ko⁵³	nose	nose			1.2.8	3.5	0			803,809
131136	1698	Queyu (Yajiang) [Zhaba]	hã⁵⁵ qa⁵⁵	hã⁵⁵ qa⁵⁵	liquid mucus	liquid mucus			3.2.3	3.5.6	0			
131137	1698	Queyu (Yajiang) [Zhaba]	tə³⁵ lu⁵⁵ nũ⁵⁵	tə³⁵ lu⁵⁵ nũ⁵⁵	smell / sniff	smell  /  sniff	v	v	1.2.8.5	3.5.9	0	jbl3		m,m,1415
131138	1698	Queyu (Yajiang) [Zhaba]	ne⁵⁵ po⁵⁵ to⁵⁵	ne⁵⁵ po⁵⁵ to⁵⁵	ear	ear			1.2.7	3.6	0			811,812,822
131139	1698	Queyu (Yajiang) [Zhaba]	kə³⁵ ȵu⁵³	kə³⁵ ȵu⁵³	hear	hear	v	v	1.2.7.4	3.6.7	0			
131140	1698	Queyu (Yajiang) [Zhaba]	wã³³ pa⁵³	wã³³ pa⁵³	deaf	deaf			1.2.7.5	3.6.8	0			1413,m
131141	1698	Queyu (Yajiang) [Zhaba]	la⁵³	la⁵³	mouth	mouth			1.3.1	3.7	0			i
131142	1698	Queyu (Yajiang) [Zhaba]	tʂʰa³⁵ ka³⁵	tʂʰa³⁵ ka³⁵	saliva	saliva			1.8.3	3.7.5	0			
131143	1698	Queyu (Yajiang) [Zhaba]	kə³⁵ tɐ⁵³	kə³⁵ tɐ⁵³	eat	eat	v	v	1.5.3.2	3.7.6	0			p|p,36|m
