rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
64517	604	Gurung (Ghachok)	jahguq	jahguq	barley	barley			3.1.4	4.A.34	0			
64518	604	Gurung (Ghachok)	(N)gãũ	(N)gãũ	wheat	wheat			3.1.4	4.A.35	0			
64519	604	Gurung (Ghachok)	pulu	pulu	nettle	nettle			3.1.2	4.A.36	0			
64520	604	Gurung (Ghachok)	labuq	labuq	raddish	raddish				4.A.43	0			
64521	604	Gurung (Ghachok)	(N)turi	(N)turi	mustard	mustard			3.1.4	4.A.46	0			
64522	604	Gurung (Ghachok)	kʰoreq	kʰoreq	field (dry) (non-terraced)	field (dry)  (non-terraced)			3.2.5	4.A.64	0	jbl3		
64524	604	Gurung (Ghachok)	--	--	ice	ice	n.	n.	3.2.3	5.A.42	0			
64525	604	Gurung (Ghachok)	klĩq	klĩq	snow	snow	n.	n.	3.2.1	5.A.43	0			
64526	604	Gurung (Ghachok)	yaːh◦gõ	yaːhgõ	rainbow	rainbow			3.2.1	5.A.75	0			6000,m
64527	604	Gurung (Ghachok)	(X)ʈaːh (N)baːri	(X)ʈaːh (N)baːri	garden (vegetable)	garden (vegetable)			9.10.4	6.A.8	0			
64528	604	Gurung (Ghachok)	li	li	ladder	ladder			5.4	6.A.24	0			
64529	604	Gurung (Ghachok)	(N)kʰaːqɖa	(N)kʰaːqɖa	bedstead	bedstead			5.11.9.4	6.A.33	0			
64530	604	Gurung (Ghachok)	pohbaqe saqe	pohbaqe saqe	covering	covering			5.8	6.A.35	0			
64531	604	Gurung (Ghachok)	kregũ	kregũ	pillow	pillow			1.2.1	6.A.36	0			
64532	604	Gurung (Ghachok)	paːq	paːq	liquor	liquor			3.1.6.3	7.A.19	0			
64533	604	Gurung (Ghachok)	(N)	(N)	kodali	kodali				8.A.21 21	0			
64534	604	Gurung (Ghachok)	kyuq jaːhsaq	kyuq jaːhsaq	boat	boat			5.1	8.A.28 28	0			
64535	604	Gurung (Ghachok)	(N)ɖũwã	(N)ɖũwã	canoe (dug-out)	canoe (dug-out)			5.1	8.A.29 29	0			
64536	604	Gurung (Ghachok)	(N)pedaːlaːq	(N)pedaːlaːq	brass	brass			3.2.4	8.A.55 55	0		z	
64537	604	Gurung (Ghachok)	luŋta	luŋta	flag (prayer)	flag (prayer)			5.1	10.A.65	0			
64538	604	Gurung (Ghachok)	(N)	(N)	flag (prayer)	flag (prayer)			5.1	10.A.65	0			
64539	604	Gurung (Ghachok)	kolmaqẽ	kolmaqẽ	children	children			4.7.3	11.A.69	0			
64540	604	Gurung (Ghachok)	pahsyaː pahsi	pahsyaː pahsi	children (sons, daughters)	children (sons ,daughters)			4.7.3	11.A.70	0			
