rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
459263	1962	Yi (Liangshan)	a³³pa⁵⁵pa²¹	a³³pa⁵⁵pa²¹	barren (of land)	barren (of land)			1.9.6.2	index	0			
459264	1962	Yi (Liangshan)	a³³bɯ³³	a³³bɯ³³	oh; wow	oh; wow			10.7	index	0			
459265	1962	Yi (Liangshan)	a³³ʦha³³	a³³ʦha³³	hot	hot				index	0			
459266	1962	Yi (Liangshan)	a³³ʦha³³ʦha³³	a³³ʦha³³ʦha³³	quickly; warm	quickly; warm			9.1.1	index	0			
459267	1962	Yi (Liangshan)	a³³ʦhɿ³³a³⁴fo³³	a³³ʦhɿ³³a³⁴fo³³	careless; unstable	careless; unstable			8.3.2.3.1	index	0			
459268	1962	Yi (Liangshan)	a³³di⁵⁵	a³³di⁵⁵	there	there			9.2.7	index	0			
459269	1962	Yi (Liangshan)	a³³tu³³	a³³tu³³	thick (flat things)	thick (flat things)			9.7.2	index	0			p,183
459270	1962	Yi (Liangshan)	a³³fi³³	a³³fi³³	wide	wide			9.7.2	index	0			
459271	1962	Yi (Liangshan)	a³³fu³³	a³³fu³³	thick (in cross-section)	thick (in cross-section)			9.7.2	index	0			
459272	1962	Yi (Liangshan)	a³³gɯ³³	a³³gɯ³³	brown (of birds); gray (of birds)	brown (of birds); gray (of birds)			9.4	index	0			
459273	1962	Yi (Liangshan)	a³³gu³⁴gu²¹	a³³gu³⁴gu²¹	same	same			7.1.7.2	index	0			
459274	1962	Yi (Liangshan)	a³³ɬɯ³⁴	a³³ɬɯ³⁴	before	before			9.1.5	index	0			
459275	1962	Yi (Liangshan)	a³³ɬɯ³⁴mo²¹	a³³ɬɯ³⁴mo²¹	long ago	long ago			9.7.2	index	0			
459276	1962	Yi (Liangshan)	a³³m̥u³³	a³³m̥u³³	deep (water); high; tall	deep (water); high; tall			7.1.5.3	index	0			p,2597
459277	1962	Yi (Liangshan)	a³³n̥a⁵⁵	a³³n̥a⁵⁵	more; too (very); very	more; too (very); very			7.1.2.2	index	0			
459278	1962	Yi (Liangshan)	a³³n̥i³³	a³³n̥i³³	red	red			9.4	index	0			p,2499
459279	1962	Yi (Liangshan)	a³³n̥u⁵⁵	a³³n̥u⁵⁵	deep; too much	deep; too much			7.1.5.3	index	0			
459280	1962	Yi (Liangshan)	a³³xo³³	a³³xo³³	fat (thick); thick (in cross-section)	fat (thick); thick (in cross-section)			9.7.2	index	0			
459281	1962	Yi (Liangshan)	a³³ho³³	a³³ho³³	children	children			4.7.3	index	0			
459282	1962	Yi (Liangshan)	a³³ho³⁴	a³³ho³⁴	long (time); time, long	long (time); time, long			9.7.2	index	0			
459283	1962	Yi (Liangshan)	a³³ʨi³³	a³³ʨi³³	sieve; sifter, flour	sieve; sifter, flour			5.5	index	0			
459284	1962	Yi (Liangshan)	a³³ʥɛ⁵⁵	a³³ʥɛ⁵⁵	tan (color)	tan (color)			9.4	index	0			
459285	1962	Yi (Liangshan)	a³³ʥɿ³³	a³³ʥɿ³³	wide	wide			9.7.2	index	0			
459286	1962	Yi (Liangshan)	a³³ʨu⁵⁵ʨu²¹	a³³ʨu⁵⁵ʨu²¹	identical	identical			7.1.7.2	index	0			
459287	1962	Yi (Liangshan)	a³³ma⁵⁵	a³³ma⁵⁵	grandmother	grandmother			4.7.1	index	0			
459288	1962	Yi (Liangshan)	a³³mɯ³³	a³³mɯ³³	agh	agh				index	0			
459289	1962	Yi (Liangshan)	a³³ŋgo³³	a³³ŋgo³³	cold (food)	cold (food)			7.1.2.3	index	0			
459290	1962	Yi (Liangshan)	a³³mo³³	a³³mo³³	ooh (grief or regret)	ooh (grief or regret)			8.3.1.5.2	index	0			
459291	1962	Yi (Liangshan)	a³³mu̱³³ʂa³³	a³³mu̱³³ʂa³³	ooh (grief or regret)	ooh (grief or regret)			8.3.1.5.2	index	0			
