rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
68880	1427	Tibetan (Spiti)	toewa	toewa	saw (3rd. sg.)	saw (3rd. sg.)			5.11.5.3		0			
68881	1427	Tibetan (Spiti)	pʰamrak	pʰamrak	lose	lose	I	I	6.10.1		0			
68882	1427	Tibetan (Spiti)	ŋuɛt	ŋuɛt	weeping (1st. pers sg. or pl.)	weeping (1st. pers sg. or pl.)			1.8.8.2		0			
68883	1427	Tibetan (Spiti)	sata	sata	eating? (2nd. sg. interrog.)	eating? (2nd. sg. interrog.)			1.3.5.8		0			
68884	1427	Tibetan (Spiti)	pʰurbu	pʰurbu	fourth day of Tibetan week	fourth day of Tibetan week			9.9		0			
68885	1427	Tibetan (Spiti)	nakpo	nakpo	fifth month of year	fifth month of year			9.1.2		0			
68886	1427	Tibetan (Spiti)	gyú	gyú	original	original			7.1.8.3		0			
68887	1427	Tibetan (Spiti)	kàrok	kàrok	big crow	big crow	n.	n.	9.7.2		0			
68888	1427	Tibetan (Spiti)	ʈʰɔm	ʈʰɔm	function in a happy mood	function in a happy mood	n.	n.	8.1		0			
68889	1427	Tibetan (Spiti)	pawa	pawa	kind of dish	kind of dish	n.	n.	8.3.3.2.1		0			
68890	1427	Tibetan (Spiti)	tʰukpa	tʰukpa	kind of liquid, dish	kind of liquid, dish	n.	n.	8.3.3.2.1		0			
68891	1427	Tibetan (Spiti)	zɔ́	zɔ́	kind of yak	kind of yak	n.	n.	8.3.3.2.1		0			
68892	1427	Tibetan (Spiti)	pyaŋ	pyaŋ	musical string instrument	musical string instrument	n.	n.	5.1		0			
68893	1427	Tibetan (Spiti)	kunzam	kunzam	name of a person	name of a person	n.	n.	5.8		0			
68894	1427	Tibetan (Spiti)	pʰawa	pʰawa	name of a religious place	name of a religious place	n.	n.	5.8		0			
68895	1427	Tibetan (Spiti)	hal	hal	name of a village	name of a village	n.	n.	5.8		0			
68896	1427	Tibetan (Spiti)	kàr	kàr	name of dance	name of dance	n.	n.	5.8		0			
68897	1427	Tibetan (Spiti)	ʒá	ʒá	small stone	small stone	n.	n.	9.7.2		0			x
68898	1427	Tibetan (Spiti)	calak	calak	thing	thing	n.	n.	8.1		0			
68899	1427	Tibetan (Spiti)	sabden	sabden	type of cotton mat	type of cotton mat	n.	n.	8.1		0			
68900	1427	Tibetan (Spiti)	tsʰé	tsʰé	type of grass	type of grass	n.	n.	8.1		0			
68901	1427	Tibetan (Spiti)	ʈé	ʈé	type of monkey	type of monkey	n.	n.	8.1		0			
68903	1427	Tibetan (Spiti)	sɔr	sɔr	idol made of earth	idol made of earth	n.	n.	5.8		0			
68904	1427	Tibetan (Spiti)	mɔn	mɔn	Indian	Indian	n.	n.	4.6		0			
68905	1427	Tibetan (Spiti)	taŋ	taŋ	and / also	and / also			10.1.2.1		0			
68906	1427	Tibetan (Spiti)	sor	sor	anger	anger			1.5.3.2		0			
68907	1427	Tibetan (Spiti)	byak	byak	arrogant	arrogant			9.6.2.2		0			
68908	1427	Tibetan (Spiti)	tʰuwa	tʰuwa	bad	bad			9.6.2.1		0			
68909	1427	Tibetan (Spiti)	pore	pore	balance (to weigh)	balance (to weigh)			9.8		0			
68910	1427	Tibetan (Spiti)	do◦lo	do◦lo	bald	bald			1.2.3.4		0			1436,m
68911	1427	Tibetan (Spiti)	tʰá	tʰá	bank of a river	bank of a river			9.10.2		0			
68912	1427	Tibetan (Spiti)	cʰaŋ	cʰaŋ	beer made of barley / rice	beer made of barley / rice			3.1.4		0			
68913	1427	Tibetan (Spiti)	rɛ́	rɛ́	beggar	beggar			8.5.10.3		0			
68914	1427	Tibetan (Spiti)	keʃak	keʃak	birthday	birthday			1.1.2		0			x
68915	1427	Tibetan (Spiti)	nak◦po	nak◦po	black	black			9.4		0			2483,s
68916	1427	Tibetan (Spiti)	ʃara	ʃara	blind man	blind man			1.2.6.14.2		0			m
68917	1427	Tibetan (Spiti)	ŋun◦po	ŋunpo	blue	blue			9.4		0			2531,s
68918	1427	Tibetan (Spiti)	ŋum◦bo	ŋumbo	blue	blue			9.4		0			2531,s
68919	1427	Tibetan (Spiti)	ʈù	ʈù	boat	boat			5.1		0			
68920	1427	Tibetan (Spiti)	zuo	zuo	body	body			1.1.1		0			4
68921	1427	Tibetan (Spiti)	zu	zu	body	body			1.1.1		0			4
68922	1427	Tibetan (Spiti)	rui◦wa	rui◦wa	bone	bone			1.6.3		0			232,m
68923	1427	Tibetan (Spiti)	ʒú	ʒú	bow	bow			5.15		0			2411
68924	1427	Tibetan (Spiti)	ʒu	ʒu	bow (for arrows)	bow (for arrows)			5.15		0			2411
68925	1427	Tibetan (Spiti)	ɖom	ɖom	box	box			5.1		0			
68926	1427	Tibetan (Spiti)	pù◦tsa	pù◦tsa	boy	boy			1.9.6.1		0			1635,m
68927	1427	Tibetan (Spiti)	mukpo	mukpo	brown	brown			9.4		0			
68928	1427	Tibetan (Spiti)	pɛ̀to	pɛ̀to	calf	calf			1.5.7		0			
68929	1427	Tibetan (Spiti)	pʰú	pʰú	cane	cane			5.11.8.2.2		0			2549
68930	1427	Tibetan (Spiti)	pʰú	pʰú	care	care			8.3.2.3.1		0			
68931	1427	Tibetan (Spiti)	piʃi	piʃi	cat	cat			2.1.3		0			
68932	1427	Tibetan (Spiti)	myá	myá	cat's eye	cat's eye			2.1.3		0			
68933	1427	Tibetan (Spiti)	pʰú	pʰú	cave	cave			3.2.7		0			164
68934	1427	Tibetan (Spiti)	dam◦pa	dam◦pa	cheek	cheek			1.2.5.2		0			262,s
68935	1427	Tibetan (Spiti)	ʈaŋ	ʈaŋ	chest	chest			1.4.4.3		0			289
68936	1427	Tibetan (Spiti)	ʈu	ʈu	child	child			1.5.3.2		0			
68937	1427	Tibetan (Spiti)	saŋ◦ma	saŋma	clean	clean			6.2.2.5.2		0			2745,s
68938	1427	Tibetan (Spiti)	ré	ré	cloth	cloth			5.1		0			
68939	1427	Tibetan (Spiti)	kòr	kòr	coat	coat			5.11.8.2.1.2		0			
68940	1427	Tibetan (Spiti)	capa	capa	cock	cock			2.1.10		0			
68941	1427	Tibetan (Spiti)	yoʒe	yoʒe	cook	cook			5.5		0			
68942	1427	Tibetan (Spiti)	ʈucu	ʈucu	corner	corner			5.11.9.3		0			
68943	1427	Tibetan (Spiti)	pà	pà	cow	cow			2.1.2		0			
68944	1427	Tibetan (Spiti)	kàrok	kàrok	crow (big one)	crow (big one)			2.2.4.1		0			
68945	1427	Tibetan (Spiti)	u◦ɟɔŋ	u◦ɟɔŋ	cry	cry			1.8.8.2		0			1104,m
68946	1427	Tibetan (Spiti)	kʰɔr	kʰɔr	curb	curb			9.10.1		0			
68947	1427	Tibetan (Spiti)	ʂo	ʂo	curd	curd			2.1.1		0			
68948	1427	Tibetan (Spiti)	cyot	cyot	cut	cut			6.9.3		0			
68949	1427	Tibetan (Spiti)	òrdɔŋ	òrdɔŋ	deep	deep			7.1.5.3		0			
68950	1427	Tibetan (Spiti)	kʰam	kʰam	desire	desire			8.3.1.14.3		0			
68951	1427	Tibetan (Spiti)	kào	kào	difference	difference			8.1		0			
68952	1427	Tibetan (Spiti)	ʈìma	ʈìma	dirt	dirt			1.5.3.2		0			
68953	1427	Tibetan (Spiti)	zoe	zoe	do	do			6.1.1.1		0			
68954	1427	Tibetan (Spiti)	kʰí	kʰí	dog	dog			2.1.11		0			1764
68955	1427	Tibetan (Spiti)	gó	gó	door	door			5.11.9.3		0			
