rn	type	text
541529	O	<par>(IA)</par>
541543	O	<par>(IA)</par>
541546	O	<par>(IA)</par>
541547	O	<par>(IA)</par>
541561	O	<par>(IA)</par>
541562	O	<par>(IA)</par>
541573	O	<par>(IA)</par>
541597	O	<par>(IA)</par>
541617	O	<par>(IA)</par>
541620	O	<par>(IA)</par>
541716	O	<par>(IA)</par>
541720	O	<par>(IA)</par>
541816	O	<par>(IA)</par>
541817	O	<par>(IA)</par>
541822	O	<par>(IA)</par>
541881	O	<par>(IA)</par>
541897	O	<par>(IA)</par>
542058	O	<par>(IA)</par>
542088	O	<par>(IA)</par>
542103	O	<par>(IA)</par>
542114	O	<par>(IA)</par>
542193	O	<par>(IA)</par>
542205	O	<par>(IA)</par>
542278	O	<par>(IA)</par>
542313	O	<par>(IA)</par>
542317	O	<par>(IA)</par>
542347	O	<par>(IA)</par>
542349	O	<par>(IA)</par>
542351	O	<par>(IA)</par>
542356	O	<par>(IA)</par>
542375	O	<par>(IA)</par>
542392	O	<par>(IA)</par>
546217	O	<par>(IA)</par>
546218	O	<par>(IA)</par>
546219	O	<par>(IA)</par>
546220	O	<par>(IA)</par>
546222	O	<par>(IA)</par>
546223	O	<par>(IA)</par>
546224	O	<par>(IA)</par>
546225	O	<par>(IA)</par>
546226	O	<par>(IA)</par>
546227	O	<par>(IA)</par>
546228	O	<par>(IA)</par>
546230	O	<par>(IA)</par>
546231	O	<par>(IA)</par>
546240	O	<par>(IA)</par>
546242	O	<par>(IA)</par>
546243	O	<par>(IA)</par>
546244	O	<par>(-a is an IA prefix added to TB adj. to derive antonyms)</par>
546248	O	<par>(IA)</par>
546249	O	<par>(IA)</par>
546250	O	<par>(IA)</par>
546251	O	<par>(IA)</par>
546254	O	<par>(IA)</par>
546255	O	<par>(IA)</par>
546257	O	<par>(IA)</par>
546260	O	<par>(IA)</par>
546262	O	<par>(IA)</par>
546264	O	<par>(IA)</par>
546265	O	<par>(IA)</par>
546266	O	<par>(IA)</par>
546268	O	<par>(IA)</par>
546270	O	<par>(IA)</par>
546271	O	<par>(IA)</par>
546272	O	<par>(IA)</par>
546273	O	<par>(IA)</par>
546274	O	<par>(IA)</par>
546275	O	<par>(IA)</par>
546277	O	<par>(IA)</par>
546278	O	<par>(IA)</par>
546279	O	<par>(IA)</par>
546280	O	<par>(IA)</par>
546282	O	<par>(IA)</par>
546283	O	<par>(IA)</par>
546284	O	<par>(IA)</par>
546285	O	<par>(IA)</par>
546286	O	<par>(IA)</par>
546287	O	<par>(IA)</par>
546288	O	<par>(IA)</par>
546289	O	<par>(IA)</par>
546290	O	<par>(IA)</par>
546291	O	<par>(IA)</par>
546294	O	<par>(IA)</par>
546295	O	<par>(IA)</par>
546296	O	<par>(IA)</par>
546298	O	<par>(IA)</par>
