rn	type	text
345604	I	<par>Loan from Chinese, cf. Chinese xuě 雪 &apos;snow&apos;.</par>
345657	I	<par>Loan from Chinese, cf. xuě 雪 ‘snow’; second syllable phonologically looks like a loan from Chinese, but unclear what it is from; third syllable is zǐ 子 &apos;nominalizer&apos;.</par>
349232	T	<par>These two Nanhua forms, <latinform>phe²¹me̱³³</latinform> and <latinform>tʰᴀ̱²¹me̱³³</latinform>, are perhaps evidence of dialect mixture. The PLB cluster <latinform>*pl-</latinform> sometimes loses the lateral element, but sometimes develops into a retroflex stop (as in Mojiang and Dafang). It is possible that the Nanhua form with retroflex initial is borrowed from such a dialect.</par>
351017	T	<par>Cf. Lyuzu <latinform>nbo³³ly⁵³</latinform> &apos;kidney&apos;. Both <latinform>lu̵⁵³</latinform> and <latinform>ly⁵³</latinform> are probably &lt; <reconstruction>*lum</reconstruction>.</par>
351996	T	<par>The third morpheme in this form, <latinform>tsi³³</latinform>, seems to be a widespread Guiqiong noun suffix, probably borrowed from Chinese <hanform>子</hanform>.</par>
352482	I	<par>Possible loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
352483	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
353410	T	<par>WT <latinform>tshe</latinform> is not found in Jäschke 1881/1958, but is abundantly attested in the modern dialects.</par>
353472	T	<par>rGyalrong <latinform>rɟjɐ rək</latinform> evidently a borrowing from a Tibetan binome (cf. WT <latinform>rgya rigs</latinform>), with the second element meaning &apos;lineage, tribe, ethnic group&apos;.</par>
354515	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354535	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354538	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354539	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354543	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354544	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354549	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354555	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
354556	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
358830	T	<par>Loan from Tibetan (cf. WT <latinform>lpags-pa</latinform>), not a reduplicated form.</par>
