rn	type	text
132328	I	<par>Nepali loanword?</par>
132336	I	<par>last syll may be suffix (handwritten sheet).</par>
132349	T	<par>1st morphemes = &apos;mouth&apos;</par>
132373	I	<par>Div?</par>
132376	T	<par>For Yakha <latinform>ik</latinform>, cf. <latinform>*ik</latinform> STC #113 STRANGLE/THROTTLE.</par>
132380	I	<par>Division: caÚ≠gøn <emph>THROUGHOUT</emph></par>
132383	I	<par>&lt; Nepali karang &apos;rib&apos;.</par>
132402	T	<par>First two syll = BACK.</par>
132479	I	<par>First syllable PIG? “piglick?” </par>
132484	I	<par>2d syll maybe 22; 3d syll not tagged.</par>
132484	I	<par>The first syll’ s tag is tentative.</par>
132485	I	<par>The first word = UNDERARM.</par>
132487	I	<par>The first syll = LEG.</par>
132520	I	<par>Is the resemblance to Eng. “muscle” accidental?</par>
132530	I	<par>1382?</par>
132532	I	<par>Division? (<latinform>puŋ</latinform> [2111??]--<latinform>meʔ</latinform> [1384?]--<latinform>na</latinform> [251?])</par>
132535	I	<par><emph>ma = 1384 or s? (see below)</emph></par>
132536	I	<par>FoxPro analysis: 1381,s,1321,214,1107,1390,s</par>
132538	I	<par><emph>DIVISION (mi-kluk)</emph>---kluk = WAIST? BP pfx?</par>
132544	I	<par>M2: <emph>mak</emph>?</par>
132545	I	<par>or 164</par>
132567	I	<par>Last syllable is from IE “house” .</par>
132568	T	<par>Yakha <latinform>-dɔŋ</latinform> matches well with the middle syllable <latinform>-dǔŋ-</latinform> of Ugong &apos;placenta&apos;, though there is still insufficient data to etymologize them.</par>
296539	I	<par><latinform>tu◦kəruk</latinform> means &apos;head&apos;.</par>
