rn	type	text
505758	I	<par>i.e. &apos;to give birth&apos; (of animals, according to Clark 1911)</par>
505773	T	<par>The gloss &apos;dream&apos; appears to be an error in the source. Clark 1911:212 has <latinform>BANGKA</latinform> as &apos;open-mouthed, to see or hear with open-mouthed astonishment, to be confused, mystified.&apos;</par>
505799	I	<par>Gloss has typo in original source: &quot;stich&quot;</par>
505805	I	<par>i.e. &apos;to divide&apos;</par>
505869	T	<par>Possibly LASHI &apos;to repeatedly open a box, basket, door or the like&apos; (Clark 1911:334)</par>
505903	I	<par>Possibly KOKROK &apos;to stoop, to be bowed over by a load, by weakness, disease or age&apos; (Clark 1911:306).</par>
506017	T	<par>Possible loan from Karbi <latinform>mék jáng-</latinform> &apos;sleep /  be asleep&apos;.</par>
506058	T	<par>Clark 1911 (p.567): &quot;PELAK, to die, a <emph>Langbang</emph> word for <emph>asv̥</emph> to die.&quot;</par>
506078	T	<par>Loan from Assamese.</par>
506147	I	"<par>Cf. <xref ref=""4929"">#4929</xref></par>"
506203	T	<par>Loan from Assamese.</par>
