rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
167355	487	Chokri	(u) mo³¹	(u) mo³¹	body	body			1.1.1	1.1	0			18,17
167356	487	Chokri	(u) za¹¹ tso³¹	(u) za¹¹ tso³¹	side (right)	side (right)			1.4.5	1.2	0			m,2786
167357	487	Chokri	(u) ve³³ tso³¹	(u) ve³³ tso³¹	side (left)	side (left)			1.4.5	1.3	0			m,2154
167358	487	Chokri	(u) sa³³ tso³¹	(u) sa³³ tso³¹	back	back			1.4.8	1.4	0			
167359	487	Chokri	(u) mhü³¹ dzü⁵⁵ tso³¹	(u) mhü³¹ dzü⁵⁵ tso³¹	front	front			1.4.4	1.5	0			
167360	487	Chokri	(u) phe³¹ be³¹	(u) phe³¹ be³¹	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
167361	487	Chokri	(u) do³³	(u) do³³	lap	lap			1.4.4.2	1.8	0			
167362	487	Chokri	thi¹¹	thi¹¹	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		34
167363	487	Chokri	lhü³¹	lhü³¹	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		71
167364	487	Chokri	sa³¹	sa³¹	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		
167365	487	Chokri	kü³¹ sa³³ mo³¹	kü³¹ sa³³ mo³¹	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		m,m,17
167366	487	Chokri	thi¹¹ kü³¹ sa³³ mo³¹	thi¹¹ kü³¹ sa³³ mo³¹	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		
167367	487	Chokri	zü¹¹	zü¹¹	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		
167368	487	Chokri	tso⁵⁵	tso⁵⁵	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		
167369	487	Chokri	(mho³¹) ma⁵⁵	(mho³¹) ma⁵⁵	dream	dream (v.)	v		1.1.4.2	1.18	0	dwb21		
167370	487	Chokri	(u) pi⁵⁵	(u) pi⁵⁵	head	head			1.2.1	2.1	0			m,1242
167371	487	Chokri	(u) pi³¹ to³³	(u) pi³¹ to³³	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		m,1242,m
167372	487	Chokri	(u) pi³¹ lü³³	(u) pi³¹ lü³³	fontanel (soft spots in baby s	fontanel (soft spots in baby s			1.2.1.3	2.3	0			
167373	487	Chokri	(u) pi⁵⁵ kho³¹ ro³¹	(u) pi⁵⁵ kho³¹ ro³¹	skull	skull			1.2.1.1	2.4	0			
167374	487	Chokri	(u) khrü	(u) khrü	brain	brain			1.2.4	2.5	0			
167375	487	Chokri	(u) pi⁵⁵ tha³⁵	(u) pi⁵⁵ tha³⁵	hair of head	hair of head			1.2.3	2.7	0			m,1242,366
167376	487	Chokri	pi³¹ se³³	pi³¹ se³³	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			
167377	487	Chokri	(u) ka¹¹	(u) ka¹¹	horn (of animal)	horn (of animal)			1.2.2	2.10	0			
167378	487	Chokri	thu³¹ ze³³ ka¹¹	thu³¹ ze³³ ka¹¹	antler (of deer)	antler (of deer)			1.2.2	2.11	0			
167379	487	Chokri	(u) zü³¹	(u) zü³¹	face	face			1.2.5	3.1	0			p,1190
167380	487	Chokri	(u) tu³¹ kha³³	(u) tu³¹ kha³³	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		p,1223,2026
167381	487	Chokri	(u) me³¹ lu³³	(u) me³¹ lu³³	temple	temple			1.2.5.1	3.3	0			
167382	487	Chokri	(u) mhü¹¹	(u) mhü¹¹	eye	eye			1.2.6	3.4	0			p,682
167383	487	Chokri	(u) mhu¹¹ ma³⁵	(u) mhu¹¹ ma³⁵	eyelid	eyelid			1.2.6.4	3.4.1	0			p,682,m
167385	487	Chokri	mhü³¹ ma¹¹	mhü³¹ ma¹¹	blink	blink (v.)	v		1.2.6.12	3.4.5	0	dwb21		
167386	487	Chokri	mhü³¹ dzü³³	mhü³¹ dzü³³	tears	tears			1.2.6.7	3.4.6	0			682,1631
167387	487	Chokri	kra¹¹	kra¹¹	cry  /  weep	cry  /  weep (v.)	v		1.8.8.2	3.4.8	0	dwb21		1103
167388	487	Chokri	pe⁵⁵	pe⁵⁵	see  /  look	see  /  look (v.)	v		1.2.6.10	3.4.9	0	dwb21		
167389	487	Chokri	phi³¹	phi³¹	see  /  look	see  /  look (v.)	v		1.2.6.10	3.4.9	0	dwb21		
167390	487	Chokri	mhü³¹ cʰe¹¹	mhü³¹ cʰe¹¹	blind	blind			1.2.6.14.2	3.4.10	0			682,1401
167391	487	Chokri	(u) nhü³¹	(u) nhü³¹	nose	nose			1.2.8	3.5	0			p,803
167392	487	Chokri	nhu³¹ tso³⁵	nhu³¹ tso³⁵	nostril	nostril			1.2.8.1	3.5.2	0			803,2091
167393	487	Chokri	nhü³¹ tso³⁵ ma³⁵	nhü³¹ tso³⁵ ma³⁵	nose hair	nose hair			1.2.8	3.5.4	0			803,m,m
167394	487	Chokri	thü³¹ vo¹¹ hü³¹ tso³⁵	thü³¹ vo¹¹ hü³¹ tso³⁵	snout	snout			1.2.8	3.5.5	0			p,1006,m,442
167395	487	Chokri	(u) nha¹¹	(u) nha¹¹	liquid mucus	liquid mucus			3.2.3	3.5.6	0			18,805
167396	487	Chokri	(u) nha³¹ kha³⁵	(u) nha³¹ kha³⁵	solid mucus	solid mucus			1.1.5	3.5.7	0			18,805,m
167397	487	Chokri	(u) nha¹¹ rho¹¹	(u) nha¹¹ rho¹¹	blow nose	blow nose (v.)	v		1.3.1.4	3.5.8	0	dwb21		p,805,m
167398	487	Chokri	thu³¹ ni⁵⁵	thu³¹ ni⁵⁵	smell  /  sniff	smell  /  sniff (v.)	v		1.2.8.5	3.5.9	0	dwb21		
167399	487	Chokri	(u) nyi³³	(u) nyi³³	ear	ear			1.2.7	3.6	0			p,811
167400	487	Chokri	(u) nyi³¹ bi³³	(u) nyi³¹ bi³³	earlobe	earlobe			1.2.7.1	3.6.1	0			p,811,452
167401	487	Chokri	(u) nyi³³ lu³¹ lu³¹	(u) nyi³³ lu³¹ lu³¹	inner ear	inner ear			9.2.5	3.6.3	0			
167402	487	Chokri	(u) nyi³¹ che³⁵	(u) nyi³¹ che³⁵	ear canal	ear canal			1.2.7	3.6.4	0			p,811,2082
167403	487	Chokri	(u) nyi³¹ bo³⁵	(u) nyi³¹ bo³⁵	eardrum	eardrum			1.2.7.2	3.6.5	0			p,811,m
167404	487	Chokri	(u) nyi³¹ bvü³⁵	(u) nyi³¹ bvü³⁵	earwax	earwax			1.2.7.3	3.6.6	0			p,811,815
167405	487	Chokri	ru³¹ nyi³³	ru³¹ nyi³³	hear	hear (v.)	v		1.2.7.4	3.6.7	0	dwb21		
167406	487	Chokri	she⁵⁵	she⁵⁵	hear	hear (v.)	v		1.2.7.4	3.6.7	0	dwb21		
167407	487	Chokri	(u) nyi³³ ke³¹ ru³¹ zi³³	(u) nyi³³ ke³¹ ru³¹ zi³³	deaf	deaf			1.2.7.5	3.6.8	0			
167408	487	Chokri	(u) ta³³	(u) ta³³	mouth	mouth			1.3.1	3.7	0			p,2095
167409	487	Chokri	(u) mhü³¹ tsa³³	(u) mhü³¹ tsa³³	saliva	saliva			1.8.3	3.7.5	0			
167410	487	Chokri	ti¹¹	ti¹¹	eat	eat (v.)	v		1.5.3.2	3.7.6	0	dwb21		
167411	487	Chokri	kra⁵⁵	kra⁵⁵	drink	drink (v.)	v			3.7.7	0	dwb21		
167412	487	Chokri	thü³¹ ri³⁵	thü³¹ ri³⁵	thirsty	thirsty	be v.	be v.	1.1.3.1	3.7.8	0			
167413	487	Chokri	mü³¹ ri¹¹	mü³¹ ri¹¹	hungry	hungry	be v.	be v.	1.1.3	3.7.9	0			
167414	487	Chokri	tshu¹¹	tshu¹¹	full / be satiated	full  /  be satiated			1.1.3.2	3.7.10	0	jbl3		
167415	487	Chokri	mhü³¹ tsa⁵⁵	mhü³¹ tsa⁵⁵	spit	spit (v.)	v		1.8.3	3.7.11	0	dwb21		
167416	487	Chokri	mü³¹ rü³¹|	mü³¹ rü³¹	vomit	vomit (n.)	n		1.8.3.2	3.7.12	0	dwb33		5697
167417	487	Chokri	mü³¹ rü⁵⁵|	mü³¹ rü⁵⁵	vomit	vomit (v.)	v		1.8.3.2	3.7.13	0	dwb21		5697
167418	487	Chokri	me³¹ |ku³³	me³¹ ku³³	gape  /  open mouth	gape  /  open mouth (v.)	v		1.3.1	3.7.15	0	dwb21		273
167419	487	Chokri	kü³¹ ha³³	kü³¹ ha³³	yawn	yawn (v.)	v		1.3.1.3	3.7.16	0	dwb21		m,1716
167420	487	Chokri	(u) mhü³¹yi³³	(u) mhü³¹|yi³³	tongue	tongue			1.3.3	3.8	0			p,621
167421	487	Chokri	po³⁵	po³⁵	speak	speak (v.)	v		8.5.10.1	3.8.1	0	dwb21		
167422	487	Chokri	kü³¹ thü¹¹	kü³¹ thü¹¹	stutter / stammer	stutter  /  stammer			8.5.4.5	3.8.2	0	jbl3		
167423	487	Chokri	dzu³¹ po³⁵ ku³¹ tho¹¹	dzu³¹ po³⁵ ku³¹ tho¹¹	mute / dumb	mute  /  dumb			1.5.3.2	3.8.3	0	jbl3		
167424	487	Chokri	mü³¹|yo¹¹	mü³¹|yo¹¹	lick	lick			1.3.3.1	3.8.4	0			629
167425	487	Chokri	(u) mü³¹ na¹¹	(u) mü³¹ na¹¹	lip	lip			1.3.2	3.9	0			p,467,441
167426	487	Chokri	(u) mü³¹ na¹¹ u³¹ so¹¹	(u) mü³¹ na¹¹ u³¹ so¹¹	upper lip	upper lip			9.2.1	3.9.1	0			p,467,441,m,m
