rn	type	text
77707	O	<par>(a- = &apos;not&apos;).</par>
77711	I	<par>Check FNs in WTF.</par>
77722	I	<par>check WTF reconstruction.</par>
77749	T	"<par>W.T. French (1983:455) assigned Phom <latinform>bəʔ</latinform> to PNN <reconstruction>*ʔ-bəw</reconstruction>; see <xref ref=""1811"">#1811</xref>.</par>"
77756	I	<par>But cf. p. 44 Chang (#77757): <latinform>ok</latinform> seems to be pfx? and <latinform>M2</latinform> carries the semantics?</par>
77757	I	<par>See notes on previous <latinform>ok</latinform></par>
77818	I	<par>check discussion in source.</par>
77818	I	<par>Perhaps 1st syll&gt;87.</par>
77840	I	<par>1265 chin/beard or 237 bone?</par>
77842	I	<par>1265 chin/beard or 237 bone?</par>
77854	O	<par><latinform>ku &lt; ku lo</latinform> HEAD HAIR (<latinform>lo</latinform> = LONG).</par>
77876	I	<par>Phom <latinform>di</latinform> (<reconstruction>*ji</reconstruction> expected). WTF-PNN &lt; n.582, p.127. Also in GEM-CNL</par>
77885	I	<par>after Weidert, whose -<latinform>ʌŋ</latinform> = Walker&apos;s -<latinform>aŋ</latinform>.</par>
77923	I	<par>-k suffix as in Sinitic.</par>
77953	I	<par>Was tagged with now-defunct #351 <latinform>d-pral ~ k-pral</latinform> FOREHEAD.</par>
77954	I	<par>Was tagged with now-defunct #351 <latinform>d-pral ~ k-pral</latinform> FOREHEAD.</par>
77955	I	<par>Was tagged with now-defunct #351 <latinform>d-pral ~ k-pral</latinform> FOREHEAD.</par>
77956	I	<par>Was tagged with now-defunct #351 <latinform>d-pral ~ k-pral</latinform> FOREHEAD.</par>
78007	I	"<par>Is the first morpheme <xref ref=""363"">#363</xref> <reconstruction>*mul</reconstruction>?</par>"
78010	I	<par>BODY morph?</par>
78010	T	<par>Second syll = DOG.</par>
78031	T	<par>Note the secondary palatalization of the vowel in Chang <latinform>yik</latinform>.</par>
78037	I	<par>I tagged this based on its similarity to <latinform>a kʰo naŋ</latinform> ‘above’ (RN 78036)--Matt.</par>
78039	I	<par>Correct tagging?</par>
78043	T	<par>According to French, the first syllable means &apos;skin&apos;, so that the compound means literally &quot;head-skin&quot;.  French has shown that Proto-Northern-Naga (PNN) <reconstruction>*kh</reconstruction> &gt; Konyak and Phom <latinform>š</latinform>.</par>
78067	I	<par>as above</par>
78073	I	<par>See above 132705?</par>
78182	I	<par>This form may be in error; perhaps <latinform>phe-lim</latinform>--WTF-PNN 522</par>
78183	I	<par>Check source; <latinform>pʰe lo</latinform><latinform>ùl m</latinform>?</par>
78184	I	<par>804 or 467</par>
78200	I	<par>cf. Wancho <latinform>cak diŋ</latinform> ‘wrist’ (‘hand’ + ??) and <latinform>ci diŋ</latinform> ‘ankle’ (‘leg’ + ??). Perhaps <latinform>diŋ</latinform> means ‘joint’ or ‘neck’ , and is allofamic to the first syllable of this form, din ku. Note also the similarity to the Komrem form <latinform>kədəŋ kʰul</latinform> ‘windpipe / trachea’ .</par>
78269	T	"<par>It looks superficially as though the last syllable of this Chang form goes with <xref ref=""288"">#288</xref>, but since <latinform>-laŋ</latinform> appears as a formative in several rounded bodyparts, we assign this syllable to <xref ref=""2045"">#2045</xref>, following French 1983: 540.</par>"
78271	I	<par>The second syllable of this Chang form is referred by W. T. French (1983: 540) to PNN <reconstruction>*C-ruŋ</reconstruction> &apos;round (of body parts)&apos;. This binome is thus not a dimidiation of a sesquisyllabic combination of prefixal <reconstruction>*t-</reconstruction> plus root-initial <reconstruction>*l-</reconstruction> (as in Lepcha). Besides no final <latinform>-ŋ</latinform> occurs anywhere else in the set.</par>
78457	T	<par>W.T. French (1983:449-50) sets up no fewer than four allofams of this root at the Proto-Northern Naga level.</par>
78782	I	<par>Reflex was wrongly entered with [A] tone. Corrected to [B] tone based on original source (dwbruhn, 2011-11-16).</par>
78866	I	<par>Or <latinform>daŋ</latinform>=<latinform>jaŋ</latinform> (Konyak)? (cf. <latinform>JAN</latinform> 208 = (lower) back)</par>
