rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
79362	328	Bantawa	ʔak◦wa	ʔak◦wa	oil	oil			1.6.4.1	1	0			540,m
79363	328	Bantawa	ʔek-lang	ʔek-lang	on one leg	on one leg			10.1.1	2	0			m,3580
79364	328	Bantawa	ʔek-pheleng	ʔek-pheleng	with short steps / lame	with short steps / lame			10.1.1	2	0			
79365	328	Bantawa	ʔekhawo phur◦i	ʔekhawo phuri	anus	anus			1.4.10.2	2	0			m,265,s
79366	328	Bantawa	ʔemawo phur◦i	ʔemawo phuri	anus	anus			1.4.10.2	3	0			m,265,s
79367	328	Bantawa	ʔen-	ʔen-	hear / listen	hear / listen	v.t.	v.t.	1.2.7.4	3	0			1410
79368	328	Bantawa	ʔes-	ʔes-	defecate	defecate	v.i.	v.i.	1.8.5.4	3	0			
79369	328	Bantawa	ʔes-si	ʔes-si	defecating	defecating			1.8.5.4	3	0			
79370	328	Bantawa	ʔi-	ʔi-	laugh / smile	laugh / smile	v.i.	v.i.	1.8.8.1	3	0			1108
79371	328	Bantawa	ʔima	ʔima	laughing (v.n.)	laughing (v.n.)			1.8.8.1	4	0			
79372	328	Bantawa	ʔim◦kha	ʔim◦kha	sleeping (v.n.)	sleeping (v.n.)			1.1.4.1	4	0			127,s
79373	328	Bantawa	ʔims-	ʔims-	sleep	sleep	v.i.	v.i.	1.1.4.1	4	0			127
79374	328	Bantawa	ʔim◦sin◦ko	ʔim◦sin◦ko	sleeping	sleeping			1.1.4.1	4	0			127,m,m
79375	328	Bantawa	ʔip◦ma	ʔip◦ma	sleep (v.n.)	sleep (v.n.)			1.1.4.1	4	0			127,s
79376	328	Bantawa	ʔok ʔok	ʔok ʔok	nausea	nausea				5	0			
79377	328	Bantawa	ʔom◦pi◦yang◦ma	ʔom◦pi◦yang◦ma	milk	milk				5	0			3464,3467,m,s
79378	328	Bantawa	ʔü◦wa	ʔü◦wa	pus	pus			1.8.6.1	7	0			1298,m
79379	328	Bantawa	banggara	banggara	cheek	cheek			1.2.5.2	9	0			bNepali
79380	328	Bantawa	belep	belep	liver	liver			1.7.3	10	0			
79381	328	Bantawa	bitt-	bitt-	milk	milk	v.t.	v.t.		10	0			3467
79382	328	Bantawa	bop◦chüng	bop◦chüng	lap	lap			1.4.4.2	10	0			1255,m
79383	328	Bantawa	buk	buk	belly / stomach	belly / stomach			1.4.7	11	0			164
79384	328	Bantawa	buk khalo ca	buk khalo ca	glut	glut	v.t.	v.t.	6.2	11	0			
79385	328	Bantawa	buk khas-	buk khas-	cause to have enough	cause to have enough	v.t.	v.t.	8.2	11	0			
79386	328	Bantawa	khas	khas	satisfy, cause to have enough	satisfy, cause to have enough	v.t.	v.t.	8.2	11	0			
79387	328	Bantawa	bukda pak-	bukda pak-	ingest	ingest	v.t.	v.t.	1.3.5.8	11	0			
79389	328	Bantawa	buk-thok	buk-thok	intestines	intestines			1.7.7	11	0			164,m
79390	328	Bantawa	busi	busi	in front	in front			10.1.1	11	0			
79391	328	Bantawa	busida	busida	in front	in front			10.1.1	11	0			
79392	328	Bantawa	büpkha	büpkha	pincers (v.n.)	pincers (v.n.)			1.5.10.4	12	0			
79393	328	Bantawa	bhes-	bhes-	fart	fart	v.i.	v.i.	1.8.5.2	13	0			311
79394	328	Bantawa	bhürüng	bhürüng	spinal cord	spinal cord			1.4.8.2	13	0			
79395	328	Bantawa	ca	ca	eat	eat	v.t.	v.t.	1.5.3.2	13	0			36
79396	328	Bantawa	khupt-ca-	khupt-ca-	nibble	nibble			1.3.4.5	13	0			
79398	328	Bantawa	cep-	cep-	talk	talk	v.i.	v.i.	8.5.10.1	15	0			
79399	328	Bantawa	cepko	cepko	talking	talking			8.5.10.1	15	0			
79400	328	Bantawa	cepninko	cepninko	mute	mute			1.5.3.2	15	0			
79401	328	Bantawa	ceppa	ceppa	talk (v.n.)	talk (v.n.)			8.5.10.1	15	0			
79402	328	Bantawa	co◦wa	cowa	heart	heart			1.7.1	16	0			1382,m
