rn	type	text
180435	I	<par>Loan from Chinese, cf. Chinese xuě 雪 &apos;snow&apos;.</par>
180436	I	<par>Loan from Chinese, cf. Chinese xuě 雪 &apos;snow&apos;.</par>
180461	I	<par>Loan from Chinese, cf. Chinese xuě 雪 &apos;snow&apos;.</par>
180729	I	<par>Probable Chinese loan, cf. Chinese xuě 雪 &apos;snow&apos;, and perhaps dànzi 彈子 &apos;pellets, balls&apos;.</par>
180741	I	<par>Loan from Chinese, cf. xuě 雪 ‘snow’; second syllable phonologically looks like a loan from Chinese, but unclear what it is from; third syllable is zǐ 子 &apos;nominalizer&apos;.</par>
180742	I	<par>Loan from Chinese, cf. xuě 雪 &apos;snow&apos;.</par>
180767	I	<par>Loan from Chinese, cf. xuě 雪 ‘snow’; second syllable phonologically looks like a loan from Chinese, but unclear what it is from; third syllable is zǐ 子 &apos;nominalizer&apos;.</par>
182199	T	<par>It seems very likely that the form should read &lt;å£¡t®hΩ∞£&gt; -mlj</par>
182353	I	<par>Composed of *mi &apos;fire&apos; and ɯ (undefined).</par>
185794	I	<par>Borrowing from Jingpho?</par>
185819	I	<par>Borrowing from Jingpho?</par>
185831	I	<par>Loan from Chinese.</par>
185854	I	<par>Possible loan from Chinese.</par>
186103	T	<par>Possible loan from Indic, cf. Sanskrit mārjārá.</par>
186200	T	<par>&lt; Indic nāga-?</par>
186226	T	<par>&lt; Indic nāga-?</par>
186461	I	<par>Possible loan from Indic, cf. Assamese <latinform>suwor</latinform>.</par>
186466	I	<par>Possible loan from Chinese 豬 zhū.</par>
186480	I	<par>Loan from Chinese, cf. Chinese yězhū 野豬.</par>
186493	I	<par>Loan from Tibetan, cf. Tibetan (Batang) tʂy⁵⁵ ʔa⁵⁵ ge⁵³ ‘monkey’, tʂe⁵⁵ ‘year of the monkey’; Tibetan (Khams:Dege) ʔa⁵⁵ ge⁵³ tʂu⁵⁵  ‘monkey’; Tibetan (Lhasa) tʂeː⁵⁵  ‘year of the monkey’. Also appears as a loan from Tibetan in Monpa and other Qiangic languages.</par>
