rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
260414	1160	Nepali	jabān	jabān	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260415	1160	Nepali	tanderi	tanderi	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260416	596	Gurung	phre̩	phre̩	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260417	1457	Tamang (Sahu)	'pyohn	'pyohn	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260418	1520	Thakali	nahsa syohm-pa	nahsa syohm-pa	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260419	990	Magar	din mā-hān-ke	din mā-hān-ke	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260420	759	Kham	bahrzākao	bahrzākao	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260421	759	Kham	dāh'pa	dāh'pa	young (human, male)	young (human, male)	adj	adj	7.1.8.3	12a.01	0			
260422	759	Kham	dah'me	dah'me	young (human, female)	young (human, female)	adj	adj	7.1.8.3	12a.01	0			
260423	721	Kaike	chhabā	chhabā	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260424	701	Tibetan (Jirel)	syārāq	syārāq	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260425	1402	Tibetan (Sherpa)	'jěndā	'jěndā	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260426	1433	Sunwar	'bārbārke	'bārbārke	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260427	752	Khaling	'sāla	'sāla	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260428	752	Khaling	'sālālme	'sālālme	young (human, girl)	young (human, girl)	adj	adj	7.1.8.3	12a.01	0			
260429	1166	Newar	lyāe-mha	lyāe-mha	young (human, male)	young (human, male)	adj	adj	7.1.8.3	12a.01	0			
260430	1166	Newar	lyā-se	lyā-se	young (human, female)	young (human, female)	adj	adj	7.1.8.3	12a.01	0			
260431	441	Chepang	tohā	tohā	young (human)	young (human)	adj	adj	7.1.8.3	12a.01	0			
260432	1160	Nepali	buDhopāko	buDhopāko	aged (human)	aged (human)	adj	adj	1.0	12a.02	0			
260433	596	Gurung	khirā	khirā	aged (human)	aged (human)	adj	adj	1.0	12a.02	0			
260434	1457	Tamang (Sahu)	khekpā	khekpā	aged (human, male)	aged (human, male)	adj	adj	1.0	12a.02	0			
260435	1457	Tamang (Sahu)	khuyu	khuyu	aged (human, female)	aged (human, female)	adj	adj	1.0	12a.02	0			
260436	1520	Thakali	nahsa 'yāh-ci-wa	nahsa 'yāh-ci-wa	aged (human)	aged (human)	adj	adj	1.0	12a.02	0			
260437	990	Magar	din nung-ke	din nung-ke	aged (human)	aged (human)	adj	adj	1.0	12a.02	0			
260438	759	Kham	chipo	chipo	aged (human)	aged (human)	adj	adj	1.0	12a.02	0			
260439	759	Kham	sero	sero	aged (human, male)	aged (human, male)	adj	adj	1.0	12a.02	0			
260440	759	Kham	jucā	jucā	aged (human, female)	aged (human, female)	adj	adj	1.0	12a.02	0			
260441	721	Kaike	pāko	pāko	aged (human)	aged (human)	adj	adj	1.0	12a.02	0			
