rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
450326	1963	Ao (Mongsen: Mangmetong)	a◦nət à	anət à	a couple, several (lit. two, one)	a couple, several (lit. two, one)		9.9	112	0		p,2504,m
450327	1963	Ao (Mongsen: Mangmetong)	ítʃáʔ	ítʃáʔ	a few (both human and non-human referents)	a few (both human and non-human referents)		4.5	112	0		
450328	1963	Ao (Mongsen: Mangmetong)	tʃuk	tʃuk	abandon, leave [abandoned, left] (variant of tʃak)	abandon, leave [abandoned, left] (variant of tʃak)	v.	6.10.2		0		6717
450329	1963	Ao (Mongsen: Mangmetong)	tʃak	tʃak	abandon, leave [abandoned, left] (variant of tʃuk)	abandon, leave [abandoned, left] (variant of tʃuk)	v.	6.10.2		0		
450330	1963	Ao (Mongsen: Mangmetong)	[tə]-|puk làŋ	[tə]-puk làŋ	abdomen, belly (STOMACH + 'bottom')	abdomen, belly (STOMACH + 'bottom')	n.	1.4.7		0		164,m
450331	1963	Ao (Mongsen: Mangmetong)	ləntuŋ	ləntuŋ	accident	accident	n.			0		
450332	1963	Ao (Mongsen: Mangmetong)	[tə]-ɹuŋ-paʔ	[tə]-ɹuŋ-paʔ	acid ('burn' + NR)	acid ('burn' + NR)	n.	7.1.4.4		0		p,2562,s
450333	1963	Ao (Mongsen: Mangmetong)	nə̀p	nə̀p	adhere [adhered]	adhere [adhered]	v.	6.13.2		0		
450334	1963	Ao (Mongsen: Mangmetong)	wùɹaʔ	wùɹaʔ	afar (variant of ùɹaʔ)	afar (variant of ùɹaʔ)	n.	9.2.4		0		
450335	1963	Ao (Mongsen: Mangmetong)	ùɹaʔ	ùɹaʔ	afar (variant of wùɹaʔ)	afar (variant of wùɹaʔ)	n.	9.2.4		0		
450336	1963	Ao (Mongsen: Mangmetong)	mənaʔ	mənaʔ	affix [affixed]	affix [affixed]	v.	10.4		0		
450337	1963	Ao (Mongsen: Mangmetong)	[a]-sə-jim	[a]-sə-jim	afterlife village, village of the dead ('die' + 'village')	afterlife village, village of the dead ('die' + 'village')	n.	5.8		0		p,27,m
450338	1963	Ao (Mongsen: Mangmetong)	tʃhə̀mtaŋ	tʃhə̀mtaŋ	afternoon	afternoon		9.1.4	122	0		
450339	1963	Ao (Mongsen: Mangmetong)	aláŋ	aláŋ	Alang clan	Alang clan		4.4.2		0		
450340	1963	Ao (Mongsen: Mangmetong)	tə◦máŋ	tə◦máŋ	all	all		9.9		0		p,17
450341	1963	Ao (Mongsen: Mangmetong)	təmáŋ	təmáŋ	all	all		9.9	112	0	HIDE	DUPE IN SOURCE
450342	1963	Ao (Mongsen: Mangmetong)	tə́thì	tə́thì	always	always		9.1.1	122	0		
450343	1963	Ao (Mongsen: Mangmetong)	nùŋsə̀ʔ niŋ-əɹ	nùŋsə̀ʔ niŋ-əɹ	ancestor, forebear ('ancient' + 'name' +ANOM)	ancestor, forebear ('ancient' + 'name' +ANOM)	n.	5.8		0		m,2450,s
450344	1963	Ao (Mongsen: Mangmetong)	akhì	akhı̀	ancient (times)	ancient (times)		9.1.5		0		
450345	1963	Ao (Mongsen: Mangmetong)	hju	hju	angle [angled]	angle [angled]	v.	1.5.8		0		
450346	1963	Ao (Mongsen: Mangmetong)	sà◦ɹàɹə	sà◦ɹàɹə	animal	animal	n.	2.3		0		34,m
450347	1963	Ao (Mongsen: Mangmetong)	miɹi	miɹi	ant sp., large	ant sp., large	n.	2.2.6		0		
450348	1963	Ao (Mongsen: Mangmetong)	hjuŋza	hjuŋza	ant sp., small	ant sp., small	n.	2.2.6		0		
450349	1963	Ao (Mongsen: Mangmetong)	tʃùŋkuli	tʃùŋkuli	anthill soil	anthill soil	n.	3.2.11		0		
450350	1963	Ao (Mongsen: Mangmetong)	laŋli-təp	laŋli-təp	argue [argued] ('reply' + RECIP)	argue [argued] ('reply' + RECIP)	v.	8.5.2.1		0		
450351	1963	Ao (Mongsen: Mangmetong)	sisa	sisa	arise [arose]	arise [arose]	v.	1.1.4		0		
450352	1963	Ao (Mongsen: Mangmetong)	[tə]-khə́t	[tə]-khə́t	arm, hand	arm, hand	n.	1.5.1.2		0	HIDE	DUPE IN SOURCE
450353	1963	Ao (Mongsen: Mangmetong)	[tə]-tʃha	[tə]-tʃha	armlength	armlength				0		p,735
450354	1963	Ao (Mongsen: Mangmetong)	[tə]-tʃha-pùk	[tə]-tʃha-pùk	armpit ('wing' + STOMACH)	armpit ('wing' + STOMACH)	n.	1.5.1.2.3		0		p,735,164
450355	1963	Ao (Mongsen: Mangmetong)	a◦hnəm	a◦hnəm	armspan (both arms extended)	armspan (both arms extended)		1.5.1.2		0		p,1310
450356	1963	Ao (Mongsen: Mangmetong)	zaŋ	zaŋ	arrange [arranged]	arrange [arranged]	v.	6.17		0		
450357	1963	Ao (Mongsen: Mangmetong)	li◦tʃak-tʃaŋ	li◦tʃak-tʃaŋ	arrow ('catapult/bow' + 'seed')	arrow ('catapult/bow' + 'seed')	n.	5.15		0		2411,m,3590
450358	1963	Ao (Mongsen: Mangmetong)	u◦pu	upu	ashes	ashes	n.	3.2.12.2		0		p,3514
450359	1963	Ao (Mongsen: Mangmetong)	səmtsə	səmtsə	ask [asked]	ask [asked]	v.	8.5.7.1		0		
450360	1963	Ao (Mongsen: Mangmetong)	a◦m	am	aspidistra sp.	aspidistra sp.	n.			0		p,366
450361	1963	Ao (Mongsen: Mangmetong)	athənsi	athənsi	assemble [assembled]	assemble [assembled]	v.	6.19		0		
450362	1963	Ao (Mongsen: Mangmetong)	supùj sùlum	supùj sùlum	attire (attire + ECHO)	attire (attire + ECHO)	n.	9.3		0		
450363	1963	Ao (Mongsen: Mangmetong)	ata	ata	await [awaited]	await [awaited]	v.	8.3.1.7.3		0		
450364	1963	Ao (Mongsen: Mangmetong)	a◦w	aw	axe	axe	n.	5.11.5.3		0		p,2772
450365	1963	Ao (Mongsen: Mangmetong)	tʃhaŋ◦atı̀	tʃhaŋatı̀	bachelor	bachelor	n.	4.2.8		0		3327,m
450366	1963	Ao (Mongsen: Mangmetong)	ahɹitʃu	ahɹitʃu	bachelors' house (morung in Nagamese)	bachelors' house (morung in Nagamese)	n.	10.1.1		0		
450367	1963	Ao (Mongsen: Mangmetong)	[tə]-sin	[tə]-sin	back	back	n.	1.4.8		0		
450368	1963	Ao (Mongsen: Mangmetong)	hjaŋkhu	hjaŋkhu	bag	bag	n.			0		
450369	1963	Ao (Mongsen: Mangmetong)	lı̀	lı̀	bake [baked]	bake [baked]	v.	5.5		0		
450370	1963	Ao (Mongsen: Mangmetong)	tatsə̀ŋ	tatsə̀ŋ	bamboo container	bamboo container	n.	3.1.1		0		
450371	1963	Ao (Mongsen: Mangmetong)	màɹùk	màɹùk	bamboo cup	bamboo cup	n.	3.1.1		0		
450372	1963	Ao (Mongsen: Mangmetong)	hwa̰-tsə	hwa̰-tsə	bamboo sap ('bamboo' + 'water')	bamboo sap ('bamboo' + 'water')	n.	3.1.1		0		2549b,1631
450373	1963	Ao (Mongsen: Mangmetong)	[a]-zi	[a]-zi	bamboo shoot	bamboo shoot	n.	3.1.1		0		
450374	1963	Ao (Mongsen: Mangmetong)	itʃak	itʃak	bamboo shoot, fermented	bamboo shoot, fermented	n.	3.1.1		0		
450375	1963	Ao (Mongsen: Mangmetong)	ḿaʔ	ḿaʔ	bamboo sp.	bamboo sp.	n.	3.1.1		0		
450376	1963	Ao (Mongsen: Mangmetong)	[a]-u	[a]-u	bamboo sp.	bamboo sp.	n.	3.1.1		0		p,2549b
450377	1963	Ao (Mongsen: Mangmetong)	[a]-hwá̰ʔ	[a]-hwá̰ʔ	bamboo sp.	bamboo sp.	n.	3.1.1		0		p,2549b
450378	1963	Ao (Mongsen: Mangmetong)	luŋmiʔ	luŋmiʔ	bamboo sp.	bamboo sp.	n.	3.1.1		0		
450379	1963	Ao (Mongsen: Mangmetong)	[a]-liŋ	[a]-liŋ	bamboo thong, tie	bamboo thong, tie	n.	3.1.1		0		
450380	1963	Ao (Mongsen: Mangmetong)	tsəŋti	tsəŋti	bamboo wall or matting, woven	bamboo wall or matting, woven	n.	3.1.1		0		
450381	1963	Ao (Mongsen: Mangmetong)	takzi	takzi	bamboo water vessel	bamboo water vessel	n.	3.1.1		0		
450382	1963	Ao (Mongsen: Mangmetong)	ma◦ŋu	maŋu	banana	banana	n.	3.1.5		0		
450383	1963	Ao (Mongsen: Mangmetong)	səŋ-kəp	səŋ-kəp	bark ('wood' + 'skin')	bark ('wood' + 'skin')	n.	2.1.11.1		0		2658,783
450384	1963	Ao (Mongsen: Mangmetong)	tsə̀ŋ	tsə̀ŋ	bark [barked]	bark [barked]	v.	2.1.11.1		0		
450385	1963	Ao (Mongsen: Mangmetong)	məluk	məluk	basket	basket	n.	5.1		0		
450386	1963	Ao (Mongsen: Mangmetong)	aku	aku	basket, loosely woven bamboo (with square base, used to carry wood, water, produce etc.)	basket, loosely woven bamboo (with square base, used to carry wood, water, produce etc.)	n.	5.1		0		
450387	1963	Ao (Mongsen: Mangmetong)	akhi	akhi	basket, tightly woven bamboo (conical with pointed base, used for carrying grain)	basket, tightly woven bamboo (conical with pointed base, used for carrying grain)	n.	5.1		0		
